"","row_no","x","y"
"532883",532883,476.68445382013,378.126000072114
"230057",230057,919.593529792667,490.656956385482
"198806",198806,296.431538839551,-6022.86125037681
"808030",808030,839.458660684663,-1482.75613108111
"403380",403380,587.552095113185,-1894.49744151215
"388031",388031,425.728726592479,-2821.59728684441
"729515",729515,320.537537697763,-2663.82666420925
"919176",919176,626.345909889521,-220.891574022297
"370104",370104,432.180614125669,-370.081220811124
"491480",491480,457.689163883653,242.116727800364
"396379",396379,315.585312083092,-117.238302066096
"340910",340910,538.238958013953,-552.586286960479
"992219",992219,371.410170661504,-7702.79080426297
"213598",213598,843.787598663286,1374.16100609954
"418941",418941,354.571240552232,328.305166698981
"945270",945270,173.895431397436,-161.140731787382
"513467",513467,472.144016444356,-157.732377565235
"627124",627124,645.111070371,5438.33175985087
"283423",283423,951.422956617442,1079.99383039436
"713197",713197,643.039581906265,-1246.48424278671
"101029",101029,845.805545814661,878.153119577647
"327323",327323,715.246796282011,-400.449941017546
"429482",429482,599.541936570046,-550.098372270738
"555567",555567,827.665489088093,-384.920158184512
"505693",505693,317.944901001663,290.872517858777
"322695",322695,640.139249489624,4237.48256981166
"632127",632127,774.06333912531,-1367.96368139827
"700549",700549,665.76398202387,-345.000318059427
"291756",291756,144.594810821258,-391.608175711047
"105279",105279,723.318512901009,-757.482979051015
"492035",492035,587.050278190149,-1666.14320510522
"141043",141043,170.071234433704,-46.5865372919288
"602730",602730,664.498289542172,-4.41430013239267
"993061",993061,215.924323703166,69.4851599243651
"194998",194998,143.008115272389,1060.87314976427
"771248",771248,382.655737945622,-1250.23651914692
"378317",378317,482.00334630674,4744.30491699098
"364881",364881,837.96333671152,417.266504598515
"509074",509074,488.055980574188,-1239.29743723612
"30355",30355,327.682321746034,835.479688056405
"258496",258496,530.922780775166,-608.671511666241
"723974",723974,525.969242349726,-456.747322369828
"840479",840479,461.175173870122,-1359.2162935753
"912234",912234,223.391115456646,1656.44729875851
"91672",91672,159.871817747134,15.7607529832774
"156475",156475,474.348519502455,-220.683704553244
"918028",918028,725.68341413404,-179.94925226601
"493044",493044,593.397833454873,-1263.50396747531
"425623",425623,164.923516362573,-568.709866387564
"972974",972974,696.095497631597,276.519219221032
"866678",866678,273.698921704428,145.067151811996
"296835",296835,576.4692356442,-370.613385796081
"288948",288948,466.793920819858,300.256785318845
"711456",711456,407.343456017074,-2672.95936870765
"886930",886930,698.753422532675,-1089.8459212342
"213935",213935,577.802662014612,-1513.54229303611
"877123",877123,435.502635415398,1214.9669690515
"434334",434334,529.596210103691,758.47105343542
"567137",567137,172.473218279168,3991.30739017825
"104910",104910,742.762244226591,1840.8578366681
"81110",81110,131.867992071699,-880.091854232332
"932216",932216,511.086527638529,-1265.80413776644
"48562",48562,678.775610338238,522.360612203305
"12596",12596,234.140005619215,453.055945544755
"644124",644124,579.419746290077,811.139843399502
"983652",983652,21.8226611324241,703.419083393874
"217111",217111,795.424108480257,-1178.08689393912
"441914",441914,682.25465498953,1392.24897226385
"338264",338264,847.421228681318,-1056.1312798668
"538996",538996,506.915461937262,-647.678088766236
"778490",778490,649.453966510995,-163.743557536113
"49466",49466,121.66601415336,857.132463652137
"95533",95533,756.735153765819,-609.829532820325
"254911",254911,210.179168375928,-26.9690461839874
"348977",348977,913.394854803166,-476.830138318957
"301914",301914,615.456319571595,-1491.88611810457
"990363",990363,110.862535829996,-1715.72930467386
"13768",13768,316.344333664382,-317.489356069405
"361818",361818,215.449370961762,-412.035074690098
"227317",227317,373.880864962743,1124.35945151322
"419482",419482,399.072949124069,-38.5851231325495
"73903",73903,681.216472748109,3029.36444046301
"935214",935214,195.260431680603,2938.4245595564
"799886",799886,541.217618480777,-816.871815492017
"625548",625548,752.944126852642,-1632.6300435108
"517870",517870,948.858873764144,-2659.77293484699
"464357",464357,761.498982758203,552.518994712025
"919971",919971,532.290091677424,-1177.4618681307
"812922",812922,611.51785020857,-27.3516745597069
"770487",770487,579.439949906255,-1480.65044581385
"441441",441441,460.423216358619,111.492915921567
"858241",858241,721.055829982402,-1160.62978392593
"776241",776241,253.925897452486,270.088599466974
"500584",500584,548.593197690165,-543.580379536725
"489316",489316,334.192748834516,-1756.84876154013
"976744",976744,687.987644721548,-1028.30524068822
"520668",520668,501.263602225539,791.772986162306
"256657",256657,804.862886736019,-1235.85086999658
