"breakdownTime";"employees";"siteTraffic";"errorCode";"topic";"hoursToImprove"
"2022-07-10";11;117303;"403-S2";"mathematics";15,8
"2018-08-14";22;793697;"403-S2";"mathematics";14,9
"2018-02-27";13;100030;"400-S1";"mathematics";14,8
"2019-04-02";22;635270;"404-S1";"mathematics";22,5
"2021-06-07";8;682844;"403-S2";"economics";24,5
"2018-02-22";5;431600;"400-S1";"mathematics";16
"2018-01-13";8;809789;"403-S2";"mathematics";16,5
"2019-06-19";29;147915;"404-S1";"mathematics";22,3
"2021-05-31";23;122580;"404-S1";"economics";30,4
"2019-06-03";28;941782;"404-S1";"economics";30,4
"2021-12-20";28;858100;"404-S1";"medicine";40,4
"2018-06-15";25;479642;"400-S2";"medicine";32,8
"2022-06-01";29;155108;"400-S1";"medicine";32,3
"2019-03-21";21;960817;"400-S1";"mathematics";14,5
"2020-04-14";16;616064;"404-S2";"mathematics";23,3
"2019-05-12";17;165998;"404-S2";"economics";31,2
"2019-09-13";10;619004;"403-S1";"mathematics";15
"2019-02-27";9;754263;"404-S1";"mathematics";23,1
"2021-11-27";15;687957;"403-S2";"mathematics";15,3
"2018-03-21";20;276812;"404-S2";"mathematics";23
"2020-07-31";10;951307;"400-S1";"mathematics";15
"2018-06-19";24;886711;"403-S1";"mathematics";14,4
"2020-01-22";14;473968;"403-S2";"economics";23,4
"2021-11-18";7;336501;"404-S1";"economics";31,4
"2022-02-24";22;34525;"400-S1";"mathematics";14,5
"2018-09-10";6;573496;"403-S2";"mathematics";17,3
"2021-12-24";6;760860;"404-S1";"medicine";41,7
"2021-06-15";30;648731;"403-S2";"medicine";32,7
"2018-11-09";29;215637;"404-S1";"mathematics";22,3
"2020-08-09";6;361779;"403-S1";"mathematics";15,7
"2019-02-03";18;598143;"404-S2";"economics";31,1
"2022-12-13";12;547531;"404-S1";"economics";30,8
"2022-03-10";8;666707;"404-S1";"mathematics";23,3
"2018-01-27";16;698541;"403-S1";"mathematics";14,6
"2021-05-09";6;581807;"404-S1";"mathematics";23,7
"2022-12-23";11;388568;"404-S1";"medicine";40,9
"2018-10-13";26;675857;"404-S2";"mathematics";22,8
"2022-01-16";23;417937;"404-S2";"medicine";40,9
"2018-07-20";7;926395;"404-S1";"mathematics";23,4
"2021-06-11";22;722663;"403-S2";"medicine";32,9
"2018-05-17";20;379146;"404-S1";"mathematics";22,5
"2022-12-21";30;115958;"404-S2";"mathematics";22,7
"2021-07-16";12;834657;"404-S2";"mathematics";23,7
"2020-11-12";26;633786;"403-S2";"economics";22,8
"2018-05-29";28;388468;"404-S1";"medicine";40,4
"2018-02-24";13;367927;"403-S2";"economics";23,5
"2021-09-16";6;442838;"404-S2";"mathematics";25,3
"2021-08-04";15;212422;"404-S1";"economics";30,7
"2022-02-06";30;147915;"403-S1";"mathematics";14,3
"2022-10-17";20;138685;"400-S1";"economics";22,5
"2019-08-22";22;728599;"404-S1";"medicine";40,5
"2018-10-28";13;902220;"400-S1";"mathematics";14,8
"2021-01-23";19;378080;"403-S1";"mathematics";14,5
"2021-01-04";21;334679;"404-S1";"economics";30,5
"2019-09-13";19;307229;"400-S1";"mathematics";14,5
"2018-07-21";28;605980;"403-S2";"economics";22,7
"2022-06-23";25;293133;"404-S1";"mathematics";22,4
"2022-12-26";25;632901;"404-S2";"economics";30,8
"2022-11-12";14;118072;"404-S1";"mathematics";22,7
"2022-08-14";19;948683;"403-S2";"mathematics";15,1
"2020-02-19";23;103343;"400-S1";"mathematics";14,4
"2020-12-04";6;297210;"404-S1";"medicine";41,7
"2019-07-12";28;390930;"403-S2";"economics";22,7
"2022-11-15";8;846102;"400-S1";"mathematics";15,3
"2021-01-16";26;810615;"404-S1";"medicine";40,4
"2019-08-27";7;211362;"400-S1";"mathematics";15,4
"2022-01-16";26;59162;"403-S2";"mathematics";14,8
"2019-07-07";10;680043;"400-S1";"mathematics";15
"2022-06-28";10;828295;"404-S1";"mathematics";23
"2018-02-17";25;493886;"400-S1";"mathematics";14,4
"2020-04-03";27;600650;"403-S1";"medicine";32,4
"2021-01-07";11;790460;"400-S1";"mathematics";14,9
"2018-08-14";13;591054;"403-S2";"medicine";33,5
"2018-07-17";23;266190;"400-S1";"mathematics";14,4
"2020-01-08";13;85579;"404-S1";"economics";30,8
"2020-06-20";25;79429;"403-S1";"mathematics";14,4
"2022-01-07";24;830559;"404-S2";"mathematics";22,8
"2021-07-20";26;824279;"404-S1";"mathematics";22,4
"2022-07-01";28;133816;"404-S2";"economics";30,7
"2019-01-28";28;808002;"404-S2";"mathematics";22,7
"2022-12-12";20;403369;"404-S2";"economics";31
"2018-02-12";8;350727;"403-S1";"economics";23,3
"2022-10-18";19;845634;"403-S1";"mathematics";14,5
"2020-03-25";14;400472;"404-S2";"economics";31,4
"2020-05-22";13;892796;"403-S1";"economics";22,8
"2020-06-06";11;208698;"404-S2";"mathematics";23,8
"2018-05-24";14;671810;"403-S1";"medicine";32,7
"2018-12-30";22;732323;"404-S1";"mathematics";22,5
"2019-07-12";17;608001;"403-S1";"mathematics";14,6
"2021-08-30";9;236715;"400-S2";"mathematics";16,2
"2019-07-11";10;837279;"404-S2";"economics";32
"2018-06-19";15;152782;"400-S2";"economics";23,3
"2018-12-14";16;653282;"400-S1";"mathematics";14,6
"2019-02-16";27;518282;"403-S2";"medicine";32,7
"2021-04-16";10;835449;"400-S1";"mathematics";15
"2021-06-18";9;992038;"400-S2";"economics";24,2
"2020-10-16";14;395019;"403-S1";"mathematics";14,7
"2018-11-27";18;267672;"400-S2";"medicine";33,1
"2022-06-01";14;323917;"400-S1";"economics";22,7
"2020-01-20";13;391499;"403-S1";"mathematics";14,8
"2022-10-08";6;333812;"403-S2";"medicine";35,3
"2018-06-03";25;117778;"403-S2";"mathematics";14,8
"2021-02-07";10;379095;"404-S1";"mathematics";23
"2018-04-20";27;181974;"403-S2";"mathematics";14,7
"2019-08-19";14;511148;"403-S1";"medicine";32,7
"2018-05-04";25;735597;"403-S1";"mathematics";14,4
"2022-01-06";17;756229;"403-S2";"economics";23,2
"2020-12-14";13;910183;"403-S1";"economics";22,8
"2019-07-17";25;536812;"403-S1";"mathematics";14,4
"2018-06-20";15;711116;"403-S1";"economics";22,7
"2019-04-10";25;84189;"403-S1";"mathematics";14,4
"2018-05-01";27;569633;"404-S1";"economics";30,4
"2021-08-11";23;981553;"400-S1";"mathematics";14,4
"2018-08-09";15;357121;"403-S2";"mathematics";15,3
"2022-08-28";16;421146;"404-S1";"mathematics";22,6
"2020-05-15";10;641975;"403-S1";"mathematics";15
"2022-06-29";12;317788;"403-S2";"economics";23,7
"2019-08-21";17;126215;"404-S2";"mathematics";23,2
"2018-10-28";7;957043;"403-S1";"mathematics";15,4
"2019-05-28";18;679939;"400-S1";"economics";22,6
"2021-08-05";12;54412;"403-S1";"economics";22,8
"2022-07-10";21;307263;"400-S1";"mathematics";14,5
"2019-07-20";28;961798;"403-S1";"mathematics";14,4
"2020-11-05";6;494415;"404-S1";"medicine";41,7
"2021-06-15";30;882099;"403-S1";"medicine";32,3
"2021-05-28";23;521534;"404-S2";"economics";30,9
"2020-10-18";23;416700;"400-S1";"economics";22,4
"2018-11-12";7;913010;"404-S1";"mathematics";23,4
"2022-11-18";12;739273;"400-S1";"mathematics";14,8
"2018-12-29";26;172717;"403-S2";"mathematics";14,8
"2022-09-07";29;400149;"404-S1";"economics";30,3
"2021-03-31";24;201305;"404-S2";"mathematics";22,8
"2020-04-25";13;51895;"403-S1";"mathematics";14,8
"2018-06-03";26;904816;"400-S1";"economics";22,4
"2020-05-29";20;604465;"404-S1";"mathematics";22,5
"2018-07-14";11;982355;"403-S1";"economics";22,9
"2018-10-11";30;977630;"400-S1";"mathematics";14,3
"2019-10-18";19;611443;"403-S2";"economics";23,1
"2019-12-06";25;518404;"404-S1";"medicine";40,4
"2022-02-24";7;732012;"403-S1";"economics";23,4
"2019-12-01";30;354412;"403-S1";"economics";22,3
"2018-07-28";19;482208;"404-S1";"economics";30,5
"2021-09-04";7;715066;"404-S1";"mathematics";23,4
"2018-01-16";15;645771;"404-S1";"economics";30,7
"2020-05-13";7;861260;"403-S1";"economics";23,4
"2018-03-20";16;119160;"404-S1";"economics";30,6
"2021-10-01";13;843342;"404-S2";"economics";31,5
"2020-10-22";23;819231;"404-S2";"economics";30,9
"2018-08-22";19;935724;"404-S1";"medicine";40,5
"2021-05-05";14;210281;"400-S2";"mathematics";15,4
"2022-11-14";5;826271;"403-S1";"mathematics";16
"2021-10-01";7;980244;"404-S1";"mathematics";23,4
"2021-12-09";19;724719;"404-S1";"medicine";40,5
"2022-05-23";26;916850;"400-S1";"mathematics";14,4
"2020-09-12";17;221413;"400-S2";"mathematics";15,2
"2019-05-31";14;513507;"404-S1";"mathematics";22,7
"2020-03-27";5;437562;"404-S2";"economics";34
"2021-11-14";17;410737;"403-S1";"mathematics";14,6
"2018-08-31";26;255385;"400-S1";"economics";22,4
"2018-01-11";15;489740;"404-S1";"economics";30,7
"2018-09-06";8;586541;"404-S2";"mathematics";24,5
"2018-10-06";7;234969;"404-S1";"medicine";41,4
"2019-12-30";29;168194;"404-S1";"economics";30,3
"2022-04-12";6;775796;"404-S2";"mathematics";25,3
"2020-06-29";16;439695;"404-S2";"economics";31,3
"2018-12-19";8;680974;"400-S1";"medicine";33,3
"2018-02-03";7;504528;"404-S1";"mathematics";23,4
"2019-07-31";29;977740;"400-S1";"mathematics";14,3
"2018-01-11";11;402871;"403-S1";"economics";22,9
"2022-04-26";7;351790;"404-S2";"economics";32,9
"2022-01-06";7;629424;"403-S2";"medicine";34,9
"2019-09-21";11;959714;"403-S2";"mathematics";15,8
"2019-03-11";18;277650;"403-S2";"economics";23,1
"2019-05-17";27;199446;"400-S1";"economics";22,4
"2019-05-16";6;701428;"404-S1";"medicine";41,7
"2021-07-30";27;293833;"403-S2";"medicine";32,7
"2020-11-09";11;229332;"404-S2";"mathematics";23,8
"2022-01-29";25;499090;"404-S1";"medicine";40,4
"2018-08-22";18;163542;"404-S2";"mathematics";23,1
"2021-01-17";17;321210;"403-S2";"mathematics";15,2
"2019-06-25";6;826003;"400-S1";"medicine";33,7
"2020-12-25";9;833804;"403-S2";"mathematics";16,2
"2019-01-23";14;410938;"400-S2";"mathematics";15,4
"2018-09-18";6;595861;"404-S1";"medicine";41,7
"2021-12-12";23;736352;"403-S2";"economics";22,9
"2021-11-01";23;611969;"404-S2";"mathematics";22,9
"2020-01-08";19;683872;"404-S2";"economics";31,1
"2019-08-14";14;241422;"404-S2";"economics";31,4
"2020-06-29";7;807910;"400-S1";"economics";23,4
"2020-10-18";25;73888;"404-S1";"economics";30,4
"2020-11-05";24;231245;"403-S2";"economics";22,8
"2021-05-04";16;907584;"400-S1";"economics";22,6
"2020-08-17";23;353288;"404-S1";"mathematics";22,4
"2020-12-20";13;996969;"404-S2";"mathematics";23,5
"2021-07-21";11;410962;"400-S1";"economics";22,9
"2021-07-24";7;634263;"403-S2";"economics";24,9
"2021-03-10";17;811265;"404-S1";"medicine";40,6
"2020-04-18";28;792062;"404-S2";"mathematics";22,7
"2022-03-20";6;264363;"404-S1";"medicine";41,7
"2022-12-03";5;512045;"404-S1";"mathematics";24
"2021-11-04";22;170474;"404-S2";"medicine";40,9
"2020-07-24";28;806787;"404-S1";"mathematics";22,4
"2022-01-08";5;859906;"403-S1";"mathematics";16
"2021-01-07";19;875718;"404-S2";"mathematics";23,1
"2022-04-28";19;610806;"403-S2";"economics";23,1
"2021-03-26";28;232757;"404-S2";"mathematics";22,7
"2018-11-08";12;269977;"403-S1";"mathematics";14,8
"2021-12-17";6;23471;"404-S1";"mathematics";23,7
"2021-07-01";30;22139;"404-S1";"mathematics";22,3
"2019-07-10";8;890664;"400-S2";"mathematics";16,5
"2018-12-24";29;493731;"403-S1";"medicine";32,3
"2021-10-12";18;402583;"404-S1";"economics";30,6
"2020-03-09";29;835916;"404-S1";"mathematics";22,3
"2022-10-20";28;741503;"403-S1";"economics";22,4
"2021-08-02";22;503928;"403-S1";"mathematics";14,5
"2018-10-19";30;482174;"403-S1";"economics";22,3
"2022-02-14";12;135092;"400-S1";"economics";22,8
"2022-12-18";13;361561;"404-S2";"mathematics";23,5
"2019-01-14";6;35880;"400-S1";"economics";23,7
"2019-03-19";16;942962;"400-S1";"economics";22,6
"2022-06-29";6;424215;"403-S2";"medicine";35,3
"2020-05-15";23;156909;"404-S1";"economics";30,4
"2021-04-25";11;87204;"403-S1";"medicine";32,9
"2022-04-04";9;134235;"404-S2";"mathematics";24,2
"2020-11-05";20;208550;"403-S1";"mathematics";14,5
"2019-09-04";22;454320;"403-S2";"mathematics";14,9
"2020-12-29";13;890884;"403-S1";"mathematics";14,8
"2021-05-02";11;293885;"403-S2";"mathematics";15,8
"2019-01-06";9;917605;"400-S2";"economics";24,2
"2018-07-29";29;101043;"404-S2";"mathematics";22,7
"2018-10-03";14;530530;"400-S1";"medicine";32,7
"2018-10-23";7;610049;"404-S1";"economics";31,4
"2019-07-01";16;92229;"404-S1";"mathematics";22,6
"2020-02-23";12;686708;"404-S1";"medicine";40,8
"2019-09-03";16;120624;"404-S2";"mathematics";23,3
"2019-03-22";26;987442;"404-S2";"medicine";40,8
"2021-01-15";17;306014;"400-S1";"economics";22,6
"2019-10-16";11;436659;"403-S1";"economics";22,9
"2020-05-01";16;870864;"400-S1";"mathematics";14,6
"2021-10-26";20;400929;"404-S1";"mathematics";22,5
"2022-09-16";30;610896;"403-S1";"economics";22,3
"2022-12-28";9;897523;"403-S1";"economics";23,1
"2018-08-07";21;342065;"404-S1";"mathematics";22,5
"2021-03-14";5;242052;"404-S1";"mathematics";24
"2019-02-19";18;475617;"404-S1";"mathematics";22,6
"2022-10-20";8;70257;"403-S1";"medicine";33,3
"2020-04-30";27;20884;"403-S2";"mathematics";14,7
"2022-04-20";26;562101;"404-S1";"mathematics";22,4
"2021-03-08";18;86422;"403-S2";"economics";23,1
"2022-12-02";23;921965;"404-S1";"mathematics";22,4
"2022-10-29";21;568592;"403-S1";"mathematics";14,5
"2022-04-03";12;955054;"404-S1";"mathematics";22,8
"2022-10-23";23;275194;"400-S2";"economics";22,9
"2021-08-23";22;58403;"404-S1";"economics";30,5
"2018-01-24";8;250679;"404-S1";"economics";31,3
"2022-02-06";20;264009;"404-S1";"mathematics";22,5
