"TravelDate";"Destination";"Species";"TravelClass";"Duration";"PromoTokens";"Price"
"2024_05_08";"Jupiter_S";"Human";"Business";9;3;1090,22
"2024_12_01";"Jupiter_P";"Andromedan";"Economy";14;13;871,61
"2024_09_29";"Venus_S";"Jovian";"Business";1;6;914,31
"2024_05_21";"Venus_S";"Jovian";"Luxury";1;13;764,27
"2024_02_04";"Jupiter_P";"Jovian";"Economy";9;1;820,19
"2024_09_27";"Andromeda_S";"Martian";"Economy";5;10;470,51
"2024_09_26";"Saturn_P";"Venutian";"Business";12;12;1422,58
"2024_12_05";"Mars_S";"Venutian";"Economy";10;13;488,25
"2024_01_20";"Venus_P";"Martian";"Luxury";11;9;1178,53
"2024_11_24";"Jupiter_S";"Andromedan";"Business";13;1;1152,59
"2024_08_07";"Andromeda_P";"Saturnian";"Luxury";11;2;1094,96
"2024_03_21";"Jupiter_S";"Saturnian";"Business";6;12;1174,73
"2024_03_27";"Jupiter_P";"Martian";"Business";13;5;1523,44
"2024_03_20";"Mars_S";"Andromedan";"Economy";11;2;492,28
"2024_11_09";"Saturn_S";"Andromedan";"Business";2;3;1017,88
"2024_05_23";"Mars_S";"Andromedan";"Business";10;12;955,35
"2024_02_15";"Mars_P";"Andromedan";"Economy";6;1;961,48
"2024_04_10";"Andromeda_P";"Martian";"Luxury";11;9;1258,46
"2024_06_19";"Jupiter_S";"Venutian";"Business";3;9;992,23
"2024_12_13";"Venus_S";"Andromedan";"Business";5;13;1039,41
"2024_11_20";"Venus_S";"Venutian";"Economy";14;9;421,69
"2024_03_16";"Mars_S";"Martian";"Luxury";9;4;559,43
"2024_04_24";"Jupiter_P";"Martian";"Business";2;8;1580,53
"2024_10_03";"Saturn_S";"Martian";"Economy";10;2;389,85
"2024_06_12";"Mars_S";"Jovian";"Economy";9;3;317,92
"2024_08_26";"Jupiter_S";"Venutian";"Luxury";10;9;535,49
"2024_03_26";"Andromeda_P";"Venutian";"Business";3;5;1437,22
"2024_01_27";"Saturn_S";"Venutian";"Economy";10;7;394,65
"2024_07_23";"Venus_P";"Saturnian";"Luxury";4;11;1152,3
"2024_11_12";"Andromeda_S";"Andromedan";"Luxury";5;3;575,44
"2024_11_29";"Mars_P";"Saturnian";"Economy";6;8;999,46
"2024_02_02";"Mars_P";"Martian";"Luxury";10;5;1110,74
"2024_01_07";"Venus_P";"Saturnian";"Business";6;8;1594,45
"2024_07_12";"Jupiter_S";"Andromedan";"Luxury";12;10;693,57
"2024_02_14";"Saturn_S";"Jovian";"Economy";14;3;467,97
"2024_10_19";"Andromeda_S";"Jovian";"Economy";6;10;526,77
"2024_11_05";"Andromeda_S";"Jovian";"Luxury";13;7;619,89
"2024_07_11";"Jupiter_S";"Venutian";"Luxury";8;8;728,71
"2024_11_26";"Mars_S";"Human";"Luxury";13;6;686,14
"2024_07_03";"Venus_S";"Saturnian";"Business";13;2;1135,18
"2024_07_14";"Andromeda_S";"Venutian";"Economy";2;7;366,09
"2024_06_24";"Andromeda_P";"Human";"Luxury";12;2;1265,5
"2024_08_20";"Saturn_S";"Saturnian";"Economy";2;7;481,77
"2024_12_30";"Andromeda_P";"Saturnian";"Luxury";13;2;1163,92
"2024_09_24";"Venus_S";"Venutian";"Economy";11;9;424,86
"2024_10_25";"Mars_S";"Martian";"Economy";9;3;425,01
"2024_10_28";"Mars_P";"Venutian";"Economy";4;4;1001,11
"2024_02_04";"Jupiter_S";"Andromedan";"Luxury";8;9;660,16
"2024_05_28";"Mars_P";"Martian";"Business";12;4;1528,57
"2024_10_18";"Andromeda_P";"Jovian";"Business";13;6;1598,79
"2024_03_13";"Mars_S";"Jovian";"Business";5;6;1075,52
"2024_11_15";"Venus_S";"Jovian";"Business";14;4;1097,63
"2024_12_16";"Saturn_S";"Saturnian";"Economy";1;3;547,94
"2024_04_25";"Saturn_P";"Human";"Luxury";13;5;1259,13
"2024_11_13";"Jupiter_P";"Martian";"Luxury";14;9;1097,21
"2024_05_26";"Mars_S";"Andromedan";"Economy";1;11;551,64
"2024_01_01";"Venus_P";"Human";"Economy";6;1;1026,97
"2024_04_26";"Mars_S";"Andromedan";"Economy";9;11;371,28
"2024_12_22";"Venus_S";"Martian";"Luxury";10;3;524,91
"2024_05_29";"Saturn_P";"Human";"Luxury";1;6;1093,82
"2024_12_01";"Andromeda_S";"Human";"Luxury";5;10;597,43
"2024_07_21";"Andromeda_S";"Saturnian";"Luxury";11;3;676,52
"2024_02_01";"Jupiter_P";"Human";"Economy";8;7;1060,42
"2024_01_06";"Mars_P";"Jovian";"Economy";6;8;827,98
"2024_07_15";"Saturn_P";"Martian";"Luxury";10;6;1201,83
"2024_04_06";"Mars_P";"Venutian";"Business";8;11;1673,59
"2024_05_29";"Mars_P";"Human";"Business";7;5;1617,24
"2024_05_08";"Jupiter_S";"Andromedan";"Business";9;9;894,97
"2024_09_02";"Saturn_P";"Venutian";"Luxury";1;7;1145,8
"2024_07_24";"Mars_S";"Martian";"Business";4;8;934,98
"2024_05_24";"Jupiter_P";"Saturnian";"Business";3;10;1509,21
"2024_03_31";"Andromeda_S";"Venutian";"Economy";4;13;560,06
"2024_08_16";"Jupiter_P";"Andromedan";"Business";11;3;1520,21
"2024_03_12";"Venus_S";"Martian";"Business";3;10;1049,46
"2024_05_22";"Andromeda_S";"Martian";"Luxury";13;11;660,35
"2024_10_14";"Andromeda_S";"Andromedan";"Luxury";8;10;762,71
"2024_03_01";"Jupiter_S";"Human";"Business";4;5;927,73
"2024_01_14";"Venus_S";"Jovian";"Economy";7;2;587,51
"2024_03_02";"Venus_S";"Andromedan";"Luxury";4;6;574,67
"2024_01_14";"Venus_S";"Andromedan";"Economy";6;12;323,14
"2024_08_28";"Saturn_S";"Andromedan";"Business";13;6;905,71
"2024_03_22";"Venus_P";"Venutian";"Business";14;11;1499,77
"2024_07_09";"Venus_P";"Jovian";"Luxury";5;7;1185,33
"2024_03_24";"Saturn_P";"Andromedan";"Luxury";8;7;1111,09
"2024_05_02";"Saturn_S";"Saturnian";"Economy";5;8;532,54
"2024_01_21";"Mars_P";"Jovian";"Luxury";3;12;1265,66
"2024_10_13";"Jupiter_P";"Jovian";"Economy";9;3;831,97
"2024_01_18";"Jupiter_S";"Martian";"Luxury";4;9;780,06
"2024_02_06";"Mars_S";"Human";"Luxury";8;7;512,42
"2024_08_15";"Jupiter_P";"Human";"Luxury";8;4;1211,03
"2024_03_21";"Andromeda_S";"Jovian";"Economy";6;7;584,98
"2024_09_18";"Venus_P";"Martian";"Luxury";14;8;1258,38
"2024_04_12";"Jupiter_S";"Jovian";"Business";1;10;948,08
"2024_01_29";"Venus_P";"Jovian";"Economy";14;12;823,45
"2024_08_14";"Andromeda_S";"Andromedan";"Business";4;7;937,52
"2024_06_23";"Andromeda_S";"Saturnian";"Business";5;11;1075,24
"2024_06_27";"Jupiter_P";"Saturnian";"Economy";12;3;1038,52
"2024_07_10";"Saturn_P";"Saturnian";"Business";13;9;1651,59
"2024_08_04";"Saturn_P";"Venutian";"Economy";13;1;935,12
"2024_06_17";"Saturn_S";"Saturnian";"Luxury";3;7;529,11
"2024_04_04";"Andromeda_S";"Jovian";"Economy";3;1;327,02
"2024_07_31";"Jupiter_S";"Saturnian";"Economy";3;10;432,61
"2024_06_11";"Mars_S";"Jovian";"Economy";7;3;332,45
"2024_05_11";"Venus_S";"Andromedan";"Luxury";11;12;550,53
"2024_06_06";"Mars_S";"Martian";"Economy";12;6;394,06
"2024_09_02";"Venus_S";"Martian";"Economy";6;6;442,73
"2024_07_11";"Andromeda_S";"Martian";"Business";3;8;1016,18
"2024_12_26";"Jupiter_P";"Venutian";"Luxury";9;13;1229,27
"2024_04_30";"Saturn_P";"Venutian";"Luxury";5;8;1083,68
"2024_04_24";"Saturn_P";"Human";"Business";3;5;1479,91
"2024_09_22";"Mars_S";"Andromedan";"Luxury";6;1;760,08
"2024_01_10";"Saturn_S";"Venutian";"Economy";4;4;522,02
"2024_08_08";"Mars_S";"Human";"Economy";11;12;499,41
"2024_06_02";"Jupiter_P";"Saturnian";"Economy";2;12;864,77
"2024_12_04";"Saturn_P";"Human";"Business";11;1;1624,02
"2024_04_01";"Jupiter_S";"Martian";"Economy";13;6;453,83
"2024_08_16";"Andromeda_S";"Human";"Economy";1;13;483,07
"2024_07_01";"Saturn_S";"Jovian";"Luxury";3;9;557,76
"2024_05_18";"Saturn_P";"Martian";"Economy";7;2;963,69
"2024_04_03";"Saturn_S";"Saturnian";"Business";2;1;1099,96
"2024_10_06";"Mars_P";"Martian";"Economy";12;7;833,74
"2024_04_20";"Venus_S";"Andromedan";"Luxury";4;5;706,14
"2024_12_25";"Jupiter_S";"Saturnian";"Economy";5;9;378,34
"2024_05_21";"Saturn_S";"Martian";"Luxury";1;11;773,4
"2024_08_08";"Jupiter_S";"Venutian";"Economy";14;7;326,99
"2024_06_17";"Mars_S";"Martian";"Business";5;11;1078,89
"2024_06_13";"Andromeda_P";"Saturnian";"Luxury";2;8;1264,86
"2024_05_13";"Andromeda_P";"Andromedan";"Economy";14;7;825,37
"2024_05_23";"Venus_S";"Human";"Business";8;7;941,34
"2024_09_28";"Jupiter_P";"Saturnian";"Luxury";4;7;1108,52
"2024_04_15";"Andromeda_S";"Jovian";"Business";11;7;1178,6
"2024_02_16";"Mars_S";"Saturnian";"Luxury";2;5;571,08
"2024_07_29";"Saturn_S";"Venutian";"Luxury";10;11;660,4
"2024_02_05";"Venus_P";"Venutian";"Business";11;13;1391,4
"2024_04_30";"Saturn_S";"Venutian";"Luxury";1;12;651,19
"2024_01_08";"Andromeda_S";"Venutian";"Luxury";8;8;662,27
"2024_07_22";"Andromeda_P";"Martian";"Economy";13;13;1049,27
"2024_12_29";"Andromeda_S";"Martian";"Economy";11;2;487,81
"2024_10_27";"Andromeda_P";"Andromedan";"Business";13;13;1589,47
"2024_09_19";"Mars_P";"Jovian";"Business";1;7;1460,87
"2024_08_25";"Venus_P";"Andromedan";"Business";12;10;1423,25
"2024_06_10";"Mars_S";"Venutian";"Luxury";3;10;601,63
"2024_06_09";"Venus_P";"Venutian";"Economy";7;5;938,58
"2024_10_23";"Andromeda_S";"Human";"Business";4;2;1036,47
"2024_04_10";"Andromeda_S";"Venutian";"Business";12;9;1133,36
"2024_11_19";"Mars_S";"Venutian";"Business";6;4;1041,08
"2024_11_05";"Venus_S";"Human";"Economy";5;2;577,88
"2024_06_11";"Andromeda_P";"Martian";"Luxury";5;6;1127,22
"2024_02_28";"Saturn_P";"Saturnian";"Business";4;8;1635,7
"2024_02_13";"Venus_P";"Human";"Luxury";9;12;1261,84
"2024_06_25";"Venus_S";"Venutian";"Luxury";6;6;553,34
"2024_06_18";"Jupiter_S";"Human";"Economy";1;6;429,05
"2024_02_27";"Mars_P";"Saturnian";"Business";5;6;1683,81
"2024_10_01";"Mars_S";"Venutian";"Business";13;2;1189,19
"2024_01_27";"Andromeda_P";"Human";"Economy";4;13;986,21
"2024_04_09";"Andromeda_P";"Saturnian";"Economy";14;12;1004,34
"2024_07_23";"Jupiter_S";"Martian";"Economy";6;9;487,92
"2024_12_06";"Venus_S";"Jovian";"Business";9;1;1082,84
"2024_03_24";"Andromeda_S";"Jovian";"Luxury";14;8;495,04
"2024_10_13";"Andromeda_S";"Andromedan";"Business";11;8;1051,29
"2024_06_29";"Jupiter_S";"Jovian";"Economy";14;8;311,12
"2024_11_04";"Jupiter_S";"Venutian";"Economy";6;10;466,11
"2024_05_03";"Mars_S";"Andromedan";"Luxury";13;12;530
"2024_07_02";"Saturn_S";"Human";"Business";12;2;1072,64
"2024_04_11";"Venus_S";"Andromedan";"Business";14;6;962,99
"2024_08_16";"Mars_P";"Andromedan";"Economy";1;10;986,44
"2024_08_08";"Venus_S";"Venutian";"Economy";12;1;538,03
"2024_02_28";"Saturn_S";"Saturnian";"Economy";7;5;341,33
"2024_07_09";"Andromeda_P";"Martian";"Economy";9;13;982,21
"2024_03_26";"Mars_S";"Jovian";"Luxury";13;3;637,63
"2024_05_10";"Mars_P";"Saturnian";"Business";7;6;1459,59
"2024_10_18";"Mars_S";"Venutian";"Economy";4;12;356,51
"2024_01_03";"Andromeda_P";"Martian";"Business";11;10;1626,93
"2024_05_03";"Jupiter_P";"Martian";"Economy";10;5;863,72
"2024_02_19";"Mars_P";"Jovian";"Economy";5;5;1087,86
"2024_01_01";"Venus_S";"Jovian";"Business";9;10;991,3
"2024_04_21";"Venus_S";"Martian";"Economy";10;7;492,21
"2024_08_03";"Mars_S";"Martian";"Luxury";12;9;540,47
"2024_02_12";"Venus_P";"Human";"Business";3;5;1512,62
"2024_10_31";"Mars_P";"Human";"Luxury";5;5;1227,31
