"SaleDate"%"ItemDetails"%"BrandTier"%"SellerRating"%"DaysListed"%"ShippingMethod"%"DiscountApplied"%"FinalPrice"
"2023//06//28"%"Dress_VeryGood"%"Low"%4,26%15%"Economy"%"No"%"80.67 USD"
"2023//01//14"%"Shoes_VeryGood"%"Low"%4,24%5%"Standard"%"No"%"121.72 USD"
"2023//07//14"%"Dress_VeryGood"%"Low"%4,72%8%"Economy"%"No"%"78.12 USD"
"2023//11//02"%"Shoes_Fair"%"Mid"%4,04%10%"Standard"%"No"%"89.32 USD"
"2023//04//28"%"Shoes_Fair"%"Low"%4,5%16%"Express"%"No"%"103.96 USD"
"2023//10//26"%"Accessories_Good"%"Premium"%3,88%6%"Standard"%"Yes"%"62.42 USD"
"2023//08//17"%"Dress_VeryGood"%"Premium"%3,48%8%"Standard"%"No"%"89.56 USD"
"2023//09//01"%"Jacket_Good"%"Low"%4,55%27%"Standard"%"Yes"%"113.29 USD"
"2023//01//14"%"Dress_VeryGood"%"Low"%4,63%37%"Standard"%"No"%"66.7 USD"
"2023//06//02"%"Jacket_VeryGood"%"Premium"%4,34%20%"Economy"%"No"%"179.18 USD"
"2023//03//31"%"Shoes_Good"%"Low"%4,72%8%"Standard"%"No"%"91.79 USD"
"2023//04//01"%"Accessories_Good"%"Low"%4,54%8%"Express"%"Yes"%"31.14 USD"
"2023//09//13"%"Accessories_New"%"Premium"%4,44%3%"Express"%"No"%"73.56 USD"
"2023//07//16"%"Dress_Fair"%"Mid"%4,23%17%"Economy"%"No"%"57.77 USD"
"2023//04//01"%"Dress_Good"%"Low"%4,14%10%"Standard"%"No"%"51.53 USD"
"2023//12//14"%"Dress_Good"%"Low"%4,76%9%"Express"%"No"%"68.58 USD"
"2023//05//17"%"Dress_VeryGood"%"Low"%3,8%20%"Express"%"Yes"%"60.5 USD"
"2023//12//21"%"Jacket_Good"%"Premium"%4,18%8%"Economy"%"Yes"%"176.95 USD"
"2023//11//24"%"Jacket_New"%"Low"%3,72%10%"Economy"%"Yes"%"124.57 USD"
"2023//01//26"%"Dress_VeryGood"%"Low"%4,36%16%"Express"%"No"%"94.72 USD"
"2023//01//07"%"Dress_Good"%"Low"%4,68%12%"Standard"%"No"%"72.73 USD"
"2023//05//17"%"Dress_VeryGood"%"Premium"%4,54%17%"Economy"%"No"%"105 USD"
"2023//09//11"%"Accessories_New"%"Premium"%4,09%9%"Standard"%"No"%"70.09 USD"
"2023//07//30"%"Dress_Good"%"Low"%4,54%9%"Standard"%"Yes"%"46.63 USD"
"2023//03//19"%"Shoes_VeryGood"%"Low"%4,68%8%"Express"%"No"%"139.26 USD"
"2023//03//22"%"Dress_New"%"Mid"%4,29%18%"Economy"%"No"%"102.97 USD"
"2023//02//12"%"Shoes_VeryGood"%"Mid"%4,73%8%"Standard"%"Yes"%"119.42 USD"
"2023//12//25"%"Shoes_VeryGood"%"Premium"%4,26%10%"Express"%"No"%"194.37 USD"
"2023//11//28"%"Shoes_Fair"%"Low"%4,08%5%"Economy"%"No"%"78.54 USD"
"2023//05//23"%"Shoes_Good"%"Low"%4,53%10%"Standard"%"No"%"94.45 USD"
"2023//02//01"%"Dress_Good"%"Mid"%3,89%11%"Standard"%"No"%"91.59 USD"
"2023//04//19"%"Accessories_New"%"Mid"%4,13%9%"Express"%"No"%"102.09 USD"
"2023//09//20"%"Jacket_VeryGood"%"Mid"%3,88%12%"Standard"%"No"%"125.74 USD"
"2023//11//26"%"Jacket_VeryGood"%"Mid"%3,09%9%"Standard"%"No"%"117.91 USD"
"2023//01//23"%"Shoes_Good"%"Premium"%4,46%10%"Standard"%"No"%"168.57 USD"
"2023//11//05"%"Dress_Good"%"Mid"%3,85%18%"Economy"%"No"%"77.64 USD"
"2023//05//15"%"Dress_VeryGood"%"Premium"%4,11%5%"Standard"%"Yes"%"123.03 USD"
"2023//11//05"%"Accessories_Good"%"Premium"%4,37%13%"Standard"%"No"%"72.84 USD"
"2023//08//12"%"Dress_VeryGood"%"Low"%4,61%13%"Standard"%"No"%"76.45 USD"
"2023//06//15"%"Jacket_Good"%"Mid"%4,72%13%"Economy"%"No"%"86.68 USD"
"2023//08//05"%"Accessories_VeryGood"%"Mid"%4,46%15%"Standard"%"No"%"40.37 USD"
"2023//10//17"%"Shoes_Fair"%"Low"%4,28%6%"Economy"%"Yes"%"62.3 USD"
"2023//03//10"%"Shoes_New"%"Low"%4,24%7%"Express"%"No"%"147.57 USD"
"2023//03//13"%"Jacket_Good"%"Low"%4,36%8%"Economy"%"No"%"85.05 USD"
"2023//03//17"%"Accessories_New"%"Mid"%4,15%25%"Standard"%"No"%"34.1 USD"
"2023//03//04"%"Shoes_Good"%"Low"%4,49%7%"Standard"%"No"%"116.95 USD"
"2023//05//21"%"Shoes_Good"%"Low"%4,31%4%"Economy"%"No"%"74.47 USD"
"2023//07//29"%"Jacket_Good"%"Mid"%4,91%4%"Standard"%"No"%"130.81 USD"
"2023//12//19"%"Jacket_Fair"%"Premium"%4,03%11%"Standard"%"No"%"131.44 USD"
"2023//12//13"%"Jacket_New"%"Low"%3,71%10%"Economy"%"No"%"119.52 USD"
"2023//06//02"%"Dress_VeryGood"%"Premium"%5%4%"Economy"%"No"%"147.9 USD"
"2023//10//21"%"Shoes_VeryGood"%"Low"%3,9%7%"Economy"%"Yes"%"75.38 USD"
"2023//10//04"%"Jacket_Fair"%"Mid"%4,46%17%"Standard"%"Yes"%"93.59 USD"
"2023//02//10"%"Dress_Good"%"Premium"%4,17%8%"Standard"%"No"%"125.28 USD"
"2023//03//31"%"Dress_Fair"%"Mid"%5%19%"Standard"%"Yes"%"33.65 USD"
"2023//11//12"%"Jacket_Fair"%"Mid"%4,88%7%"Express"%"No"%"123.52 USD"
"2023//08//11"%"Jacket_Good"%"Low"%4,05%16%"Standard"%"Yes"%"93.33 USD"
"2023//01//16"%"Dress_VeryGood"%"Premium"%3,89%17%"Standard"%"No"%"135.1 USD"
"2023//04//26"%"Dress_VeryGood"%"Mid"%3,87%7%"Standard"%"No"%"114.77 USD"
"2023//04//04"%"Jacket_VeryGood"%"Mid"%4,83%6%"Standard"%"Yes"%"135.75 USD"
"2023//09//19"%"Dress_Good"%"Low"%3,7%6%"Standard"%"No"%"63.72 USD"
"2023//08//23"%"Jacket_VeryGood"%"Low"%4,86%7%"Economy"%"No"%"96.13 USD"
"2023//03//27"%"Jacket_Good"%"Low"%4,27%10%"Express"%"No"%"92.86 USD"
"2023//12//08"%"Shoes_Fair"%"Mid"%4,13%5%"Express"%"No"%"101.99 USD"
"2023//02//08"%"Dress_Good"%"Low"%4,45%15%"Economy"%"No"%"75.64 USD"
"2023//06//08"%"Dress_VeryGood"%"Premium"%3,69%9%"Express"%"No"%"125.77 USD"
"2023//08//28"%"Jacket_VeryGood"%"Mid"%4,05%8%"Standard"%"No"%"149.28 USD"
"2023//07//28"%"Jacket_VeryGood"%"Low"%4,43%22%"Express"%"No"%"96.24 USD"
"2023//11//02"%"Shoes_Fair"%"Low"%4,24%6%"Standard"%"No"%"65.13 USD"
"2023//02//03"%"Jacket_VeryGood"%"Low"%4,53%10%"Standard"%"Yes"%"109.23 USD"
"2023//01//04"%"Accessories_Good"%"Low"%4,82%6%"Economy"%"No"%"32.3 USD"
"2023//01//13"%"Shoes_VeryGood"%"Mid"%4,85%19%"Economy"%"Yes"%"131.15 USD"
"2023//03//10"%"Shoes_VeryGood"%"Low"%4,29%14%"Standard"%"No"%"91.07 USD"
"2023//08//31"%"Dress_VeryGood"%"Mid"%4,7%5%"Standard"%"Yes"%"110.78 USD"
"2023//11//04"%"Accessories_VeryGood"%"Premium"%4,46%15%"Economy"%"No"%"74.59 USD"
"2023//10//05"%"Accessories_VeryGood"%"Low"%4,62%6%"Standard"%"Yes"%"28.91 USD"
"2023//03//30"%"Dress_Fair"%"Low"%4,53%4%"Economy"%"Yes"%"43.2 USD"
"2023//01//25"%"Dress_VeryGood"%"Mid"%4,16%15%"Economy"%"Yes"%"79.73 USD"
"2023//10//18"%"Dress_Good"%"Mid"%4,81%4%"Economy"%"No"%"118.46 USD"
"2023//10//13"%"Shoes_Fair"%"Mid"%3,92%8%"Standard"%"No"%"65.66 USD"
"2023//06//08"%"Accessories_VeryGood"%"Premium"%4,15%17%"Economy"%"No"%"48.57 USD"
"2023//05//01"%"Accessories_New"%"Mid"%4,49%10%"Standard"%"No"%"62.93 USD"
"2023//04//20"%"Shoes_VeryGood"%"Premium"%4,89%13%"Economy"%"No"%"151.23 USD"
"2023//06//07"%"Jacket_VeryGood"%"Low"%4,41%17%"Express"%"No"%"145.52 USD"
"2023//03//05"%"Shoes_Good"%"Mid"%4,28%16%"Economy"%"No"%"118.81 USD"
"2023//07//18"%"Shoes_VeryGood"%"Low"%3,81%19%"Economy"%"No"%"108.65 USD"
"2023//03//08"%"Dress_VeryGood"%"Low"%4,59%5%"Standard"%"Yes"%"64.21 USD"
"2023//05//31"%"Jacket_Good"%"Mid"%4,55%11%"Standard"%"No"%"104.51 USD"
"2023//12//01"%"Dress_Good"%"Low"%4,12%7%"Express"%"No"%"55.59 USD"
"2023//03//26"%"Jacket_VeryGood"%"Mid"%3,66%17%"Express"%"No"%"134.94 USD"
"2023//06//14"%"Dress_New"%"Low"%4,12%7%"Standard"%"No"%"89.93 USD"
"2023//05//16"%"Dress_VeryGood"%"Low"%3,51%7%"Standard"%"Yes"%"46.29 USD"
"2023//02//20"%"Dress_VeryGood"%"Low"%4,88%5%"Economy"%"No"%"70.92 USD"
"2023//03//15"%"Accessories_VeryGood"%"Mid"%3,72%4%"Standard"%"No"%"71.59 USD"
"2023//06//27"%"Shoes_VeryGood"%"Mid"%4,22%5%"Express"%"No"%"124.87 USD"
"2023//12//28"%"Jacket_VeryGood"%"Low"%4,96%5%"Economy"%"No"%"119.82 USD"
