"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","4,332.10","4,351.00","4,384.70","4,285.50","1.47K","-1.59%"
"12/30/2025","4,402.20","4,367.00","4,435.30","4,355.60","0.02K","1.35%"
"12/29/2025","4,343.60","4,568.00","4,581.30","4,316.00","316.96K","-4.59%"
"12/26/2025","4,552.70","4,523.50","4,584.00","4,518.00","181.25K","0.56%"
"12/25/2025","4,527.50","4,505.40","4,539.65","4,505.30","6.84K","0.55%"
"12/24/2025","4,502.80","4,516.70","4,555.10","4,474.30","151.58K","-0.06%"
"12/23/2025","4,505.70","4,481.80","4,530.80","4,457.70","248.42K","0.81%"
"12/22/2025","4,469.40","4,369.90","4,484.50","4,367.90","203.04K","1.87%"
"12/19/2025","4,387.30","4,363.60","4,389.00","4,336.30","165.21K","0.52%"
"12/18/2025","4,364.50","4,371.50","4,409.50","4,338.00","234.46K","-0.21%"
"12/17/2025","4,373.90","4,333.50","4,383.60","4,330.70","212.41K","0.96%"
"12/16/2025","4,332.30","4,334.30","4,367.90","4,297.40","212.28K","-0.07%"
"12/15/2025","4,335.20","4,330.00","4,384.30","4,315.90","207.70K","0.16%"
"12/12/2025","4,328.30","4,309.10","4,387.80","4,286.00","292.18K","0.35%"
"12/11/2025","4,313.00","4,258.30","4,317.30","4,231.20","228.28K","2.09%"
"12/10/2025","4,224.70","4,237.50","4,268.80","4,207.80","186.18K","-0.27%"
"12/09/2025","4,236.20","4,219.60","4,251.70","4,197.80","177.37K","0.44%"
"12/08/2025","4,217.70","4,228.10","4,247.90","4,204.00","149.81K","-0.60%"
"12/05/2025","4,243.00","4,239.50","4,290.50","4,221.40","193.60K","0.00%"
"12/04/2025","4,243.00","4,234.50","4,251.10","4,203.30","161.25K","0.25%"
"12/03/2025","4,232.50","4,241.60","4,273.30","4,225.10","176.44K","0.28%"
"12/02/2025","4,220.80","4,265.30","4,269.20","4,194.00","215.92K","-1.26%"
"12/01/2025","4,274.80","4,258.50","4,299.60","4,241.10","227.57K","0.47%"
"11/28/2025","4,254.90","4,198.60","4,263.10","4,174.60","154.81K","1.41%"
"11/27/2025","4,195.70","4,196.40","4,199.50","4,174.70","0.25K","-0.16%"
"11/26/2025","4,202.30","4,167.00","4,209.00","4,163.60","187.97K","1.02%"
"11/25/2025","4,159.80","4,153.60","4,176.40","4,125.60","3.95K","1.14%"
"11/24/2025","4,113.10","4,087.30","4,157.00","4,056.00","1.63K","-0.07%"
"11/21/2025","4,116.00","4,112.20","4,137.60","4,054.20","75.11K","0.50%"
"11/20/2025","4,095.70","4,118.90","4,145.00","4,069.80","58.63K","-0.55%"
"11/19/2025","4,118.20","4,104.20","4,169.60","4,090.80","39.08K","0.40%"
"11/18/2025","4,101.70","4,083.90","4,118.70","4,032.80","32.39K","-0.20%"
"11/17/2025","4,109.80","4,122.70","4,142.70","4,042.30","25.15K","0.38%"
"11/14/2025","4,094.20","4,174.90","4,215.10","4,032.60","342.18K","-2.39%"
"11/13/2025","4,194.50","4,202.40","4,250.00","4,148.50","319.22K","-0.45%"
"11/12/2025","4,213.60","4,132.20","4,218.50","4,104.40","296.80K","2.36%"
"11/11/2025","4,116.30","4,124.00","4,155.00","4,102.80","252.25K","-0.14%"
"11/10/2025","4,122.00","4,007.20","4,124.00","4,004.20","253.81K","2.80%"
"11/07/2025","4,009.80","3,986.90","4,035.80","3,981.60","208.65K","0.47%"
"11/06/2025","3,991.00","3,992.40","4,028.70","3,973.20","188.69K","-0.05%"
"11/05/2025","3,992.90","3,939.50","4,000.70","3,935.70","175.16K","0.82%"
"11/04/2025","3,960.50","4,013.70","4,018.00","3,937.10","250.26K","-1.33%"
"11/03/2025","4,014.00","4,001.00","4,043.10","3,971.30","227.07K","0.44%"
"10/31/2025","3,996.50","4,038.20","4,059.90","3,982.30","237.17K","-0.48%"
"10/30/2025","4,015.90","3,942.80","4,041.50","3,925.10","246.32K","0.75%"
"10/29/2025","3,986.20","3,930.90","4,030.00","3,926.50","1.34K","0.44%"
"10/28/2025","3,968.70","3,985.10","4,015.00","3,890.70","1.36K","-0.92%"
"10/27/2025","4,005.50","4,066.30","4,101.60","3,973.00","2.12K","-3.20%"
"10/24/2025","4,137.80","4,144.00","4,159.00","4,055.70","297.60K","-0.19%"
"10/23/2025","4,145.60","4,114.80","4,171.50","4,079.60","271.97K","1.97%"
"10/22/2025","4,065.40","4,137.00","4,175.00","4,021.20","468.71K","-1.06%"
"10/21/2025","4,109.10","4,371.00","4,393.60","4,093.00","535.33K","-5.74%"
"10/20/2025","4,359.40","4,269.00","4,398.00","4,229.70","338.24K","3.47%"
"10/17/2025","4,213.30","4,348.10","4,392.00","4,196.00","569.85K","-2.12%"
"10/16/2025","4,304.60","4,225.10","4,346.70","4,214.50","375.20K","2.45%"
"10/15/2025","4,201.60","4,160.10","4,235.80","4,157.30","309.91K","0.92%"
"10/14/2025","4,163.40","4,130.90","4,190.90","4,105.00","405.99K","0.74%"
"10/13/2025","4,133.00","4,018.30","4,137.20","4,011.30","14.96K","3.31%"
"10/10/2025","4,000.40","3,990.10","4,038.60","3,961.20","357.54K","0.70%"
"10/09/2025","3,972.60","4,061.80","4,077.90","3,957.90","461.02K","-2.41%"
"10/08/2025","4,070.50","4,007.10","4,081.00","4,005.60","348.78K","1.65%"
"10/07/2025","4,004.40","3,983.00","4,014.60","3,963.40","297.51K","0.71%"
"10/06/2025","3,976.30","3,913.50","3,994.50","3,909.20","278.14K","1.72%"
"10/03/2025","3,908.90","3,880.40","3,916.80","3,861.10","218.28K","1.05%"
"10/02/2025","3,868.10","3,892.70","3,923.30","3,842.80","284.22K","-0.75%"
"10/01/2025","3,897.50","3,887.70","3,922.70","3,880.30","290.47K","0.63%"
"09/30/2025","3,873.20","3,863.10","3,899.20","3,820.60","312.26K","0.47%"
"09/29/2025","3,855.20","3,788.80","3,863.70","3,785.50","258.15K","1.62%"
"09/26/2025","3,793.90","3,762.90","3,798.70","3,752.10","1.81K","1.00%"
"09/25/2025","3,756.50","3,758.00","3,775.90","3,739.00","1.35K","0.08%"
"09/24/2025","3,753.40","3,784.30","3,798.50","3,735.70","1.49K","-1.27%"
"09/23/2025","3,801.80","3,767.30","3,808.00","3,759.30","2.29K","1.07%"
"09/22/2025","3,761.60","3,707.50","3,769.00","3,705.00","1.08K","1.51%"
"09/19/2025","3,705.80","3,677.70","3,719.60","3,664.40","186.95K","0.75%"
"09/18/2025","3,678.30","3,692.50","3,707.30","3,660.50","224.13K","-1.06%"
"09/17/2025","3,717.80","3,727.30","3,744.00","3,679.50","256.05K","-0.20%"
"09/16/2025","3,725.10","3,720.30","3,739.90","3,711.80","192.30K","0.16%"
"09/15/2025","3,719.00","3,680.20","3,724.90","3,662.80","189.45K","0.88%"
"09/12/2025","3,686.40","3,672.80","3,695.50","3,667.30","154.56K","0.35%"
"09/11/2025","3,673.60","3,680.60","3,687.50","3,651.00","214.61K","-0.23%"
"09/10/2025","3,682.00","3,662.00","3,697.50","3,651.40","182.03K","-0.01%"
"09/09/2025","3,682.20","3,676.60","3,715.20","3,663.70","262.66K","0.13%"
"09/08/2025","3,677.40","3,635.00","3,685.70","3,621.70","227.64K","0.66%"
"09/05/2025","3,653.30","3,602.00","3,655.50","3,595.40","237.65K","1.29%"
"09/04/2025","3,606.70","3,619.80","3,621.60","3,573.70","232.58K","-0.79%"
"09/03/2025","3,635.50","3,600.00","3,640.10","3,592.40","220.79K","1.21%"
"09/02/2025","3,592.20","3,517.90","3,602.40","3,506.00","374.14K","1.14%"
"09/01/2025","3,551.82","3,511.17","3,556.87","3,506.05","127.09K","1.13%"
"08/31/2025","3,512.00","3,517.65","3,517.65","3,509.70","","-0.12%"
"08/29/2025","3,516.10","3,477.20","3,518.50","3,463.00","188.55K","1.20%"
"08/28/2025","3,474.30","3,452.60","3,478.70","3,442.50","156.60K","1.12%"
"08/27/2025","3,435.70","3,428.10","3,436.00","3,410.70","0.09K","0.46%"
"08/26/2025","3,420.10","3,398.10","3,427.00","3,398.10","0.15K","0.45%"
"08/25/2025","3,404.90","3,399.70","3,407.20","3,395.00","0.09K","-0.40%"
