"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2025","4,384.60","4,361.15","4,420.30","4,339.55","2.93K","0.94%"
"12/29/2025","4,343.60","4,568.00","4,581.30","4,316.00","0.03K","-4.59%"
"12/26/2025","4,552.70","4,523.50","4,584.00","4,518.00","181.25K","0.56%"
"12/25/2025","4,527.50","4,505.40","4,539.65","4,505.30","6.84K","0.55%"
"12/24/2025","4,502.80","4,516.70","4,555.10","4,474.30","151.58K","-0.06%"
"12/23/2025","4,505.70","4,481.80","4,530.80","4,457.70","248.42K","0.81%"
"12/22/2025","4,469.40","4,369.90","4,484.50","4,367.90","203.04K","1.87%"
"12/19/2025","4,387.30","4,363.60","4,389.00","4,336.30","165.21K","0.52%"
"12/18/2025","4,364.50","4,371.50","4,409.50","4,338.00","234.46K","-0.21%"
"12/17/2025","4,373.90","4,333.50","4,383.60","4,330.70","212.41K","0.96%"
"12/16/2025","4,332.30","4,334.30","4,367.90","4,297.40","212.28K","-0.07%"
"12/15/2025","4,335.20","4,330.00","4,384.30","4,315.90","207.70K","0.16%"
"12/12/2025","4,328.30","4,309.10","4,387.80","4,286.00","292.18K","0.35%"
"12/11/2025","4,313.00","4,258.30","4,317.30","4,231.20","228.28K","2.09%"
"12/10/2025","4,224.70","4,237.50","4,268.80","4,207.80","186.18K","-0.27%"
"12/09/2025","4,236.20","4,219.60","4,251.70","4,197.80","177.37K","0.44%"
"12/08/2025","4,217.70","4,228.10","4,247.90","4,204.00","149.81K","-0.60%"
"12/05/2025","4,243.00","4,239.50","4,290.50","4,221.40","193.60K","0.00%"
"12/04/2025","4,243.00","4,234.50","4,251.10","4,203.30","161.25K","0.25%"
"12/03/2025","4,232.50","4,241.60","4,273.30","4,225.10","176.44K","0.28%"
"12/02/2025","4,220.80","4,265.30","4,269.20","4,194.00","215.92K","-1.26%"
"12/01/2025","4,274.80","4,258.50","4,299.60","4,241.10","227.57K","0.47%"
