"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","3.712","3.975","3.976","3.678","127.05K","-6.55%"
"12/30/2025","3.972","3.947","4.176","3.916","0.32K","-15.25%"
"12/29/2025","4.687","4.450","4.721","4.351","7.08K","7.35%"
"12/26/2025","4.366","4.196","4.421","4.196","46.35K","1.99%"
"12/25/2025","4.281","4.235","4.325","4.224","0.24K","0.92%"
"12/24/2025","4.242","4.415","4.593","4.180","57.07K","8.88%"
"12/23/2025","3.896","3.590","3.914","3.564","175.22K","9.10%"
"12/22/2025","3.571","3.738","3.783","3.467","151.33K","-10.37%"
"12/19/2025","3.984","3.942","4.030","3.840","145.51K","1.94%"
"12/18/2025","3.908","4.117","4.218","3.877","158.06K","-2.88%"
"12/17/2025","4.024","3.936","4.114","3.920","153.56K","3.55%"
"12/16/2025","3.886","4.037","4.045","3.842","155.86K","-3.14%"
"12/15/2025","4.012","4.171","4.218","3.993","169.24K","-2.46%"
"12/12/2025","4.113","4.231","4.257","4.065","199.84K","-2.79%"
"12/11/2025","4.231","4.626","4.631","4.196","287.86K","-7.92%"
"12/10/2025","4.595","4.578","4.696","4.455","271.11K","0.46%"
"12/09/2025","4.574","4.868","4.878","4.551","249.50K","-6.88%"
"12/08/2025","4.912","5.100","5.205","4.850","301.95K","-7.13%"
"12/05/2025","5.289","5.077","5.496","5.027","376.68K","4.46%"
"12/04/2025","5.063","5.010","5.090","4.871","209.84K","1.36%"
"12/03/2025","4.995","4.827","5.039","4.819","186.37K","3.20%"
"12/02/2025","4.840","4.902","4.984","4.805","172.38K","-1.65%"
"12/01/2025","4.921","4.870","4.952","4.758","209.47K","1.46%"
"11/28/2025","4.850","4.618","4.871","4.527","127.69K","4.77%"
"11/27/2025","4.629","4.634","4.647","4.530","27.73K","1.56%"
"11/26/2025","4.558","4.483","4.644","4.442","155.16K","3.03%"
"11/25/2025","4.424","4.501","4.547","4.267","6.37K","-2.75%"
"11/24/2025","4.549","4.465","4.576","4.444","78.48K","-0.68%"
"11/21/2025","4.580","4.489","4.675","4.461","80.71K","-1.86%"
"11/20/2025","4.667","4.767","4.800","4.650","141.95K","-1.81%"
"11/19/2025","4.753","4.589","4.806","4.571","135.72K","3.48%"
"11/18/2025","4.593","4.574","4.619","4.461","130.91K","0.00%"
"11/17/2025","4.593","4.736","4.746","4.554","107.34K","0.59%"
"11/14/2025","4.566","4.597","4.635","4.376","227.91K","-1.72%"
