"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2025","78.225","73.555","77.945","72.960","0.00K","11.02%"
"12/29/2025","70.460","80.000","82.670","70.215","253.37K","-8.73%"
"12/26/2025","77.196","72.725","79.700","72.720","173.54K","5.16%"
"12/25/2025","73.408","71.875","74.205","71.875","6.63K","2.40%"
"12/24/2025","71.685","71.680","72.750","70.160","95.69K","0.77%"
"12/23/2025","71.137","69.080","71.795","68.725","128.80K","3.75%"
"12/22/2025","68.565","67.550","69.525","67.470","98.56K","1.59%"
"12/19/2025","67.489","65.415","67.680","64.465","96.49K","3.48%"
"12/18/2025","65.219","66.510","66.825","64.675","111.67K","-2.51%"
"12/17/2025","66.901","63.795","67.180","63.725","147.11K","5.65%"
"12/16/2025","63.323","64.110","64.205","62.115","95.99K","-0.42%"
"12/15/2025","63.589","62.025","64.260","61.605","112.65K","2.55%"
"12/12/2025","62.007","63.985","65.085","61.015","189.23K","-4.00%"
"12/11/2025","64.592","62.235","64.720","61.780","134.40K","5.84%"
"12/10/2025","61.029","61.110","62.390","60.550","119.07K","0.31%"
"12/09/2025","60.840","58.515","61.295","57.990","118.78K","4.17%"
"12/08/2025","58.405","58.765","59.070","57.770","61.21K","-1.10%"
"12/05/2025","59.053","57.560","59.900","57.320","104.52K","2.72%"
"12/04/2025","57.491","58.980","59.235","56.850","99.36K","-1.93%"
"12/03/2025","58.620","59.160","59.655","58.210","103.40K","-0.14%"
"12/02/2025","58.703","58.450","59.320","57.225","108.76K","-0.74%"
"12/01/2025","59.142","57.000","59.435","56.850","141.45K","3.46%"
"11/28/2025","57.163","53.755","57.245","53.220","97.73K","7.53%"
"11/27/2025","53.160","53.173","53.695","52.550","0.82K","-0.83%"
"11/26/2025","53.607","51.750","53.790","51.545","86.09K","4.22%"
"11/25/2025","51.434","51.670","51.915","50.805","1.08K","2.26%"
"11/24/2025","50.295","49.595","49.825","49.595","0.04K","0.77%"
"11/21/2025","49.913","50.395","50.555","48.050","106.79K","-0.77%"
"11/20/2025","50.301","51.060","51.570","49.925","96.74K","-1.09%"
"11/19/2025","50.854","50.550","52.245","50.145","99.44K","0.66%"
"11/18/2025","50.521","50.060","51.035","49.115","76.56K","-0.37%"
"11/17/2025","50.711","50.405","51.110","49.345","73.31K","0.05%"
"11/14/2025","50.686","52.200","53.375","49.860","130.25K","-4.67%"
"11/13/2025","53.170","53.275","54.415","51.985","126.58K","-0.54%"
"11/12/2025","53.457","51.075","53.625","50.760","105.12K","5.35%"
"11/11/2025","50.744","50.445","51.130","50.150","72.74K","0.86%"
"11/10/2025","50.311","48.295","50.480","48.235","81.07K","4.50%"
"11/07/2025","48.143","47.860","48.730","47.780","64.22K","0.40%"
"11/06/2025","47.950","47.850","48.615","47.410","52.20K","-0.15%"
"11/05/2025","48.022","46.900","48.115","46.520","48.01K","1.55%"
"11/04/2025","47.291","47.885","47.965","46.650","61.29K","-1.58%"
"11/03/2025","48.049","48.250","48.835","47.760","52.39K","-0.23%"
"10/31/2025","48.160","48.730","48.995","47.975","58.10K","-0.94%"
"10/30/2025","48.616","47.290","48.835","47.095","63.30K","1.85%"
"10/29/2025","47.734","46.860","48.265","46.855","0.55K","1.24%"
"10/28/2025","47.149","46.730","47.170","45.380","0.44K","1.19%"
"10/27/2025","46.594","48.145","48.200","46.100","0.32K","-4.10%"
"10/24/2025","48.586","48.660","48.765","47.385","72.55K","-0.24%"
"10/23/2025","48.704","48.145","49.225","47.640","67.56K","2.15%"
"10/22/2025","47.681","48.130","48.650","46.820","113.83K","-0.05%"
"10/21/2025","47.704","51.370","51.615","47.120","158.67K","-7.16%"
"10/20/2025","51.384","50.725","51.830","50.080","98.51K","2.55%"
"10/17/2025","50.104","53.425","53.765","49.660","182.73K","-5.99%"
"10/16/2025","53.296","52.590","53.615","51.195","145.09K","3.73%"
"10/15/2025","51.378","50.370","52.635","50.310","123.35K","1.49%"
"10/14/2025","50.622","50.755","52.495","48.750","181.88K","0.38%"
"10/13/2025","50.429","47.520","50.890","47.425","6.27K","6.73%"
"10/10/2025","47.247","47.650","48.620","46.700","143.90K","0.19%"
"10/09/2025","47.157","48.450","49.965","46.890","190.55K","-3.75%"
"10/08/2025","48.994","47.665","49.195","47.530","99.32K","3.11%"
"10/07/2025","47.515","48.405","48.550","47.015","103.50K","-1.93%"
"10/06/2025","48.448","48.060","48.610","47.860","82.32K","1.01%"
"10/03/2025","47.965","46.865","48.325","46.550","94.93K","3.44%"
"10/02/2025","46.369","47.410","48.010","45.710","116.81K","-2.75%"
"10/01/2025","47.679","46.835","47.975","46.815","96.86K","2.23%"
"09/30/2025","46.640","47.135","47.390","45.960","101.72K","-0.80%"
"09/29/2025","47.016","46.420","47.410","46.270","112.82K","1.18%"
"09/26/2025","46.466","45.240","46.700","44.775","1.06K","3.41%"
"09/25/2025","44.933","43.940","45.290","43.940","0.94K","2.07%"
"09/24/2025","44.020","44.150","44.430","43.765","0.31K","-0.94%"
"09/23/2025","44.437","44.115","44.605","43.825","0.60K","0.89%"
"09/22/2025","44.044","43.215","44.220","43.215","0.45K","2.54%"
"09/19/2025","42.952","42.115","43.405","41.930","75.30K","1.98%"
"09/18/2025","42.118","42.000","42.250","41.495","58.34K","-0.08%"
"09/17/2025","42.152","42.875","42.940","41.480","90.89K","-1.78%"
"09/16/2025","42.917","43.200","43.435","42.615","64.81K","-0.10%"
"09/15/2025","42.962","42.725","43.235","42.470","47.43K","0.31%"
"09/12/2025","42.830","42.050","43.040","41.895","72.26K","1.62%"
"09/11/2025","42.149","41.635","42.330","41.330","60.28K","1.32%"
"09/10/2025","41.600","41.340","41.785","41.145","41.20K","0.63%"
"09/09/2025","41.341","41.935","42.070","41.205","67.61K","-1.34%"
"09/08/2025","41.902","41.465","42.355","41.080","69.16K","0.84%"
"09/05/2025","41.552","41.315","42.100","41.160","69.58K","0.33%"
"09/04/2025","41.417","41.810","41.830","41.065","67.31K","-1.53%"
"09/03/2025","42.060","41.725","42.290","41.465","64.66K","1.13%"
"09/02/2025","41.592","40.790","41.995","40.555","126.51K","-0.15%"
"09/01/2025","41.653","40.662","41.760","40.620","42.40K","2.43%"
"08/31/2025","40.662","40.757","40.770","40.565","","-0.15%"
"08/29/2025","40.723","39.715","40.860","39.340","70.04K","2.57%"
"08/28/2025","39.703","39.160","39.860","39.155","56.61K","1.66%"
"08/27/2025","39.056","39.035","39.075","38.520","0.79K","0.26%"
"08/26/2025","38.955","39.045","39.195","38.760","0.23K","-0.25%"
"08/25/2025","39.051","39.215","39.280","38.920","0.09K","-0.01%"
"08/22/2025","39.054","38.095","39.090","37.675","72.11K","2.56%"
"08/21/2025","38.079","37.890","38.190","37.520","46.54K","0.81%"
"08/20/2025","37.773","37.335","37.915","36.960","53.94K","1.18%"
"08/19/2025","37.332","38.075","38.200","37.240","50.87K","-1.83%"
"08/18/2025","38.029","38.040","38.340","37.830","37.27K","0.14%"
"08/15/2025","37.975","38.030","38.120","37.725","34.91K","-0.25%"
"08/14/2025","38.069","38.580","38.780","37.860","54.76K","-1.38%"
"08/13/2025","38.602","37.935","38.710","37.875","55.85K","1.58%"
"08/12/2025","38.002","37.630","38.090","37.515","67.39K","0.57%"
"08/11/2025","37.787","38.540","38.560","37.615","71.25K","-1.96%"
"08/08/2025","38.542","38.555","38.875","38.180","79.67K","0.65%"
"08/07/2025","38.294","37.935","38.760","37.935","90.13K","1.03%"
"08/06/2025","37.902","37.825","38.020","37.620","41.79K","0.21%"
"08/05/2025","37.823","37.445","37.940","37.325","51.39K","1.33%"
"08/04/2025","37.328","37.090","37.520","36.760","45.65K","1.08%"
"08/01/2025","36.929","36.780","37.240","36.400","66.42K","0.59%"
"07/31/2025","36.712","37.160","37.285","36.280","68.24K","-2.72%"
"07/30/2025","37.739","38.400","38.420","36.805","72.76K","-0.95%"
"07/29/2025","38.101","38.145","38.240","37.900","1.11K","0.15%"
"07/28/2025","38.043","38.135","38.260","37.900","0.73K","-0.84%"
"07/25/2025","38.365","39.290","39.520","38.100","68.80K","-2.19%"
"07/24/2025","39.224","39.530","39.660","38.930","50.60K","-0.71%"
"07/23/2025","39.503","39.645","39.910","39.335","64.35K","-0.13%"
"07/22/2025","39.555","39.250","39.720","39.025","58.28K","0.56%"
"07/21/2025","39.334","38.420","39.380","38.365","50.83K","2.26%"
"07/18/2025","38.464","38.425","38.825","38.375","42.30K","0.42%"
"07/17/2025","38.303","38.145","38.460","37.685","44.73K","0.48%"
"07/16/2025","38.119","37.985","38.380","37.750","56.45K","0.02%"
"07/15/2025","38.110","38.400","38.740","37.895","56.77K","-1.63%"
"07/14/2025","38.742","39.130","39.570","38.355","78.12K","-0.55%"
"07/11/2025","38.955","37.645","39.225","37.510","101.61K","4.42%"
"07/10/2025","37.305","36.600","37.690","36.575","83.25K","1.84%"
"07/09/2025","36.630","36.935","36.950","36.490","46.79K","-0.32%"
"07/08/2025","36.749","36.955","37.095","36.445","55.06K","-0.42%"
"07/07/2025","36.904","37.150","37.435","36.325","68.85K","-0.62%"
