COUNTRY;CONTINENT;AREA (SQ KM);POPULATION;(BIRTHS/1000 POPULATION);LIFE EXPECTANCY (YEARS);ADULT OBESITY (%);GDP - PER CAPITA (PPP);UNEMPLOYMENT RATE (%);ELECTRICITY CONSUMPTION (KWH);MOBILE PHONES;INTERNET USERS;RAILWAYS (KM);MILITARY EXPENDITURES (% OF GDP);POPULATION DENSITY (PERS/SQ KM);ELECTRICITY CONSUMPTION PER CAPITA;MOBILE PHONES (%);INTERNET USERS (%);RAILWAY DENSITY
AFGHANISTAN;SOUTH ASIA;652230;36643815;36,7;52,8;5,5;2000;23,9;5526000000;21239280;4717013;NA;1,2;56,18;150,8;0,58;0,13;NA
ALBANIA;EUROPE;28748;3074579;13;79;21,7;12500;5,83;5110000000;2799066;2196613;677;1,3;106,95;1662,02;0,91;0,71;0,0235
ALGERIA;AFRICA;2381740;42972878;20;77,5;27,4;15200;11,7;55960000000;46287629;24819531;3973;6;18,04;1302,22;1,08;0,58;0,0017
AMERICAN SAMOA;AUSTRALIA & OCEANIA;224;49437;17,8;74,8;NA;11200;29,8;157200000;NA;17;NA;NA;220,7;3179,8;NA;0;NA
ANDORRA;EUROPE;468;77;7;83;25,6;49900;3,7;221600000;97645;78483;NA;NA;0,16;2877922,08;1268,12;1019,26;NA
ANGOLA;AFRICA;1246700;32522339;42,7;61,3;8,2;6800;6,6;9036000000;14645106;4353033;2852;1,6;26,09;277,84;0,45;0,13;0,0023
ANGUILLA;CENTRAL AMERICA;91;1809;12,2;81,8;NA;12200;8;NA;32332;14211;NA;NA;19,88;NA;17,87;7,86;NA
ANTIGUA AND BARBUDA;CENTRAL AMERICA;442,6;98179;15,4;77,3;18,9;26400;11;307800000;187095;7287;NA;NA;221,82;3135,09;1,91;0,07;NA
ARGENTINA;SOUTH AMERICA;2780400;45479118;16;77,8;28,3;20900;9,84;1,21E+11;59008618;33203320;36917;0,7;16,36;2660,56;1,3;0,73;0,0133
ARMENIA;MIDDLE EAST;29743;3021324;11,9;75,6;20,2;9500;18,9;5291000000;3707557;1966942;780;4,9;101,58;1751,22;1,23;0,65;0,0262
ARUBA;CENTRAL AMERICA;180;119428;12,1;77,5;NA;37500;7,7;873300000;159471;113277;NA;NA;663,49;7312,36;1,34;0,95;NA
AUSTRALIA;AUSTRALIA & OCEANIA;7741220;25466459;12,4;82,7;29;50400;5,16;2,294E+11;27780491;21419302;33343;1,9;3,29;9007,93;1,09;0,84;0,0043
AUSTRIA;EUROPE;83871;8859449;9,5;81,9;20,1;50000;7,35;64600000000;10574725;7712665;58;0,7;105,63;7291,65;1,19;0,87;0,0007
AZERBAIJAN;MIDDLE EAST;86600;10205810;14,5;73,6;19,9;17500;5;20240000000;10835974;8017120;2944;4;117,85;1983,18;1,06;0,79;0,034
BAHRAIN;MIDDLE EAST;760;1505003;12,7;79,4;29,8;49000;3,6;26110000000;1706763;1423039;NA;3,7;1980,27;17348,8;1,13;0,95;NA
BANGLADESH;SOUTH ASIA;148460;162650853;18,1;74,2;3,6;4200;4,4;53650000000;163559380;23917950;246;1,3;1095,59;329,85;1,01;0,15;0,0017
BARBADOS;CENTRAL AMERICA;430;29456;11,3;76;23,1;18600;10,1;990000000;319177;239664;NA;NA;68,5;33609,45;10,84;8,14;NA
BELARUS;EUROPE;207600;9477918;9,5;73,8;24,5;18900;0,8;31720000000;11682764;7539145;5528;1,2;45,65;3346,73;1,23;0,8;0,0266
BELGIUM;EUROPE;30528;11720716;11,1;81,4;22,1;46600;5,36;82160000000;11616970;10258638;3592;0,93;383,93;7009,81;0,99;0,88;0,1177
BELIZE;CENTRAL AMERICA;22966;399598;22;75,3;24,1;8300;9;453000000;256479;18166;NA;1,2;17,4;1133,64;0,64;0,05;NA
