ja;já;I;core500 A1_Core_200_Most_Frequent_Words
ty;ty;you (sg);core500 A1_Core_200_Most_Frequent_Words
on;on;he;core500 A1_Core_200_Most_Frequent_Words
ona;ona;she;core500 A1_Core_200_Most_Frequent_Words
to;ono/to;it;core500 A1_Core_200_Most_Frequent_Words
my;my;we;core500 A1_Core_200_Most_Frequent_Words
wy;vy;you (pl);core500 A1_Core_200_Most_Frequent_Words
oni;oni;they;core500 A1_Core_200_Most_Frequent_Words
ten/ta/to;ten/ta/to;this/that/the;core500 A1_Core_200_Most_Frequent_Words
ten/ta/to;tento;this;core500 A1_Core_200_Most_Frequent_Words
tamten;tamten;that;core500 A1_Core_200_Most_Frequent_Words
kto;kdo;who;core500 A1_Core_200_Most_Frequent_Words
co;co;what;core500 A1_Core_200_Most_Frequent_Words
który;který;which;core500 A1_Core_200_Most_Frequent_Words
wszystko;všechno;everything;core500 A1_Core_200_Most_Frequent_Words
nic;nic;nothing;core500 A1_Core_200_Most_Frequent_Words
ktoś;někdo;someone;core500 A1_Core_200_Most_Frequent_Words
nikt;nikdo;nobody;core500 A1_Core_200_Most_Frequent_Words
coś;něco;something;core500 A1_Core_200_Most_Frequent_Words
każdy;každý;every/each;core500 A1_Core_200_Most_Frequent_Words
inny/inny;jiný/další;other/another;core500 A1_Core_200_Most_Frequent_Words
taki sam;stejný;same;core500 A1_Core_200_Most_Frequent_Words
sam/sama;sám/sama;self;core500 A1_Core_200_Most_Frequent_Words
swój;svůj;one's own;core500 A1_Core_200_Most_Frequent_Words
taki;takový;such;core500 A1_Core_200_Most_Frequent_Words
być;být;to be;core500 A1_Core_200_Most_Frequent_Words
mieć;mít;to have;core500 A1_Core_200_Most_Frequent_Words
robić/делать;dělat;to do/make;core500 A1_Core_200_Most_Frequent_Words
powiedzieć/mówić;říci/říkat;to say;core500 A1_Core_200_Most_Frequent_Words
iść;jít;to go;core500 A1_Core_200_Most_Frequent_Words
móc;moci/moct;can/to be able;core500 A1_Core_200_Most_Frequent_Words
wiedzieć;vědět;to know;core500 A1_Core_200_Most_Frequent_Words
chcieć;chtít;to want;core500 A1_Core_200_Most_Frequent_Words
widzieć;vidět;to see;core500 A1_Core_200_Most_Frequent_Words
dać;dát;to give;core500 A1_Core_200_Most_Frequent_Words
wziąć;vzít;to take;core500 A1_Core_200_Most_Frequent_Words
przyjść;přijít;to come;core500 A1_Core_200_Most_Frequent_Words
myśleć;myslet;to think;core500 A1_Core_200_Most_Frequent_Words
dostać;dostat;to get/receive;core500 A1_Core_200_Most_Frequent_Words
znaleźć;najít;to find;core500 A1_Core_200_Most_Frequent_Words
pisać;psát;to write;core500 A1_Core_200_Most_Frequent_Words
czytać;číst;to read;core500 A1_Core_200_Most_Frequent_Words
mówić;mluvit;to speak;core500 A1_Core_200_Most_Frequent_Words
