"","v1","carat","colour","clarity","certification","price"
"1","1","0.300000011920929","D","VS2","GIA","1302"
"2","2","0.300000011920929","E","VS1","GIA","1510"
"3","3","0.300000011920929","G","VVS1","GIA","1510"
"4","4","0.300000011920929","G","VS1","GIA","1260"
"5","5","0.310000002384186","D","VS1","GIA","1641"
"6","6","0.310000002384186","E","VS1","GIA","1555"
"7","7","0.310000002384186","F","VS1","GIA","1427"
"8","8","0.310000002384186","G","VVS2","GIA","1427"
"9","9","0.310000002384186","H","VS2","GIA","1126"
"10","10","0.310000002384186","I","VS1","GIA","1126"
"11","11","0.319999992847443","F","VS1","GIA","1468"
"12","12","0.319999992847443","G","VS2","GIA","1202"
"13","13","0.330000013113022","E","VS2","GIA","1327"
"14","14","0.330000013113022","I","VS2","GIA","1098"
"15","15","0.340000003576279","E","VS1","GIA","1693"
"16","16","0.340000003576279","F","VS1","GIA","1551"
"17","17","0.340000003576279","G","VS1","GIA","1410"
"18","18","0.340000003576279","G","VS2","GIA","1269"
"19","19","0.340000003576279","H","VS1","GIA","1316"
"20","20","0.340000003576279","H","VS2","GIA","1222"
"21","21","0.349999994039536","E","VS1","GIA","1738"
"22","22","0.349999994039536","F","VS1","GIA","1593"
"23","23","0.349999994039536","G","VS1","GIA","1447"
"24","24","0.349999994039536","H","VS2","GIA","1255"
"25","25","0.360000014305115","F","VS1","GIA","1635"
"26","26","0.360000014305115","H","VVS2","GIA","1485"
"27","27","0.370000004768372","F","VS2","GIA","1420"
"28","28","0.370000004768372","H","VS1","GIA","1420"
"29","29","0.400000005960464","F","VS1","GIA","1911"
"30","30","0.400000005960464","H","VS1","GIA","1525"
"31","31","0.409999996423721","F","VS1","GIA","1956"
"32","32","0.430000007152557","H","VVS2","GIA","1747"
"33","33","0.449999988079071","I","VS1","GIA","1572"
"34","34","0.46000000834465","E","VVS2","GIA","2942"
"35","35","0.479999989271164","G","VVS2","GIA","2532"
"36","36","0.5","E","VS1","GIA","3501"
"37","37","0.5","E","VS1","GIA","3501"
"38","38","0.5","F","VVS2","GIA","3501"
"39","39","0.5","F","VS1","GIA","3293"
"40","40","0.5","G","VS1","GIA","3016"
"41","41","0.509999990463257","F","VVS2","GIA","3567"
"42","42","0.509999990463257","G","VS1","GIA","3205"
"43","43","0.519999980926514","D","VS2","GIA","3490"
"44","44","0.519999980926514","E","VS1","GIA","3635"
"45","45","0.519999980926514","F","VVS2","GIA","3635"
"46","46","0.519999980926514","F","VS1","GIA","3418"
"47","47","0.529999971389771","D","VS1","GIA","3921"
"48","48","0.529999971389771","F","VVS2","GIA","3701"
"49","49","0.529999971389771","F","VS1","GIA","3480"
"50","50","0.529999971389771","G","VVS2","GIA","3407"
"51","51","0.540000021457672","E","VS1","GIA","3767"
"52","52","0.540000021457672","F","VVS1","GIA","4066"
"53","53","0.550000011920929","E","VVS2","GIA","4138"
"54","54","0.550000011920929","F","VS1","GIA","3605"
"55","55","0.550000011920929","G","VVS2","GIA","3529"
"56","56","0.560000002384186","F","VS1","GIA","3667"
"57","57","0.560000002384186","I","VVS2","GIA","2892"
"58","58","0.569999992847443","G","VVS2","GIA","3651"
"59","59","0.589999973773956","G","VVS2","GIA","3773"
"60","60","0.600000023841858","F","VS1","GIA","4291"
"61","61","0.620000004768372","E","VVS1","GIA","5845"
"62","62","0.629999995231628","G","VVS2","GIA","4401"
"63","63","0.639999985694885","G","VVS1","GIA","4759"
"64","64","0.660000026226044","H","VVS1","GIA","4300"
"65","65","0.699999988079071","F","VS1","GIA","5510"
"66","66","0.699999988079071","G","VS1","GIA","5122"
"67","67","0.699999988079071","H","VVS2","GIA","5122"
"68","68","0.699999988079071","I","VS2","GIA","3861"
