mode,price,crate,dbeach,dpier,dprivate,dcharter,pbeach,ppier,pprivate,pcharter,qbeach,qpier,qprivate,qcharter,income
charter,182.92999,.53909999,0,0,0,1,157.92999,157.92999,157.92999,182.92999,.0678,.050299998,.26010001,.53909999,7.0833316
charter,34.534,.46709999,0,0,0,1,15.114,15.114,10.534,34.534,.1049,.0451,.1574,.46709999,1.2499998
private,24.334,.2413,0,0,1,0,161.87399,161.87399,24.334,59.334,.53329998,.4522,.2413,1.0266,3.75
pier,15.134,.078900002,0,1,0,0,15.134,15.134,55.93,84.93,.0678,.078900002,.16429999,.53909999,2.0833333
private,41.514,.1082,0,0,1,0,106.93,106.93,41.514,71.014,.0678,.050299998,.1082,.324,4.5833321
charter,63.933998,.39750001,0,0,0,1,192.474,192.474,28.934,63.933998,.53329998,.4522,.1665,.39750001,4.5833321
beach,51.933998,.0678,1,0,0,0,51.933998,51.933998,191.92999,220.92999,.0678,.078900002,.16429999,.53909999,8.750001
charter,56.714001,.0209,0,0,0,1,15.134,15.134,21.714001,56.714001,.0678,.078900002,.0102,.0209,2.0833333
private,34.914001,.0233,0,0,1,0,34.914001,34.914001,34.914001,53.414001,.25369999,.1498,.0233,.0219,3.75
private,28.313999,.0233,0,0,1,0,28.313999,28.313999,28.313999,46.813999,.25369999,.1498,.0233,.0219,2.9166665
pier,34.914001,.0451,0,1,0,0,34.914001,34.914001,24.334,48.334,.1049,.0451,.1574,.46709999,3.75
private,16.722,.2413,0,0,1,0,312.14401,312.14401,16.722,51.722,.53329998,.4522,.2413,1.0266,7.0833316
pier,17.862,.0451,0,1,0,0,17.862,17.862,4.1220002,28.122,.1049,.0451,.0023000001,.0046000001,1.2499998
pier,15.134,.078900002,0,1,0,0,15.134,15.134,55.93,84.93,.0678,.078900002,.0014,.0029,2.0833333
beach,74.514,.25369999,1,0,0,0,74.514,74.514,74.514,93.014,.25369999,.1498,.2339,.62879997,8.750001
pier,33.534,.078900002,0,1,0,0,33.534,33.534,123.93,152.92999,.0678,.078900002,.16429999,.53909999,5.4166665
beach,48.113998,.1049,1,0,0,0,48.113998,48.113998,33.534,57.534,.1049,.0451,.1574,.46709999,5.4166665
pier,33.462002,.0078999996,0,1,0,0,33.462002,33.462002,7.7220001,31.722,.1049,.0078999996,.061299998,.3087,2.9166665
private,11.322,.0361,0,0,1,0,211.34399,211.34399,11.322,46.321999,.53329998,.0068999999,.0361,.42160001,4.5833321
private,11.322,.1574,0,0,1,0,49.062,49.062,11.322,35.321999,.1049,.0451,.1574,.46709999,4.5833321
charter,53.521999,.0057999999,0,0,0,1,345.74399,345.74399,18.521999,53.521999,.53329998,.4522,.0156,.0057999999,7.9166665
charter,44.321999,.0046000001,0,0,0,1,88.061996,88.061996,20.322001,44.321999,.1049,.0451,.0023000001,.0046000001,8.750001
private,15.134,.1665,0,0,1,0,100.674,100.674,15.134,50.133999,.53329998,.4522,.1665,.39750001,2.0833333
charter,43.734001,.3087,0,0,0,1,28.313999,28.313999,19.733999,43.734001,.1049,.0078999996,.061299998,.3087,2.9166665
charter,69.32,.64560002,0,0,0,1,33.462002,33.462002,34.32,69.32,.0678,.078900002,.0559,.64560002,2.9166665
beach,67.783997,.53329998,1,0,0,0,67.783997,67.783997,17.862,52.862,.53329998,.4522,.2413,1.0266,1.2499998
pier,50.32,.0451,0,1,0,0,50.32,50.32,49.062,73.061996,.1049,.0451,.1574,.46709999,4.5833321
private,74.32,.089699998,0,0,1,0,72.461998,72.461998,74.32,109.32,.0678,.078900002,.089699998,1.0905,7.0833316
charter,45.534,.0057999999,0,0,0,1,70.073997,70.073997,10.534,45.534,.53329998,.4522,.0156,.0057999999,1.2499998
charter,54.734001,.0057999999,0,0,0,1,131.274,131.274,19.733999,54.734001,.53329998,.4522,.0156,.0057999999,2.9166665
charter,43.734001,.0046000001,0,0,0,1,28.313999,28.313999,19.733999,43.734001,.1049,.0451,.0023000001,.0046000001,2.9166665
charter,35.321999,.3087,0,0,0,1,49.062,49.062,11.322,35.321999,.1049,.0078999996,.061299998,.3087,4.5833321
private,7.7220001,.0023000001,0,0,1,0,33.462002,33.462002,7.7220001,31.722,.1049,.0451,.0023000001,.0046000001,2.9166665
beach,9.5220003,.0678,1,0,0,0,9.5220003,9.5220003,78.292,107.292,.0678,.078900002,.0014,.0029,3.75
pier,25.662001,.0078999996,0,1,0,0,25.662001,25.662001,5.9219999,29.922001,.1049,.0078999996,.061299998,.3087,2.0833333
charter,42.722,.42160001,0,0,0,1,144.144,144.144,7.7220001,42.722,.53329998,.0068999999,.0361,.42160001,2.9166665
pier,120.004,.078900002,0,1,0,0,120.004,120.004,252.64,281.64001,.0678,.078900002,.0014,.0029,12.499998
private,80.608002,.053100001,0,0,1,0,25.648001,25.648001,80.608002,105.608,.25369999,.1498,.053100001,.0052,1.2499998
charter,60.004002,.0057999999,0,0,0,1,115.808,115.808,25.004,60.004002,.53329998,.4522,.0156,.0057999999,2.0833333
pier,32.604,.078900002,0,1,0,0,32.604,32.604,68.639999,97.639999,.0678,.078900002,.16429999,.53909999,2.9166665
private,46.332001,.16429999,0,0,1,0,10.296,10.296,46.332001,75.332001,.0678,.078900002,.16429999,.53909999,2.9166665
charter,89.912003,1.0905,0,0,0,1,10.296,10.296,54.911999,89.912003,.0678,.078900002,.089699998,1.0905,2.9166665
private,15.096,.2413,0,0,1,0,231.472,231.472,15.096,50.096001,.53329998,.4522,.2413,1.0266,4.5833321
charter,211.20799,2.3101001,0,0,0,1,59.248001,59.248001,186.20799,211.20799,.25369999,.1498,.73689997,2.3101001,3.75
charter,50.096001,1.0266,0,0,0,1,231.472,231.472,15.096,50.096001,.53329998,.4522,.2413,1.0266,4.5833321
pier,19.896,.078900002,0,1,0,0,19.896,19.896,89.531998,118.532,.0678,.078900002,.0014,.0029,6.2500014
charter,57.296001,1.0266,0,0,0,1,341.87201,341.87201,22.296,57.296001,.53329998,.4522,.2413,1.0266,7.0833316
charter,52.403999,1.0266,0,0,0,1,80.608002,80.608002,17.403999,52.403999,.53329998,.4522,.2413,1.0266,1.2499998
beach,24.334,.0678,1,0,0,0,24.334,24.334,89.93,118.93,.0678,.078900002,.16429999,.53909999,3.75
beach,11.322,.0678,1,0,0,0,11.322,11.322,93.092003,122.092,.0678,.078900002,.16429999,.53909999,4.5833321
charter,44.521999,.0057999999,0,0,0,1,177.744,177.744,9.5220003,44.521999,.53329998,.4522,.0156,.0057999999,3.75
pier,5.9219999,.078900002,0,1,0,0,5.9219999,5.9219999,48.692001,77.692001,.0678,.078900002,.16429999,.53909999,2.0833333
private,9.5220003,.2413,0,0,1,0,177.744,177.744,9.5220003,44.521999,.53329998,.4522,.2413,1.0266,3.75
private,10.534,.0361,0,0,1,0,70.073997,70.073997,10.534,45.534,.53329998,.0068999999,.0361,.42160001,1.2499998
charter,52.933998,.3087,0,0,0,1,41.514,41.514,28.934,52.933998,.1049,.0078999996,.061299998,.3087,4.5833321
charter,39.133999,.0046000001,0,0,0,1,21.714001,21.714001,15.134,39.133999,.1049,.0451,.0023000001,.0046000001,2.0833333
charter,42.722,.0057999999,0,0,0,1,144.144,144.144,7.7220001,42.722,.53329998,.4522,.0156,.0057999999,2.9166665
private,5.9219999,.061299998,0,0,1,0,25.662001,25.662001,5.9219999,29.922001,.1049,.0078999996,.061299998,.3087,2.0833333
private,13.122,.0156,0,0,1,0,244.944,244.944,13.122,48.122002,.53329998,.4522,.0156,.0057999999,5.4166665
