id,sex,income,car,size,choice,dealer
1,male,46.699997,American,2,0,18
1,male,46.699997,Japan,2,0,8
1,male,46.699997,Europe,2,1,5
2,male,26.1,American,3,1,17
2,male,26.1,Japan,3,0,6
2,male,26.1,Europe,3,0,2
3,male,32.700001,American,4,1,12
3,male,32.700001,Japan,4,0,6
3,male,32.700001,Europe,4,0,2
4,female,49.199997,American,2,0,18
4,female,49.199997,Japan,2,1,7
4,female,49.199997,Europe,2,0,4
5,male,24.299999,American,4,1,10
5,male,24.299999,Japan,4,0,7
5,male,24.299999,Europe,4,0,3
6,female,39,American,4,1,13
6,female,39,Japan,4,0,4
6,female,39,Europe,4,0,1
7,male,33,American,2,1,24
7,male,33,Japan,2,0,7
7,male,33,Europe,2,0,4
8,male,20.299999,American,4,1,9
8,male,20.299999,Japan,4,0,3
8,male,20.299999,Europe,4,0,3
9,male,38,American,3,0,14
9,male,38,Japan,3,1,10
9,male,38,Europe,3,0,2
10,female,60.400002,American,3,1,18
10,female,60.400002,Japan,3,0,5
10,female,60.400002,Europe,3,0,4
11,male,69,American,3,1,23
11,male,69,Japan,3,0,8
11,male,69,Europe,3,0,2
12,male,27.700001,American,1,0,21
12,male,27.700001,Japan,1,1,9
12,male,27.700001,Europe,1,0,5
13,male,41,American,2,0,20
13,male,41,Japan,2,1,10
13,male,41,Europe,2,0,5
14,male,65.599998,American,4,0,13
14,male,65.599998,Japan,4,1,4
14,male,65.599998,Europe,4,0,5
15,male,24.799999,American,3,1,21
15,male,24.799999,Japan,3,0,5
15,male,24.799999,Europe,3,0,3
16,male,21.6,American,2,1,19
16,male,21.6,Japan,2,0,8
16,male,21.6,Europe,2,0,3
17,female,43.299999,American,1,1,23
17,female,43.299999,Japan,1,0,9
17,female,43.299999,Europe,1,0,5
18,female,44.400002,American,1,0,22
18,female,44.400002,Japan,1,1,10
18,female,44.400002,Europe,1,0,4
19,male,45.300003,American,4,1,17
19,male,45.300003,Japan,4,0,8
19,male,45.300003,Europe,4,0,1
20,male,48.799999,American,3,1,20
20,male,48.799999,Japan,3,0,10
20,male,48.799999,Europe,3,0,5
