age_ref,empltyp1,fam_size,marital1,sex_ref
54,Private company,2,3,2
21,Private company,2,1,1
29,Private company,3,1,2
34,Private company,6,5,2
51,State government,2,1,2
29,Private company,4,1,2
68,Private company,1,5,2
24,Private company,5,5,2
64,Private company,3,1,2
35,Private company,2,5,2
22,State government,2,5,2
44,Private company,1,5,1
51,Federal government,1,3,1
20,Private company,1,5,1
40,Private company,8,5,2
60,Private company,1,5,2
76,Private company,2,1,2
38,Self-employed,2,3,2
61,Private company,2,1,1
48,Private company,3,1,2
28,Self-employed,1,5,2
36,Private company,1,5,1
42,Private company,3,1,1
27,Private company,1,5,1
35,Private company,1,5,2
69,Private company,1,5,2
53,Private company,4,1,1
32,Private company,5,5,2
23,Private company,1,5,1
52,Private company,3,1,1
60,State government,1,5,2
24,Private company,2,1,1
41,Private company,1,3,1
50,Private company,3,1,2
70,Private company,2,1,2
35,Private company,6,1,2
49,Private company,1,3,1
26,Private company,2,1,1
34,Private company,4,5,1
47,Private company,1,5,2
31,Local government,3,1,1
39,Private company,2,3,2
69,Private company,2,1,1
62,Private company,1,3,1
71,Local government,1,3,1
24,Private company,1,5,2
42,Private company,2,1,1
35,Private company,2,1,1
42,Private company,4,1,1
64,Private company,2,1,1
31,Federal government,3,1,2
37,Private company,4,1,2
73,Private company,2,1,2
44,Private company,2,4,1
31,Private company,4,1,2
42,Private company,1,4,1
46,Private company,1,3,2
35,Private company,1,1,1
52,Self-employed,3,1,1
43,Private company,4,1,2
25,Private company,4,1,2
42,Private company,5,1,2
63,Private company,2,1,1
31,Private company,2,1,1
33,Private company,3,1,2
50,Private company,4,1,2
35,Local government,2,3,2
40,Private company,4,1,2
72,Self-employed,2,1,2
39,Private company,7,1,2
56,State government,2,1,2
25,Private company,2,5,1
41,Private company,4,4,2
61,Self-employed,2,1,2
55,Private company,2,3,2
73,Private company,2,1,1
39,Self-employed,4,1,1
53,Private company,4,1,2
48,Local government,2,1,2
63,Private company,1,5,2
60,Private company,2,1,1
46,Local government,7,1,2
48,Self-employed,2,1,1
64,Private company,2,1,2
28,Private company,1,5,2
56,Self-employed,1,5,1
47,Local government,2,1,1
47,Private company,2,5,2
39,State government,6,1,2
29,Private company,4,5,2
44,Local government,7,3,2
63,Private company,3,1,1
56,Private company,2,1,1
53,Private company,1,1,1
68,Local government,2,1,1
51,Private company,2,1,2
37,Private company,4,1,1
55,Private company,3,1,2
21,Private company,5,5,1
45,Private company,3,1,2
63,Private company,3,1,2
47,Private company,3,3,1
66,State government,1,5,2
29,Private company,1,5,1
38,Private company,4,3,2
46,Private company,6,1,1
25,Private company,2,1,1
50,Private company,5,1,2
61,Private company,1,5,2
19,Private company,1,5,1
53,Private company,1,5,2
21,Private company,1,5,2
23,Private company,2,5,1
55,Local government,2,1,2
28,Private company,2,5,1
54,Self-employed,2,1,2
50,Private company,3,3,2
65,Private company,1,2,2
43,Private company,4,1,1
54,Private company,2,1,2
36,Private company,2,5,2
29,Local government,1,5,2
