no,location,nop,income,expend,alcohol,price
20115011,500t+,2,1447,1414,192,1
10151014,500t+,3,5702,2401,0,1
21269014,-20t,5,1492,1997,42,1
11756011,20t-100t,4,2607,4246,0,1
22126011,wies,2,2160,1887,0,1
11554011,-20t,2,740,614,0,1
20117014,500t+,5,3622,2703,0,1
21270014,-20t,5,3500,5211,0,1
21029011,-20t,2,4436,3695,0,1
11522011,-20t,2,2272,2196,0,1
11506014,100t-200t,2,1450,943,54,1
11664014,20t-100t,4,1759,1498,0,1
20008014,200t-500t,3,2803,3466,96,1
20044014,200t-500t,2,4603,2480,0,1
10081012,500t+,4,1169,1638,0,1
11689011,-20t,6,2786,2486,215,1
21291011,-20t,4,1544,1590,82,1
22133011,wies,3,1369,1039,0,1
21271014,-20t,1,1248,443,0,1
20116014,500t+,5,3581,4408,0,1
21267011,-20t,4,1563,1141,0,1
11275011,20t-100t,6,2875,2352,0,1
20096014,500t+,3,5300,3108,496,1
11494014,-20t,3,2600,1885,0,1
21151011,20t-100t,3,2888,1795,0,1
10358014,200t-500t,2,2416,2247,0,1
11280011,200t-500t,3,1903,1274,67,1
11640011,-20t,5,369,330,0,1
22040011,wies,5,1820,1143,0,1
11724014,-20t,5,3173,3805,0,1
10080011,500t+,3,2816,2842,199,1
11253011,20t-100t,3,2555,4448,0,1
11269011,100t-200t,4,1565,1328,81,1
12089014,wies,4,2952,2841,201,1
22035011,wies,4,3576,3031,0,1
21264014,-20t,4,1059,856,0,1
11521014,-20t,1,2000,2158,0,1
21274011,-20t,3,3524,3132,0,1
10335014,500t+,2,6247,7112,0,1
11519014,20t-100t,2,1433,1585,0,1
11115014,-20t,3,3200,1637,0,1
22159014,wies,6,1039,1179,0,1
10167011,500t+,3,3687,2243,81,1
20124014,500t+,3,2844,1379,142,1
11275014,20t-100t,3,852,698,0,1
21069014,100t-200t,5,1086,754,0,1
11153011,20t-100t,7,1920,1333,0,1
21159011,20t-100t,3,5598,5307,194,1
21237014,200t-500t,3,1339,1117,0,1
20001014,200t-500t,3,4306,2929,0,1
12111011,wies,4,1428,1417,0,1
10365014,200t-500t,2,1402,751,0,1
11066011,-20t,6,2315,1458,7,1
22221011,wies,4,3090,2678,0,1
12477014,wies,3,1736,1991,0,1
21139014,20t-100t,3,1737,1764,0,1
10168014,500t+,3,3350,2577,150,1
11546011,100t-200t,8,2238,1305,0,1
10171014,500t+,4,1750,1656,0,1
10076014,500t+,4,2451,1933,69,1
21078011,20t-100t,4,1985,1479,231,1
21008011,-20t,2,1362,1668,0,1
21026014,100t-200t,4,1802,1341,57,1
21258014,-20t,4,2466,1995,0,1
11300014,-20t,3,1762,805,0,1
10257014,200t-500t,4,1304,1478,0,1
21056011,20t-100t,3,2071,1436,0,1
10099011,500t+,2,2224,1656,0,1
21261014,100t-200t,3,2575,3088,202,1
20128014,200t-500t,1,1427,852,0,1
10154014,500t+,3,2627,1714,0,1
11391011,20t-100t,4,1136,719,0,1
20136011,200t-500t,4,2346,2326,0,1
20109014,500t+,2,1167,1159,0,1
21003014,20t-100t,4,1573,810,87,1
21102014,20t-100t,4,1087,1729,0,1
10186011,500t+,1,1909,1928,188,1
11478014,20t-100t,2,3040,2250,0,1
11647011,-20t,4,1170,1092,83,1
21136011,20t-100t,9,2086,1308,0,1
11240011,200t-500t,4,3250,2877,0,1
22075014,wies,4,1441,1531,0,1
11335014,200t-500t,2,2574,3034,170,1
21281014,20t-100t,3,2511,3167,166,1
21101014,20t-100t,4,3653,3439,20,1
20091011,500t+,4,2150,2460,0,1
11269014,100t-200t,2,1981,1112,64,1
22113011,wies,5,1136,963,0,1
11198011,-20t,3,600,1003,0,1
20040014,200t-500t,3,3300,3312,0,1
22197014,wies,3,2262,2453,0,1
20089011,500t+,3,4346,2435,94,1
20141014,200t-500t,3,934,1479,53,1
10279014,200t-500t,3,1200,1544,85,1
22048014,wies,4,2359,1618,0,1
21224014,20t-100t,4,1700,2069,7,1
10261011,200t-500t,6,6943,4752,389,1
10097014,500t+,1,0,696,0,1
21091011,20t-100t,4,3333,4675,0,1
21290011,-20t,3,401,449,78,1
20151014,500t+,5,7274,4315,0,1
21259014,-20t,2,2058,1306,0,1
20138011,200t-500t,3,2758,2416,0,1
11152011,20t-100t,2,1345,1547,71,1
10125011,500t+,2,2322,2973,60,1
20022014,100t-200t,4,1707,2844,0,1
10299011,200t-500t,3,1384,1425,0,1
21148014,20t-100t,4,1515,1539,224,1
20026014,200t-500t,3,6117,4240,0,1
21084014,20t-100t,3,3892,3217,0,1
22196011,wies,6,2000,2537,359,1
21131011,20t-100t,4,1870,1572,0,1
21296014,100t-200t,4,2162,1785,0,1
20026011,200t-500t,2,1368,2521,95,1
10340012,500t+,2,3199,2372,0,1
20083011,500t+,1,1369,1340,0,1
12376014,wies,5,1280,800,0,1
20063011,500t+,1,1400,1466,0,1
21235011,20t-100t,4,2430,1691,195,1
21066011,100t-200t,3,4020,3760,0,1
11594014,-20t,5,1351,1403,127,1
21035014,-20t,4,1490,4907,73,1
11525011,20t-100t,4,5529,5128,0,1
22069014,wies,5,1572,1664,0,1
22065011,wies,3,1501,1700,0,1
22105014,wies,3,1575,1339,0,1
20021011,100t-200t,3,2183,1201,0,1
21256014,-20t,4,3339,3079,0,1
21020011,20t-100t,4,1464,1127,48,1
20088014,500t+,4,2335,2330,0,1
21161011,20t-100t,2,910,1367,0,1
21069011,100t-200t,3,1815,1147,0,1
20075014,500t+,3,1769,1958,0,1
21287014,20t-100t,2,2066,2662,0,1
21030011,20t-100t,3,2595,1945,0,1
21288011,20t-100t,1,735,783,52,1
11233014,100t-200t,1,1550,1664,0,1
10259011,200t-500t,2,2953,1262,0,1
