Name,Date,Open,High,Low,Close,Volume
SP500,19700102,92.06,93.54,91.79,93.00,0
SP500,19700105,93.00,94.25,92.53,93.46,0
SP500,19700106,93.46,93.81,92.13,92.82,0
SP500,19700107,92.82,93.38,91.93,92.63,0
SP500,19700108,92.63,93.47,91.99,92.68,0
SP500,19700109,92.68,93.25,91.82,92.40,0
SP500,19700112,92.40,92.67,91.20,91.70,0
SP500,19700113,91.70,92.61,90.99,91.92,0
SP500,19700114,91.92,92.40,90.88,91.65,0
SP500,19700115,91.65,92.35,90.73,91.68,0
SP500,19700116,91.68,92.49,90.36,90.92,0
SP500,19700119,90.72,90.72,89.14,89.65,0
SP500,19700120,89.65,90.45,88.64,89.83,0
SP500,19700121,89.83,90.61,89.20,89.95,0
SP500,19700122,89.95,90.80,89.20,90.04,0
SP500,19700123,90.04,90.45,88.74,89.37,0
SP500,19700126,89.23,89.23,87.49,88.17,0
SP500,19700127,88.17,88.54,86.92,87.62,0
SP500,19700128,87.62,88.24,86.44,86.79,0
SP500,19700129,86.79,87.09,85.02,85.69,0
SP500,19700130,85.69,86.33,84.42,85.02,0
SP500,19700202,85.02,86.76,84.76,85.75,0
SP500,19700203,85.75,87.54,84.64,86.77,0
SP500,19700204,86.77,87.66,85.59,86.24,0
SP500,19700205,86.24,86.62,84.95,85.90,0
SP500,19700206,85.90,86.88,85.23,86.33,0
SP500,19700209,86.33,87.85,86.16,87.01,0
SP500,19700210,87.01,87.40,85.58,86.10,0
SP500,19700211,86.10,87.38,85.30,86.94,0
SP500,19700212,86.94,87.54,85.93,86.73,0
SP500,19700213,86.73,87.30,85.71,86.54,0
SP500,19700216,86.54,87.30,85.80,86.47,0
SP500,19700217,86.47,87.08,85.57,86.37,0
SP500,19700218,86.37,88.07,86.19,87.44,0
SP500,19700219,87.44,88.70,86.94,87.76,0
SP500,19700220,87.76,88.74,86.87,88.03,0
SP500,19700224,88.03,88.91,87.28,87.99,0
SP500,19700225,87.99,89.80,87.11,89.35,0
SP500,19700226,89.35,89.63,87.63,88.90,0
SP500,19700227,88.90,90.33,88.42,89.50,0
SP500,19700302,89.50,90.80,88.92,89.71,0
SP500,19700303,89.71,90.67,88.96,90.23,0
SP500,19700304,90.23,91.05,89.32,90.04,0
SP500,19700305,90.04,90.99,89.38,90.00,0
SP500,19700306,90.00,90.36,88.84,89.44,0
SP500,19700309,89.43,89.43,87.94,88.51,0
SP500,19700310,88.51,89.41,87.89,88.75,0
SP500,19700311,88.75,89.58,88.11,88.69,0
SP500,19700312,88.69,89.09,87.68,88.33,0
SP500,19700313,88.33,89.43,87.29,87.86,0
SP500,19700316,87.86,87.97,86.39,86.91,0
SP500,19700317,86.91,87.86,86.36,87.29,0
SP500,19700318,87.29,88.28,86.93,87.54,0
SP500,19700319,87.54,88.20,86.88,87.42,0
SP500,19700320,87.42,87.77,86.43,87.06,0
SP500,19700323,87.06,87.64,86.19,86.99,0
SP500,19700324,86.99,88.43,86.90,87.98,0
SP500,19700325,88.11,91.07,88.11,89.77,0
SP500,19700326,89.77,90.65,89.18,89.92,0
SP500,19700330,89.92,90.41,88.91,89.63,0
SP500,19700331,89.63,90.17,88.85,89.63,0
SP500,19700401,89.63,90.62,89.30,90.07,0
SP500,19700402,90.07,90.70,89.28,89.79,0
SP500,19700403,89.79,90.16,88.81,89.39,0
SP500,19700406,89.39,89.61,88.15,88.76,0
SP500,19700407,88.76,89.31,87.94,88.52,0
SP500,19700408,88.52,89.09,87.83,88.49,0
SP500,19700409,88.49,89.32,87.96,88.53,0
SP500,19700410,88.53,89.14,87.82,88.24,0
SP500,19700413,88.24,88.67,87.15,87.64,0
SP500,19700414,87.64,87.73,86.01,86.89,0
SP500,19700415,86.89,87.71,86.53,86.73,0
SP500,19700416,86.73,87.13,85.51,85.88,0
SP500,19700417,85.88,86.36,84.75,85.67,0
SP500,19700420,85.67,86.36,84.99,85.83,0
SP500,19700421,85.83,86.54,84.99,85.38,0
SP500,19700422,85.38,85.51,83.84,84.27,0
SP500,19700423,84.27,84.30,82.61,83.04,0
SP500,19700424,83.04,83.62,81.96,82.77,0
SP500,19700427,82.77,83.08,81.08,81.46,0
SP500,19700428,81.46,82.16,79.86,80.27,0
SP500,19700429,80.27,83.23,79.31,81.81,0
SP500,19700430,81.81,82.57,80.76,81.52,0
SP500,19700501,81.52,82.32,80.27,81.44,0
SP500,19700504,81.28,81.28,78.85,79.37,0
SP500,19700505,79.37,79.83,78.02,78.60,0
SP500,19700506,78.60,80.91,78.23,79.47,0
SP500,19700507,79.47,80.60,78.89,79.83,0
SP500,19700508,79.83,80.15,78.71,79.44,0
SP500,19700511,79.44,79.72,78.29,78.60,0
SP500,19700512,78.60,79.15,77.06,77.85,0
SP500,19700513,77.75,77.75,75.92,76.53,0
SP500,19700514,76.53,76.64,74.03,75.44,0
SP500,19700515,75.44,77.42,74.59,76.90,0
SP500,19700518,76.90,77.68,76.07,76.96,0
SP500,19700519,76.96,77.20,75.21,75.46,0
SP500,19700520,75.35,75.35,73.25,73.52,0
SP500,19700521,73.51,73.51,70.94,72.16,0
SP500,19700522,72.16,73.42,71.42,72.25,0
SP500,19700525,72.16,72.16,69.92,70.25,0
SP500,19700526,70.25,71.17,68.61,69.29,0
SP500,19700527,69.37,73.22,69.37,72.77,0
SP500,19700528,72.77,75.44,72.59,74.61,0
SP500,19700529,74.61,76.92,73.53,76.55,0
SP500,19700601,76.55,78.40,75.84,77.84,0
SP500,19700602,77.84,78.73,76.51,77.84,0
SP500,19700603,77.84,79.22,76.97,78.52,0
SP500,19700604,78.52,79.42,76.99,77.36,0
SP500,19700605,77.36,77.48,75.25,76.17,0
SP500,19700608,76.17,77.37,75.30,76.29,0
SP500,19700609,76.29,79.96,75.58,76.25,0
SP500,19700610,76.25,76.62,74.92,75.48,0
