x,y,z1,z2,z3
-.68243003,-.55321002,.66175002,-1.03449,-1.69849
2.4821999,4.7472,.80179,1.31019,2.4426601
.14934,1.53093,-1.95637,-1.1287,.90907001
.4729,1.83448,-.87638003,.44545001,.38953
-1.08409,-.47211999,-.35530001,-.5262,.34793001
-1.4926701,-.11502,-2.6157601,-1.07867,-.50743002
.61198002,3.0409901,2.09323,-1.81829,.46393001
-.65601999,.39901999,-.34096,-1.82513,.25558999
.094829999,1.31146,-.19188,.023809999,.63208997
-.75199002,-1.4421099,-.17891,1.08031,-.51586002
1.65367,3.3331001,.64630997,1.15267,1.34205
.91422999,2.50774,1.0808001,.20387,-.99668998
.56698,3.4790299,-.88809001,-.47156,-.035569999
.69828999,2.8104999,.14127,1.24196,-.60377002
.26177999,2.19137,-.19164,-.47983,.10467
1.3282599,4.2225199,.51577997,-.24214999,.082249999
1.73041,2.4967999,1.66248,1.52399,.30012
-.44573,.54254001,.14066,-.83504999,1.08322
.29438001,1.4471,.01575,.7604,1.95436
.55146003,2.50793,.94400001,-.12769,.30755001
-.37865001,.13631999,-.16087,-.51955998,.079449996
1.26376,3.7821,1.3149,.95243001,.19137999
-.36741999,1.36261,-1.00397,-.21302,.30405
.73172998,2.00757,1.22486,-1.6442699,1.78005
-.29697999,-.26783001,-1.15002,1.72987,-.71696001
-.21676999,1.32785,-.42102,-1.42802,.38508999
.045200001,-.39905,1.09552,1.96275,-1.0019
-.86181003,.26280001,.12710001,-2.29936,-1.31312
.49689001,.21844,1.10154,.15710001,-1.11471
.00046000001,1.0368201,-.32089001,1.32468,-.13662
-.65638,.90359002,-.55983001,-1.00588,.12773
.2464,1.37962,.94058001,-.43794999,-.81182998
-.76239002,.82176,-.58029002,.16931,-1.81994
1.57221,3.7838299,-.10838,2.1089499,-.45184001
.29322001,1.40571,-.68107003,.70046002,1.85847
-.51998001,-.52565998,-.67668003,-.03596,.99168003
-1.3195601,-1.05033,-1.948,.40933001,-2.1991501
-.67694002,-.38819,-1.46164,-.77784002,.52359998
.049520001,-.2157,.32023001,.46799999,1.4039
.71500999,1.29695,-.0072400002,1.34597,.46143001
-.38640001,-1.2640001,1.61589,.59276998,-1.1689
.10993,1.30739,1.6540101,-.48014,-.95810002
2.40923,3.1682301,.30388001,2.08706,1.8575
-.096600004,1.1071399,-.28437999,-.62553,-.097929999
.11015,2.4395299,-.72318,.28123,.99899
-.79153001,-2.38078,.11643,1.68831,-.46382999
.11727,.96192002,-.1238,-.51615,-.30182999
1.33643,3.12463,1.25062,-1.41438,-.17615999
.57410002,2.95701,-.085469998,-.55097002,-.34986001
-.31836,1.00237,-.86789,.28380999,-.70633
.85338002,2.12128,.63909,-1.1526901,.78415
-1.26741,-2.9667101,-.098590001,1.18128,-.75019997
.48809999,2.1127901,.41775,-.26420999,-1.40874
.92848998,4.6135001,.15702,.56800002,-.16247
.18128,1.07214,1.3880399,.18018,-.31847
.80067998,2.0350001,1.1037101,-.91970998,1.02671
2.4712999,5.3024702,1.65546,.32743001,.11187
.2358,1.24924,-.46281999,.81129998,.37568
1.28127,3.3185999,.65831,1.26815,-.17217
.95552999,2.3912399,1.53119,-1.45995,.42239001
.76538002,2.60079,-.53540999,.45679,.66570997
.15572,.79699999,-.094999999,1.04457,.38337001
.55361998,.58515,.01355,.62607002,.43138
.089809999,.96452999,.85141999,-.89533001,.71368003
.46948001,2.00998,-.32962,1.84392,.67514002
-1.6483999,-2.8951299,-.73102999,.31753001,-.77283001
-1.4542,-1.7725101,-1.0964299,1.03192,-1.3738199
.32646,2.02298,.061000001,-.69971001,.29409
.44452,1.1406,.06758,.88927001,.28832
-1.14617,-.95595002,.0491,-.90921003,-1.79406
2.7662799,6.7273502,.68945998,-.83295,3.1457
.57665998,1.43411,-.42083001,.99036998,-.45522001
-.83263999,-.23321,-.59042001,-.36916,.12839
-.41165,.20852999,.74751002,.44558999,-2.98265
-.68342,-.17199001,-1.04649,-.18674999,-1.33648
-.73694003,.93760997,-1.1831501,-.87853998,1.01577
.45811,2.16223,.53955001,-1.96593,-.38767001
1.60019,3.9086001,.27498001,.74129999,1.8847899
-.080410004,.16215,.25916001,.16768999,.58849001
-.72468001,-.87190998,-.61588001,-.083659999,-1.00817
-.49871001,1.28514,-.31253001,-.98355001,-1.36062
.22225,1.61352,-.082950003,1.43443,-1.64438
.15556,.31141999,.49559,.99386001,.41736999
-.67703998,-.089900002,-.83121997,-.10414,-2.0641799
.18386,1.03452,-.24151,.76108003,-.77051997
-.73578,-.062770002,-.43035999,-.088859998,.81264001
-1.21969,-.47738999,-.17174,1.8488801,-1.95482
2.11955,4.5866199,-.39813,1.09829,1.4169199
.96992999,2.09567,.42791,.42851999,.13299
.63824999,3.0643899,-.15807,-.51740998,.70074999
1.09182,3.7034299,-.70669001,.72737998,.87905002
.15001,-.52148002,1.4384,-.60227001,-.18512
.35585001,1.38875,.15728,1.33397,-1.56503
-1.4702899,-1.47308,-1.49327,-1.01827,.90952998
.38023999,2.7534299,-.7924,1.5138299,.79815
.10453,-.31775001,-.57665002,-.53542,1.16018
1.85165,4.8576498,1.00541,-1.02318,1.83442
2.1003499,4.98663,.91487998,.88494003,.80059999
.22201,2.94346,-1.22895,-.50382,1.55264
1.43606,1.81309,1.49798,1.64691,.90433002
