q,xper,cap,lab,age
8.4638996,10,.1875,3.9054999,42
10.3116,20,6.3418999,7.1255002,44
12.1644,15,11.8028,18.274401,43
.0788,11,.366,.9242,58
11.31,20,7.3264999,10.1505,28
8.2517004,21,8.3297005,6.0560999,25
8.9167995,12,6.3874002,10.8878,49
8.6618996,8,6.4164,6.9334998,33
9.5078001,9,5.4654999,2.9344001,28
3.747,16,4.2319002,5.8780999,37
6.7186999,19,5.9359999,5.204,40
6.3730001,7,1.6684999,5.3013,55
15.025,12,10.8252,13.9639,54
14.9549,10,16.311001,17.774099,25
5.8028998,13,4.2735,12.7172,33
8.6343002,25,5.4057999,4.1448998,55
10.7467,20,9.7282,7.8698001,35
6.3659,5,7.5044999,10.1791,34
4.4429998,20,4.5422001,8.4053001,40
7.6988001,5,8.0328999,7.5816002,34
9.1756001,11,5.5437999,8.1296997,33
11.373,3,12.1958,16.954901,35
2.4247,4,5.9983001,4.0967999,25
13.6762,15,13.5307,11.802,25
14.6508,12,16.164101,18.555,37
9.5432997,14,9.5115995,8.5649996,51
8.8694,7,5.9085002,11.7386,41
8.1360998,16,10.819,11.8441,30
15.2618,14,14.0807,15.4819,27
7.2811999,14,8.7349005,9.1170998,48
10.8785,12,8.3853998,8.7720003,25
11.9461,11,10.1599,6.9721999,31
6.2382002,9,1.3301001,6.2268,56
1.8727,9,2.7973001,4.1427999,40
13.4587,13,11.7191,12.0746,44
10.2735,20,7.3913002,9.3570995,51
14.093,17,14.6451,13.4249,57
5.7315001,7,1.5717,9.0495005,34
8.9890003,13,7.1012001,7.3751998,50
11.5159,12,8.7747002,8.2772999,52
12.0241,15,11.2997,8.6564999,56
5.7087002,22,4.9856,1.6015,43
7.5598001,15,8.8591003,13.0926,50
9.1578999,14,8.6878004,10.0327,40
9.8072004,11,10.6504,12.6351,42
14.6373,9,2.0493,5.0286002,52
13.5172,17,7.8499999,10.5267,62
7.3169999,15,3.579,8.0086002,43
15.2985,27,6.7557998,8.4118996,61
10.6895,11,9.7411003,13.9389,35
11.3272,20,7.9531999,20.262199,56
5.2972999,16,2.0816,6.6381998,58
13.9801,16,15.2338,13.8146,37
2.5804,15,6.6515999,8.5599003,31
12.9227,14,6.7638001,14.2769,48
18.881399,23,7.98,16.8533,52
14.5463,18,12.9121,15.0726,61
9.4518995,14,10.141,13.7559,55
11.2389,15,10.5644,11.731,46
13.011,19,13.534,19.0446,49
2.7537,12,5.4326,6.1633,33
5.3569002,10,5.079,5.8720999,48
10.6914,10,9.0812998,10.6437,56
4.5040998,20,6.4308,8.4049997,47
11.0314,12,5.7796998,14.5108,63
5.2912002,11,-.83579999,3.8217001,38
10.2107,13,9.4317999,13.3041,35
5.2979002,6,4.7020998,12.6705,29
11.284,24,6.8992,13.5213,48
16.511999,17,9.6364002,8.4240999,57
10.7964,12,3.6408,4.1044002,33
12.4659,19,13.3002,9.8611002,50
12.9277,12,13.6843,18.2658,54
19.1759,21,18.7152,23.820101,40
1.7618001,5,.90429997,.0068000001,29
