rns,rns80,mrt,mrt80,smsa,smsa80,med,iq,kww,year,age,age80,s,s80,expr,expr80,tenure,tenure80,lw,lw80,_Iyear_67,_Iyear_68,_Iyear_69,_Iyear_70,_Iyear_71,_Iyear_73
0,0,0,1,1,1,8,93,35,68,19,31,12,12,.46200001,10.635,0,2,5.9000001,6.645,0,1,0,0,0,0
0,0,0,1,1,1,14,119,41,66,23,37,16,18,0,11.367,2,16,5.4380002,6.6939998,0,0,0,0,0,0
0,0,0,1,1,1,14,108,46,67,20,33,14,14,.42300001,11.035,1,9,5.71,6.7150002,1,0,0,0,0,0
0,0,0,1,1,1,12,96,32,66,18,32,12,12,.333,13.089,1,7,5.4809999,6.4770002,0,0,0,0,0,0
0,0,1,1,1,1,6,74,27,73,26,34,9,11,9.0129995,14.402,3,5,5.927,6.3319998,0,0,0,0,0,1
0,0,0,0,1,1,8,91,24,66,16,30,9,10,.333,13.426,1,0,4.8039999,6.3969998,0,0,0,0,0,0
0,0,1,1,1,1,8,114,50,73,30,38,18,18,1.205,7.5549998,6,14,6.5120001,6.9860001,0,0,0,0,0,1
0,0,1,1,0,0,14,111,37,67,23,36,15,15,1.25,12.62,1,1,5.8080001,7.0510001,1,0,0,0,0,0
0,0,1,1,1,1,12,95,44,66,22,36,12,12,2.0480001,15.872,2,16,5.737,6.908,0,0,0,0,0,0
0,0,1,1,0,0,13,132,44,73,30,38,18,18,1.372,8.3190002,5,13,6.382,6.835,0,0,0,0,0,1
0,0,1,1,0,0,16,102,45,69,22,33,14,14,0,9.2980003,1,11,5.743,6.8260002,0,0,1,0,0,0
0,0,0,0,0,0,12,125,40,70,20,30,14,15,.36500001,4.1129999,1,3,6.2150002,6.802,0,0,0,1,0,0
0,0,0,1,1,1,10,119,24,73,20,28,16,16,.69,7.4699998,0,2,5.257,7.184,0,0,0,0,0,1
0,0,1,1,1,1,12,118,47,73,26,34,16,16,2.3889999,9.3120003,0,9,6.6199999,7.4910002,0,0,0,0,0,1
0,0,1,1,1,1,6,105,37,66,21,35,10,10,4.3779998,17.039,2,2,5.7140002,6.8649998,0,0,0,0,0,0
0,0,0,1,1,1,12,109,39,66,22,36,12,15,0,5.9000001,2,9,5.5949998,7.2150002,0,0,0,0,0,0
0,0,1,1,1,1,10,72,36,71,29,38,11,11,8.7869997,19.231001,1,10,5.8080001,6.7449999,0,0,0,0,1,0
0,0,0,1,1,1,12,105,29,73,21,29,12,14,0,3.9260001,0,7,5.9000001,6.7220001,0,0,0,0,0,1
0,0,0,1,1,1,8,101,34,67,18,31,11,12,.37799999,12.585,1,7,5.2979999,6.1550002,1,0,0,0,0,0
0,0,0,1,1,1,12,123,37,70,21,31,12,14,1.786,8.9399996,3,1,5.7839999,7.151,0,0,0,1,0,0
0,0,1,1,1,1,12,113,49,70,26,36,16,16,.47,10.361,7,4,6.2249999,7.3870001,0,0,0,1,0,0
0,0,0,1,1,1,10,95,36,66,24,38,12,12,.29499999,13.708,1,3,5.743,6.7719998,0,0,0,0,0,0
0,0,1,1,0,1,12,145,50,71,29,38,16,16,8.3409996,17.257999,4,8,6.869,7.6669998,0,0,0,0,1,0
0,0,0,1,1,1,11,114,35,69,21,32,16,16,1,11.677,1,7,6.1220002,6.9590001,0,0,1,0,0,0
0,0,0,1,1,1,16,124,32,73,21,29,16,16,1.447,8.3870001,2,9,6.2399998,7.3790002,0,0,0,0,0,1
0,0,1,1,1,1,12,93,40,66,21,35,12,13,2.378,15.522,2,5,5.1529999,7.0799999,0,0,0,0,0,0
1,1,1,1,1,1,8,115,39,73,27,35,18,18,4.4499998,11.364,0,1,6.5689998,6.6849999,0,0,0,0,0,1
0,0,1,1,1,1,13,125,41,73,26,34,17,17,2.358,9.3760004,6,4,6.3579998,7.256,0,0,0,0,0,1
0,0,0,0,1,1,16,128,35,73,28,36,18,18,.89700001,7.8010001,5,13,6.1360002,6.454,0,0,0,0,0,1
0,0,1,1,1,1,8,103,40,71,25,34,12,12,6.7680001,16.629,1,2,5.927,6.908,0,0,0,0,1,0
0,0,0,1,1,1,12,98,41,66,21,35,14,14,2.378,15.107,3,4,6.2150002,7.2610002,0,0,0,0,0,0
0,1,0,1,1,1,12,108,41,66,18,32,13,13,0,12.306,1,2,5.5209999,7.8889999,0,0,0,0,0,0
0,0,0,1,0,0,18,129,40,69,27,38,18,18,0,8.0629997,1,12,6.0159998,6.5019999,0,0,1,0,0,0
0,0,1,1,1,1,17,132,42,73,24,32,16,17,1.475,8.3959999,2,9,6.3579998,7.4840002,0,0,0,0,0,1
0,0,0,1,1,1,8,92,24,68,19,31,13,13,0,8.5539999,2,10,5.5209999,6.6620002,0,1,0,0,0,0
0,0,1,1,1,1,15,106,35,69,20,31,13,13,0,10.813,1,12,6.1479998,7.1500001,0,0,1,0,0,0
0,0,1,1,1,1,13,105,37,73,21,29,16,16,2.2690001,8.6960001,0,2,5.8579998,6.5710001,0,0,0,0,0,1
0,0,1,1,1,0,12,123,46,69,25,36,17,18,0,10.906,3,7,6.3239999,6.9860001,0,0,1,0,0,0
0,0,1,1,1,1,8,108,48,66,24,38,12,12,6.3330002,20.598,2,11,5.7529998,6.54,0,0,0,0,0,0
0,0,0,1,1,1,12,122,47,70,23,33,16,17,.47,10.353,1,9,6.2360001,7.184,0,0,0,1,0,0
0,0,1,1,1,1,12,109,44,66,24,38,12,12,1.712,15.659,1,4,5.9910002,7.1220002,0,0,0,0,0,0
0,0,1,1,1,1,10,100,40,68,26,38,12,13,0,11.693,3,15,5.6279998,6.934,0,1,0,0,0,0
0,0,1,1,1,1,14,125,50,69,23,34,18,18,.79500002,11.793,1,12,6.0910001,7.4660001,0,0,1,0,0,0
0,0,0,0,1,1,12,122,41,73,27,35,14,14,1.869,8.8249998,7,15,6.1090002,6.8889999,0,0,0,0,0,1
0,0,1,1,1,1,12,105,34,71,21,30,16,17,0,7.415,2,11,5.4419999,6.6459999,0,0,0,0,1,0
0,0,0,1,1,1,12,94,37,69,22,33,16,16,.42300001,11.232,1,5,5.553,7.0510001,0,0,1,0,0,0
0,0,1,1,1,1,12,102,36,66,20,34,12,12,2.1670001,16.011,3,5,5.6170001,7.052,0,0,0,0,0,0
0,0,0,1,1,1,12,109,47,73,30,38,12,13,6.533,13.526,4,12,6.1760001,6.6939998,0,0,0,0,0,1
0,0,1,1,1,1,12,105,45,66,24,38,12,12,8.1009998,22.045,2,14,5.704,7.0029998,0,0,0,0,0,0
1,1,1,1,1,1,12,134,46,71,28,37,18,18,.90600002,9.7539997,1,10,5.5450001,7.0510001,0,0,0,0,1,0
0,0,0,0,1,1,12,108,32,68,17,29,12,12,.92299998,13.022,0,9,5.3839998,7.467,0,1,0,0,0,0
0,0,1,1,1,1,12,104,36,73,22,30,16,16,2.4419999,11.273,1,8,5.8889999,6.908,0,0,0,0,0,1
0,0,1,1,1,1,12,112,35,69,18,29,12,12,.46200001,10.786,1,1,5.165,6.1350002,0,0,1,0,0,0
0,0,0,0,1,1,11,120,49,71,23,32,18,18,0,7.9380002,3,12,5.6279998,6.645,0,0,0,0,1,0
0,0,0,0,1,0,17,124,40,71,22,31,16,16,1.189,8.7980003,1,3,5.3379998,6.7740002,0,0,0,0,1,0
