taxableinc,federaltax,hsiblings,hfathereduc,hmothereduc,siblings,lfp,hours,kidsl6,kids618,age,educ,wage,wage76,hhours,hage,heduc,hwage,faminc,mtr,mothereduc,fathereduc,unemployment,largecity,exper
12200,1494,1,14,16,4,1,1610,1,0,32,12,3.3540001,2.6500001,2708,34,12,4.0288,16310,.72149998,12,7,5,0,14
18000,2615,8,7,3,0,1,1656,0,2,30,12,1.3889,2.6500001,2310,30,9,8.4415998,21800,.66149998,7,7,11,1,5
24000,3957,4,7,10,2,1,1980,1,3,35,12,4.5454998,4.04,3072,40,12,3.5806999,21040,.69150001,12,7,5,0,15
16400,2279,6,7,12,5,1,456,0,3,34,12,1.0965,3.25,1920,53,10,3.5416999,7300,.78149998,7,7,5,0,6
10000,1063,3,7,7,7,1,1568,1,2,31,14,4.5918002,3.5999999,2000,32,12,10,27300,.62150002,12,14,9.5,1,7
6295,370,8,7,7,4,1,2032,0,0,54,12,4.7420998,4.6999998,1040,57,11,6.7105999,19495,.69150001,14,7,7.5,1,33
9952,877,0,7,10,8,1,1440,0,2,37,16,8.3332996,5.9499998,2670,37,12,3.4277,21152,.69150001,14,7,5,0,11
18900,2804,2,7,7,7,1,1020,0,0,54,12,7.8431001,9.9799995,4120,53,8,2.5485001,18900,.69150001,3,3,5,0,35
1500,0,6,7,7,7,1,1458,0,2,48,12,2.1262,0,1995,52,4,4.2206001,20405,.75150001,7,7,3,0,24
22000,3246,5,7,7,0,1,1600,0,2,39,12,4.6875,4.1500001,2100,43,12,5.7143002,20425,.69150001,7,7,5,0,21
30000,5517,0,7,7,3,1,1969,0,1,33,12,4.0630002,4.3000002,2450,34,12,9.7959003,32300,.58149999,12,3,5,0,15
21950,3463,3,7,9,2,1,1960,0,1,42,11,4.5918002,4.5799999,2375,47,14,8,28700,.62150002,14,7,5,0,14
22000,3486,2,12,9,2,1,240,1,2,30,12,2.0833001,0,2830,33,16,5.3003998,15500,.72149998,16,16,5,0,0
9296,907,3,7,10,7,1,997,0,2,43,12,2.2667999,3.5,3317,46,12,4.3413,16860,.72149998,10,10,7.5,1,14
12600,1568,2,12,16,1,1,1848,0,1,43,10,3.6796999,3.3800001,2024,45,17,10.87,31431,.58149999,7,7,7.5,1,6
25000,3952,1,7,7,4,1,1224,0,3,35,11,1.3472,0,1694,38,12,9.1499004,19180,.72149998,16,10,7.5,1,9
5878,306,3,3,7,2,1,1400,0,2,43,12,3.2142999,4,2156,45,12,6.1223998,18600,.69150001,10,7,7.5,1,20
11100,1272,8,7,10,2,1,640,0,5,39,12,5.1750002,2.25,2250,40,12,6.1497998,19151,.72149998,12,12,7.5,1,6
25320,4262,1,7,12,1,1,2000,0,0,45,12,2,2.3,2024,51,11,6.9169998,18100,.69150001,7,7,5,1,23
56100,14812,3,12,12,5,1,1324,0,4,35,12,7.5528998,3.9400001,2123,40,10,4.7103,20300,.69150001,12,7,5,0,9
9960,1049,2,7,9,4,1,2215,0,2,42,16,3.5051999,3.3,4160,48,16,3.131,30419,.62150002,10,16,7.5,0,5
8900,850,7,3,3,5,1,1680,0,0,30,12,3.5713999,3.8,2000,35,12,4,14090,.72149998,12,10,3,0,11
19500,2930,4,3,16,1,1,1600,0,0,48,13,3.25,3.26,2420,52,17,7.2227001,22679,.66149998,7,3,5,1,18
19900,3014,1,7,7,0,1,800,0,0,45,12,3.25,2.2,1150,53,17,7.9651999,12160,.72149998,7,7,11,0,15
18100,2636,0,7,12,5,1,1955,1,1,31,12,2.1545,2.3,2024,31,12,4.0883999,12487,.75150001,12,7,5,1,4
4000,26,2,3,7,2,1,660,0,2,43,17,3.7879,0,1904,43,17,14.181,29850,.58149999,16,14,9.5,1,21
18150,2636,1,7,7,3,1,525,0,0,59,12,4,3.1800001,2448,53,16,6.5359001,18100,.69150001,3,7,9.5,1,31
15000,2011,1,10,10,4,1,1904,0,3,32,12,4.7269001,6.0700002,2000,33,13,8.5,26000,.66149998,3,7,11,1,9
16000,2196,4,7,7,6,1,1516,1,0,31,17,7.2558999,6,2390,30,17,6.2761998,26100,.62150002,12,12,5,0,7
8000,679,5,7,7,3,1,346,0,0,42,12,5.8670998,6.3899999,1920,47,10,5.2083001,17730,.72149998,12,12,9.5,0,7
15500,2104,5,7,7,3,1,1040,0,0,50,11,1.5385,0,1840,53,10,2.7821,6719,.75150001,7,7,7.5,1,32
21600,3154,1,7,10,5,1,732,0,0,59,16,2.4590001,2.5,3360,57,17,4.9106998,18550,.69150001,3,3,14,1,11
11225,1291,8,7,9,4,1,1880,0,2,36,13,5.8511,5.1999998,2284,35,13,5.8669,24600,.66149998,12,10,7.5,0,16
63200,16984,0,12,14,0,1,1680,0,1,51,12,3.5713999,3.29,1875,50,8,7.52,23100,.69150001,7,14,5,1,14
12090,1457,8,7,7,0,1,2081,0,3,45,16,3.8067999,4.1900001,2140,47,17,7.5448999,24656,.66149998,12,12,5,1,27
6000,330,7,7,10,6,1,690,0,1,42,11,2.4638,0,1896,44,8,5.5380001,15897,.75150001,10,3,7.5,0,0
12800,1605,7,7,12,3,1,4210,0,0,46,12,2.3752999,4.6300001,1040,49,16,6.9231,20320,.69150001,3,3,11,1,17
11600,1375,3,12,7,1,1,2205,0,1,46,10,4.5351,4.5500002,2200,52,12,5,21384,.66149998,10,3,11,0,28
21900,3223,3,3,7,1,1,1952,0,0,51,14,5.6183,5.5999999,1952,58,12,7.3063998,25561,.62150002,7,7,14,0,24
15271,2048,1,9,3,3,1,1302,0,0,30,17,14.631,9.5299997,1560,30,17,11.218,36550,.57999998,14,17,5,1,11
8117,698,4,7,10,8,1,112,1,2,30,12,2.6786001,0,4030,33,16,3.8462,15810,.72149998,12,12,3,0,1
20000,3035,3,7,9,5,1,893,0,0,57,12,3.9194,3.5,2570,58,12,5.8365998,25500,.62150002,9,9,7.5,1,14
