year,q,y,p,pb,pcorn,pf,qprod,lexpts,popgro
1950,14.3,7863,2.8838201,1.29461,2.4813299,,1826.6157,-.17183881,
1951,15.1,7953,2.8038499,1.40385,2.7730801,,1975.6775,-.16484261,1.7161
1952,15.3,8071,2.7584901,1.36604,2.6905701,,1981.376,-.19225881,1.7286
1953,15.2,8319,2.6704099,1.06742,2.34831,,2052.7449,-.1668136,1.6635
1954,15.8,8276,2.3940499,1.01859,2.3568799,,2154.0654,-.17490479,1.7711
1955,14.7,8675,2.5,1.0111901,2.0932801,,2055.6636,-.1671042,1.776
1956,16.799999,8930,2.1617601,.98162001,2.12132,,2426.8242,-.1523187,1.7825
1957,17.6,8988,2.03915,1.02135,1.8363,,2534.4683,-.1734243,1.8149
1958,19.299999,8922,1.95848,1.15571,1.73356,,2880.3335,-.154309,1.6739
1959,19.799999,9167,1.7732,1.18213,1.6701,,3009.811,-.15261149,1.6837
1960,19.200001,9210,1.77027,1.13176,1.55405,1.7410001,3011.5371,-.1413821,2.0318999
1961,20.6,9361,1.5852799,1.10368,1.50836,1.73472,3435.8096,-.096538201,1.6715
1962,20.6,9666,1.65563,1.13245,1.48344,1.72488,3472.6816,-.1012436,1.5499001
1963,21.1,9886,1.61111,1.10458,1.62745,1.66588,3661.5837,-.086648598,1.4496
1964,21.299999,10456,1.55484,1.0580601,1.6096801,1.63719,3783.0222,-.077345602,1.3987
1965,22.9,10965,1.58095,1.09206,1.6444401,1.6182801,4080.3057,-.086628497,1.258
1966,24.5,11417,1.6265399,1.11728,1.6821001,1.61981,4473.3335,-.073751703,1.1616
1967,25.1,11776,1.46108,1.08982,1.5479,1.55294,4553.374,-.091100603,1.0948
1968,25.200001,12196,1.47126,1.08908,1.30747,1.42316,4623.5713,-.089762501,1.0035
1969,26.299999,12451,1.47411,1.13624,1.34332,1.37227,4986.0195,-.066789404,.98199999
1970,27.4,12823,1.35052,1.12113,1.40464,1.3698699,5341.6187,-.050522599,1.1718
1971,27.4,13218,1.30617,1.1234601,1.3753099,1.3468,5367.3115,-.058367599,1.2724
1972,28.299999,13692,1.27751,1.189,1.24641,1.3115799,5661.4585,-.048037101,1.0763
1973,27.1,14496,1.73649,1.34234,2.0044999,1.90681,5532.772,-.037246399,.95899999
1974,27,14268,1.46653,1.24341,2.60041,1.90734,5583.2793,-.033598799,.91780001
1975,26.4,14393,1.51301,1.15056,2.1412599,1.6939,5573.0874,-.022812899,.99089998
1976,28.5,14873,1.35149,1.05272,1.89104,1.64964,6262.7319,.0078121,.95469999
1977,29,15256,1.27558,.98185003,1.45215,1.5719301,6448.5435,.0096004,1.0108
1978,30.4,15845,1.31288,1.12117,1.4110399,1.4482,6881.1777,.016793501,1.0652
1979,32.799999,16120,1.2011,1.28237,1.4393899,1.45346,7593.0127,.0282104,1.1097
1980,32.700001,16063,1.14563,1.19417,1.4466,1.39972,7819.2944,.0488314,1.1868
1981,33.700001,16265,1.06161,1.09131,1.38504,1.3933901,8247.4658,.062231999,.98360002
1982,33.900002,16328,.98237997,1.04249,1.03627,1.21254,8336.1309,.057392102,.96619999
1983,34,16673,.96687001,.99497998,1.28916,1.24816,8565.334,.0724857,.91259998
1984,35.299999,17799,1.04909,.96534997,1.24832,1.25179,8979.0322,.073459201,.87110001
1985,36.400002,18229,.97118998,.91263998,.9842,1.02007,9395.1064,.079148702,.89609998
1986,37.200001,18641,1.05292,.90145999,.76186001,.95311999,9854.166,.095993102,.9163
1987,39.400002,18870,.99735999,.93573999,.59595001,.90825999,10710.981,.1130045,.89469999
1988,39.599998,19522,1.05748,.94758999,.82078999,1.25405,11123.688,.1366591,.9131
1989,40.900002,19833,1.1056499,.96210003,.82581002,1.15368,11971.585,.1683892,.94730002
1990,42.400002,20058,1.03213,.98545998,.77200001,1.00194,12807.434,.18927979,1.0637
1991,44.099998,19873,.96696001,.97210002,.71218997,.92995,13614.389,.197706,1.3453
1992,46.5,20220,.94013,.94297999,.68425,.89363003,14526.592,.1964653,1.3188
1993,48.200001,20235,.95502001,.94879001,.64291,.90934002,15298.757,.1993439,1.309
1994,48.799999,20507,.94533998,.91768003,.67544001,.92088002,16446.168,.2471045,1.2264
1995,48.200001,20798,.93307,.88516998,.71521997,.90868002,17253.043,.29552099,1.1921
1996,48.799999,21072,.97259003,.85723001,1.0102,1.1111799,18154.111,.3224093,1.1717
1997,49.5,21470,.98754001,.85233998,.68598002,.98304999,18791.795,.33062541,1.2138
1998,49.799999,22359,.97913998,.83741999,.56257999,.79108,19188.576,.3338176,1.1727999
1999,52.900002,22678,.97118998,.83552998,.46939,.61764997,20668.09,.33621511,1.1556
2000,53.200001,23501,.94599003,.86005002,.44367,,21191.918,.34367719,1.1983
2001,53.900002,23692,.94862002,.90627003,.44495001,,,,1.3710001
