state;dem;income;HS;BA;density;region;year
Alabama;0;29,5;75,300003;19;87,599998;2;2000
Alaska;0;45,220001;88,300003;24,700001;1,1;3;2000
Arizona;0;36,939999;81;23,5;45,200001;3;2000
Arkansas;0;27;75,300003;16,700001;51,299999;2;2000
California;1;41,709999;76,800003;26,6;217,199997;3;2000
Colorado;0;43,23;86,900002;32,700001;41,5;3;2000
Connecticut;1;44,880001;84;31,4;702,900024;1;2000
Delaware;1;44,689999;82,599998;25;401,100006;1;2000
District of Columbia;1;34,529999;77,800003;39,099998;9316,400391;1;2000
Florida;0;33,860001;79,900002;22,299999;296,399994;2;2000
Georgia;0;38,220001;78,599998;24,299999;141,399994;2;2000
Hawaii;1;42,799999;84,599998;26,200001;188,600006;3;2000
Idaho;0;33,380001;84,699997;21,700001;15,6;3;2000
Illinois;1;41,380001;81,400002;26,1;223,399994;1;2000
Indiana;0;35,389999;82,099998;19,4;169,5;1;2000
Iowa;1;38,310001;86,099998;21,200001;52,400002;1;2000
Kansas;0;33,599998;86;25,799999;32,900002;1;2000
Kentucky;0;33,139999;74,099998;17,1;101,699997;2;2000
Louisiana;0;26,93;74,800003;18,700001;102,599998;2;2000
Maine;1;37,07;85,400002;22,9;41,299999;1;2000
Maryland;1;46,07;83,800003;31,4;541,900024;1;2000
Massachusetts;1;41,84;84,800003;33,200001;809,799988;1;2000
Michigan;1;41,150002;83,400002;21,799999;175;1;2000
Minnesota;1;45,330002;87,900002;27,4;61,799999;1;2000
Mississippi;0;28,1;72,900002;16,9;60,599998;2;2000
Missouri;0;42,299999;81,300003;21,6;81,199997;1;2000
Montana;0;28,559999;87,199997;24,4;6,2;3;2000
Nebraska;0;34,380001;86,599998;23,700001;22,299999;1;2000
Nevada;0;39,880001;80,699997;18,200001;18,200001;3;2000
New Hampshire;0;43,599998;87,400002;28,700001;137,800003;1;2000
New Jersey;1;45,48;82,099998;29,799999;1134,400024;1;2000
New Mexico;1;31,42;78,900002;23,5;15;3;2000
New York;1;37,080002;79,099998;27,4;401,899994;1;2000
North Carolina;0;34,599998;78,099998;22,5;165,199997;2;2000
North Dakota;0;31,5;83,900002;22;9,3;3;2000
Ohio;0;39,119999;83;21,1;277,299988;1;2000
Oklahoma;0;28,91;80,599998;20,299999;50,299999;3;2000
Oregon;1;37,82;85,099998;25,1;35,599998;3;2000
Pennsylvania;1;38,98;81,900002;22,4;274;1;2000
Rhode Island;1;38,299999;78;25,6;1003,200012;1;2000
South Carolina;0;33,080002;76,300003;20,4;133,199997;2;2000
South Dakota;0;32,23;84,599998;21,5;9,9;3;2000
Tennessee;0;30,200001;75,900002;19,6;138;2;2000
Texas;0;35,509998;75,699997;23,200001;79,599998;2;2000
Utah;0;40,310001;87,699997;26,1;27,200001;3;2000
Vermont;1;34;86,400002;29,4;65,800003;1;2000
Virginia;0;44,619999;81,5;29,5;178,800003;2;2000
Washington;1;37,450001;87,099998;27,700001;88,599998;3;2000
West Virginia;0;25,889999;75,199997;14,8;75,099998;2;2000
Wisconsin;1;40,41;85,099998;22,4;98,800003;1;2000
Wyoming;0;34,779999;87,900002;21,9;5,1;3;2000
Alabama;0;30,959999;82,400002;22,299999;89,379997;2;2004
Alaska;0;44,380001;90,199997;25,5;1,15;3;2004
Arizona;0;34,599998;84,400002;28;50,849998;3;2004
Arkansas;0;27,58;79,199997;18,799999;52,959999;2;2004
California;1;40,540001;81,300003;31,700001;228,779999;3;2004
Colorado;0;41,450001;88,300003;35,5;44,279999;3;2004
Connecticut;1;45,470001;88,800003;34,5;720,219971;1;2004
Delaware;1;40,75;86,5;26,9;425,649994;1;2004
District of Columbia;1;34,939999;86,400002;45,700001;9036,19043;1;2004
Florida;0;32,639999;85,900002;26;323,190002;2;2004
Georgia;0;35,110001;85,199997;27,6;153,619995;2;2004
Hawaii;1;43,16;88;26,6;196,559998;3;2004
Idaho;0;34,540001;87,900002;23,799999;16,940001;3;2004
Illinois;1;37,200001;86,800003;27,4;228,380005;1;2004
Indiana;0;34,279999;87,199997;21,1;173,789993;1;2004
Iowa;0;34,970001;89,800003;24,299999;52,959999;1;2004
Kansas;0;35,52;89,599998;30;33,419998;1;2004
Kentucky;0;30,379999;81,800003;21;104,379997;2;2004
Louisiana;0;28,860001;78,699997;22,4;103,599998;2;2004
Maine;1;32,009998;87,099998;24,200001;42,52;1;2004
Maryland;1;46,119999;87,400002;35,200001;566,780029;1;2004
Massachusetts;1;42,529999;86,900002;36,700001;814,890015;1;2004
Michigan;1;36,130001;87,900002;24,4;177,539993;1;2004
Minnesota;1;45,43;92,300003;32,5;63,939999;1;2004
Mississippi;0;27,35;83;20,1;61,939999;2;2004
Missouri;0;35,740002;87,900002;28,1;83,599998;1;2004
Montana;0;28,6;91,900002;25,5;6,38;3;2004
Nebraska;0;36,25;91,300003;24,799999;22,76;1;2004
Nevada;0;38,169998;86,300003;24,5;21,23;3;2004
New Hampshire;1;46,59;90,800003;35,400002;144,410004;1;2004
New Jersey;1;46,119999;87,599998;34,599998;1167,160034;1;2004
New Mexico;1;30,540001;82,900002;25,1;15,71;3;2004
New York;1;35,93;85,400002;30,6;406,630005;1;2004
North Carolina;0;31,68;80,900002;23,4;175,649994;2;2004
North Dakota;0;32,169998;89,5;25,200001;9,24;3;2004
Ohio;0;35,880001;88,099998;24,6;279,429993;1;2004
Oklahoma;0;31,1;85,199997;22,9;51,389999;3;2004
Oregon;1;34,619999;87,400002;25,9;37,459999;3;2004
Pennsylvania;1;35,98;86,5;25,299999;276,679993;1;2004
Rhode Island;1;37,529999;81,099998;27,200001;1024,569946;1;2004
South Carolina;0;31,950001;83,599998;24,9;139,699997;2;2004
South Dakota;0;32,919998;87,5;25,5;10,16;3;2004
Tennessee;0;31,32;82,900002;24,299999;143,339996;2;2004
Texas;0;33,529999;78,300003;24,5;85,779999;2;2004
Utah;0;41,119999;91;30,799999;29,49;3;2004
Vermont;1;37,119999;90,800003;34,200001;67,050003;1;2004
Virginia;0;43,279999;88,400002;33,099998;188,660004;2;2004
Washington;1;39,560001;89,699997;29,9;93,309998;3;2004
West Virginia;0;26,48;80,900002;15,3;75,389999;2;2004
Wisconsin;1;38,360001;88,800003;25,6;101,309998;1;2004
Wyoming;0;35,459999;91,900002;22,5;5,22;3;2004
