a	b	c	d	e	f	g	h	y
2.025588	-2.205163	0	7.154154	2	.6176614	8.729362	-.6352609	-2.206128
1.042631	2.06195	0	8.595983	2	.5275812	7.367698	1.542897	4.605536
.2977124	-.6501833	1	11.07145	4	.3624222	12.74165	.2141798	-2.501656
-1.722132	.7983938	0	3.389171	2	.3648863	2.922349	.7465412	-.5249962
-.7291995	-.7413647	1	7.460582	3	.9917883	8.089104	-.0920892	-1.636064
.8618261	-1.339125	1	3.585248	2	.2405843	3.940557	-.3348724	-1.231247
-.239354	4.160858	0	7.44822	1	.4393875	14.13467	-1.255822	8.871084
.516549	-.1512499	1	7.36182	5	.0307601	11.52139	.8085151	.346314
-1.812016	1.429853	1	2.714392	4	.1718106	14.21781	1.629094	.2329092
-1.015124	1.804021	0	3.010679	6	.1105879	11.35856	.7639784	3.153557
1.095368	4.5504	0	9.474378	0	.4324358	3.289107	.9300886	9.976235
1.332649	1.30356	1	3.247756	4	.8729911	4.168042	-.3021606	5.029026
-.360688	1.969651	0	4.994256	4	.6648242	15.28163	.8290614	2.283315
.7351056	-2.687366	0	10.04354	3	.1244997	1.978301	-1.858705	-5.132364
-.9614829	2.427449	0	3.166085	4	.5278571	32.74327	-.6691958	5.429294
.75213	1.277978	0	.6546053	3	.5127833	16.56884	.4375004	2.143445
-.4666531	.5022672	1	.628243	4	.8333161	8.563272	-.2435074	-.8271693
-2.452076	-1.097083	0	2.407708	5	.6817377	16.22423	-1.114064	-6.188093
-2.322006	-1.871329	0	4.165763	5	.4845729	3.804251	-.0847842	-6.228339
-.6115704	-.3721323	1	3.263487	5	.2944788	11.1363	-.4362779	-.5037096
-.4618155	.9137157	0	.7898583	6	.8284228	11.07079	-1.535139	2.978143
2.436316	.8891688	0	3.092556	3	.44875	8.188071	-.6179062	3.892911
-.2123416	-.4416199	1	3.253026	4	.2654837	8.574274	-.2211174	-.6162057
-.8114582	.0632722	1	1.387903	1	.2546648	7.654198	.6386104	.0725082
.0204311	1.762764	1	1.24614	3	.7175995	6.883469	.0499628	4.277384
.9089745	1.423525	1	.6265332	5	.4547102	6.191785	.7321752	5.338735
1.000468	2.979666	1	4.300409	6	.494354	18.28762	-.1162961	7.726246
.0400055	2.226172	1	4.463809	3	.4289863	4.707754	.278876	3.68297
1.743336	-.0224809	0	1.854302	7	.9854398	29.14005	-.1409997	3.142433
-.3708646	4.081521	0	3.895833	5	.7938672	6.825427	.6301614	6.763222
-.1547564	2.714874	1	10.46768	2	.612014	11.13969	-.1803649	5.820196
-1.554458	-.7289933	1	7.093831	2	.8825162	7.852934	1.271985	-2.954996
-.7080316	.5431214	0	1.697327	2	.3936025	6.077112	.5192071	-.7357576
-.0601965	-2.237321	1	4.034287	4	.601393	2.723772	.4858367	-3.471151
-.0790126	3.109097	1	2.185409	6	.8043981	16.27813	.6128013	5.156672
.6055562	.8997443	0	9.652742	2	.0909679	5.628195	-1.589857	2.988294
-.8665136	2.353951	1	3.6744	1	.8412092	19.35044	1.032638	3.909373
.43038	-4.15138	1	1.042281	5	.5609053	14.59495	.9400938	-7.550468
-.9160471	1.154789	0	7.640904	3	.9704686	19.27176	-.0591174	1.152612
.9241885	2.24248	1	3.545774	7	.6773301	7.910871	-.7850636	5.193204
.134037	.0120911	1	.9012368	4	.1248228	2.336243	-.0666112	.0305043
1.023776	2.076543	1	2.711955	7	.8240818	6.042401	-.2185775	3.967351
.2006883	-1.589846	0	11.11032	2	.934288	13.09788	-.947028	-4.606882
-.4237095	4.774521	0	3.652412	4	.7834124	4.431762	-.6056169	9.238061
.3103299	2.453764	1	4.80816	9	.1172038	3.90837	2.139643	6.355464
-.5142499	3.011876	1	4.797695	6	.4087504	2.586016	-.1487219	5.475637
-.7490882	4.036228	1	.4298746	3	.6745947	11.27684	-.9828705	7.37711
-1.354164	-2.081479	1	1.516054	2	.3161592	10.7199	-.7566906	-5.537449
-.6525941	-1.576909	0	5.530509	7	.6903986	4.719505	.5021957	-4.337184
.0328846	3.46659	1	3.479225	6	.0925611	16.43659	-.5776314	6.168951
-.6189822	-1.903108	1	5.751397	3	.2888551	3.624422	-.8326343	-5.119824
-.9560616	.5350567	0	7.816766	4	.1112714	2.385998	-.0032766	.0461392
.710319	.3724506	1	3.409361	1	.461933	11.88904	.3758772	.9650269
-.0171469	-.8976641	1	7.758554	6	.5134432	14.04768	-.5175157	-1.687823
1.793087	1.015078	1	2.238642	3	.8729915	16.4447	-.4099182	2.571928
-.6413133	1.340368	1	2.023803	7	.2862389	2.750981	.7268895	1.226982
.9137927	2.685538	0	8.724532	2	.3332354	12.09925	2.018435	5.556842
-.5650643	3.997404	1	2.005931	3	.4295215	4.411012	.1862133	8.65187
-.6269404	.4334691	0	1.694337	6	.8593095	5.491906	.6519747	1.009367
.0329728	.7051975	1	6.978673	6	.4384618	9.261292	-.1662551	1.01383
-1.311697	-3.600916	1	3.222362	4	.3382256	7.060884	.760433	-9.195214
.0321375	2.578121	0	2.356031	2	.452405	10.97787	.2186426	5.930661
-1.227839	.8196841	0	3.361372	3	.2358193	11.76854	-1.707171	-.1455075
-.6824138	3.675577	1	2.056533	0	.9537724	9.196741	1.751216	6.850733
1.032709	-.333399	1	4.38833	3	.7377019	5.774839	1.210474	1.452956
-.1106868	1.194898	1	2.392394	1	.6622074	2.50411	.8729669	2.87062
-.7403983	-.7738383	0	5.067592	3	.2960716	6.612442	-.6479706	-2.101574
-.1817126	-1.666311	1	1.426162	3	.0513371	6.282806	.4821978	-3.281345
.790556	.3150656	1	2.31219	8	.764928	6.679316	2.473005	1.474763
-.4528557	-2.114307	1	7.469511	4	.1143686	2.614978	-.2120028	-3.127386
-2.566291	3.510231	0	2.912356	6	.9870077	9.521385	-1.672697	3.863598
-.9870923	4.203457	0	2.133355	3	.8072343	17.53459	1.093677	8.437143
1.213854	.7341093	1	5.501563	4	.3170503	4.775528	-.1014742	5.310669
1.1479	3.676034	1	1.081511	10	.9246687	15.602	.4000104	7.043524
-1.845906	.6665019	0	4.448466	4	.2639346	5.941522	-2.717255	-.6141632
.2466657	2.793691	1	2.694564	4	.2995962	7.903542	1.996745	5.838913
-.0849733	2.498164	0	7.205545	2	.1876176	6.068293	1.00598	4.252859
-.1620399	1.161633	0	2.45337	3	.7715384	11.48868	.6193026	2.191085
.4854001	1.301345	0	1.370439	6	.2053319	4.198281	.3507923	3.744884
-.2555817	-1.144814	0	10.01162	4	.3982272	21.36853	-.0553635	-2.802255
-.2768313	1.815681	1	12.1263	6	.212216	10.78363	-.2395273	2.192114
-.6544462	-3.091988	0	5.36353	6	.484962	6.113164	-1.582198	-6.746181
-1.336185	-2.105832	0	2.69584	4	.0717486	8.985227	-.4805917	-5.060138
-.0546583	-.2040512	1	3.748845	8	.5649898	6.132073	-.7270743	.4637173
.1403725	1.075789	1	1.645213	5	.7105699	9.945395	-1.35874	3.098007
-.9984499	-1.555586	0	3.286284	5	.8132978	11.90342	2.104825	-2.55772
-1.291706	-.7409301	1	1.750687	4	.0143657	9.383562	-.0268785	-.9060139
1.705364	.6000654	1	6.584943	3	.6928629	4.232088	.1960493	.7318919
-.3663575	1.932678	1	6.625633	4	.9131664	4.412238	-.404328	3.972131
1.368091	1.306484	0	6.406231	3	.6366578	6.145335	.5041084	3.825375
-.5294532	2.879212	1	4.902974	4	.5743563	5.036823	.5220973	4.355909
-1.121993	2.608144	1	2.908898	11	.7381257	19.10873	-.7053177	3.561535
-.2736341	2.919511	0	5.996097	8	.2967751	14.43169	.1005766	3.304643
.3632325	3.854242	0	5.44783	4	.4217503	9.314868	.7451522	8.780939
.3122114	-.4743143	0	7.136911	3	.101691	10.73979	-1.775132	-1.196212
-.6627333	3.70908	0	8.257566	5	.8720255	1.3284	.7481497	6.993671
-.1025308	3.326161	1	4.236041	5	.1807417	7.358258	-2.061095	6.12317
