s77,s78,s79,s80,s81,s82,s83,b77,b78,b79,b80,b81,b82,b83,is77,is78,is79,is80,is81,is82,is83,ia77,ia78,ia79,ia80,ia81,ia82,ia83,r77,r78,r79,r80,r81,r82,r83,rating83,rating83c,dia
420042,494414,591930,695580,702212,595830,619179,.94999999,1,.94999999,1,1,1,.94999999,10.072564,10.741201,9.9545555,9.0074472,7.8644342,5.3474984,8.5233831,16.608438,16.925623,15.084081,14.881902,14.078278,9.141221,14.36985,4,4,4,4,4,4,4,4,BA_B_C,5.2286291
2112845,2331470,2542105,2970960,3377564,2774725,2274075,.89999998,.89999998,.94999999,.89999998,.94999999,.89999998,.94999999,13.010325,12.69388,12.812295,11.95903,12.516328,5.7004929,1.730154,15.223508,14.820323,15.302597,14.060967,15.78548,6.5072541,1.7023889,3,3,3,3,3,3,3,3,BAA,-4.8048654
17519000,19654000,22461000,24959000,27240000,26500000,26797000,1.1,1.1,1.1,1.1,1,.94999999,.94999999,11.76437,11.946678,11.985219,11.162306,11.068282,11.550943,12.684256,15.047091,15.615855,16.173998,15.050511,14.396906,14.161462,14.5955,1,1,1,1,1,1,1,1,AA_A,.43403816
368584,395675,471539,509057,606870,603437,533102,1.2,1.2,1.15,1.15,1.05,.85000002,.94999999,18.396349,14.982246,12.273216,11.444298,13.773955,9.9181852,1.7518224,21.924248,16.949535,15.691947,13.864152,17.288521,12.947063,2.1569276,0,0,0,0,0,0,0,0,AAA,-10.790136
28188,48432,103004,191086,270706,328185,400032,2,2,2,2,1.7,1.65,1.65,10.586065,20.160225,23.661217,22.009462,22.62676,15.873974,14.386849,10.202058,19.881088,28.053778,25.155813,26.80472,19.003429,16.481808,0,0,0,0,0,0,0,0,AAA,-2.5216217
280440,300807,343180,348491,362873,315275,352437,1.1,1.1,1,1.05,.80000001,.85000002,.80000001,5.8764796,6.423388,6.9115334,6.0621367,6.3749576,3.5860755,5.0074196,10.339224,11.062889,12.7282,11.043618,11.494373,6.1578851,8.5662422,6,6,6,6,6,6,0,0,AAA,2.4083571
488647,568606,663348,721200,832721,735344,746984,.80000001,.80000001,.85000002,.94999999,1,.89999998,.80000001,12.079886,12.763144,12.274251,11.035496,10.607514,9.1720343,9.59552,19.602945,20.959908,19.629972,14.082608,14.807718,12.022953,12.341995,3,3,3,3,3,3,3,3,BAA,.31904221
1587209,1710471,1984722,2315294,2334397,2238979,2183297,1,1,1,.94999999,.85000002,.85000002,.80000001,12.237519,12.150221,11.427444,11.803382,12.650762,12.959702,13.607539,16.198465,16.082617,14.845577,15.995456,16.788876,17.404016,17.515789,0,0,0,0,0,0,0,0,AAA,.11177254
2090808,2422311,2785492,2857186,3318491,4095291,4296500,1.2,1.25,1.25,1.15,1.05,.94999999,.94999999,20.948456,21.158142,20.665936,7.550961,9.0162668,6.0367141,9.7311764,16.797655,17.910727,17.455601,5.5969424,6.7397394,5.9959645,10.20204,2.3119392,2.2977035,2.2784057,3,3,3,3,3,BAA,4.2060752
812287,975380,1182014,1393321,1557648,1623190,1685417,1.05,1.1,1.1,.94999999,.89999998,.80000001,.85000002,14.928837,14.386906,13.752883,14.198379,14.481642,14.868438,14.717189,21.011366,19.768961,20.49531,21.243427,21.121601,23.129995,21.16596,0,0,0,2,2,2,2,2,AA_A,-1.964035
1217059,1318809,1137525,1049782,1151804,1054218,970519,1.25,1.25,1.2,1.2,1.05,1.1,1.2,8.0272198,7.7647333,9.5999651,10.293756,11.918347,7.6350431,2.2090242,11.271337,11.260874,11.624902,11.395051,14.739132,9.0431194,2.3516958,4.2159939,4.1924629,4.177011,4,4,4,4,4,BA_B_C,-6.6914234
54961300,63221100,66311200,57728500,62698500,60025600,74581600,1.05,1.05,1,.94999999,.85000002,.89999998,.94999999,11.923663,10.996961,8.2105284,-1.0668907,1.7675064,3.5416555,9.7969208,24.582964,22.721523,16.900093,-1.7810358,2.8430693,5.1352968,15.990327,2,2,2,2,2,2,2,2,AA_A,10.85503
494980,599628,726936,775707,859659,803228,880076,.89999998,.85000002,.85000002,.85000002,.80000001,.85000002,.85000002,13.663986,13.473854,13.010086,12.05352,12.839393,11.545663,11.453443,27.399158,27.136787,26.168921,22.43745,23.601194,17.821516,16.327347,0,0,0,0,0,0,0,0,AAA,-1.4941692
506807,608968,683749,677514,672514,623236,699397,1.15,1.1,1,1.15,1.1,1.1,1.1,12.527649,11.239014,8.0282383,4.5328951,-2.0647898,3.8577683,-1.1308312,8.3276281,8.7157946,6.5690165,4.3980737,-2.480706,5.1337514,-1.9091552,6,6,6,6,6,6,6,6,BA_B_C,-7.0429068
1792217,2110860,2431557,2673589,2471346,2124519,2181521,1.1,1.1,1.1,1.3,1.2,1.1,1.15,10.477916,10.31409,10.878626,10.213836,8.8494692,3.7621691,5.9878864,16.660381,18.372736,17.97056,17.1479,13.892084,5.2586632,8.0552902,3,0,0,3,3,3,3.3451211,3,BAA,2.796627
1796892,2244513,2451346,2081748,2175119,1852353,2129375,1,1,1,1.1,.94999999,.80000001,.94999999,8.4570465,8.8328295,8.6528378,6.4938216,5.9119983,.70083833,3.8772879,13.116412,14.121088,14.14095,8.8368511,8.2602701,.86830777,5.1727304,4.4339557,4.4170671,4.4342284,4.4413109,4.4413495,4.4826555,4.9717627,4,BA_B_C,4.3044229
2869800,3111800,3698700,4120300,4343100,4091500,4010900,.89999998,.89999998,.89999998,.89999998,.89999998,.85000002,.85000002,9.5546732,9.5603828,8.8571663,9.8269539,10.835578,11.565441,10.007729,17.255051,15.988606,15.844457,17.390371,19.11454,19.610443,16.167231,2,2,2,2,2,2,2,2,AA_A,-3.4432125
37841500,42784100,43513700,37085500,38247100,37067200,44454600,1.05,1.05,.94999999,.94999999,.89999998,.85000002,.75,8.4328051,6.9154196,4.012989,-4.1692843,-1.1862338,.92885351,6.0832849,16.584639,13.386935,7.4228678,-6.3505235,-1.970775,1.5677294,11.329806,3,3,3,3,3,3,3,3,BAA,9.7620773
923800,960700,1157700,1373300,1493000,1429700,1565000,1,1.05,1.05,1.1,1.2,1.15,1.05,12.264559,12.209847,12.930811,12.58283,12.531815,7.6729383,6.6134186,14.071038,12.267308,13.648796,14.278632,14.308657,7.4031582,5.6936955,3.0569003,3.0106845,3.0058229,3.0046639,3.0037909,3.0033588,3.0026948,3,BAA,-1.7094626
346981,419647,493362,460702,616691,372186,325475,.89999998,.85000002,.75,.64999998,.64999998,.80000001,.85000002,7.9589372,9.6292839,9.4147911,7.4846649,12.017364,-1.2292241,-3.7668023,10.301287,13.629265,14.848665,9.8121901,17.79903,-1.183605,-3.081486,4,4,4,4,4,4,4,4,BA_B_C,-1.897881
350129,408897,449594,492414,569701,577281,628659,1.1,1.1,.94999999,1,.85000002,.75,.85000002,10.927972,11.182523,11.132044,9.6280775,9.5190287,7.5263171,9.9365473,18.400412,19.972134,19.454184,16.730658,15.925222,12.119353,16.314394,3,3,3,3,3,3,3,3,BAA,4.1950407
1263814,1520748,1770834,1666642,1962461,1587476,1604723,.89999998,1,.94999999,1.05,1.05,1,1,11.068084,8.8912821,5.9649858,1.8094468,8.4000654,.87321007,4.1461363,17.092554,13.918996,9.5801878,2.6976545,11.720066,1.0814446,5.2857914,4,4,4,4,4,4,4,4,BA_B_C,4.2043467
4018800,5463000,8131000,9426200,9788200,9035000,11129000,1.1,1.1,1.05,1.2,1.25,1.2,1.2,22.874989,10.831045,10.860903,10.886678,7.2546535,4.3718872,4.5916076,37.670055,16.559387,18.032753,17.301435,10.21183,5.2021599,6.8397803,0,0,0,0,3,3,3,3,BAA,1.6376204
1261403,1467583,1717979,2038155,2342524,2602447,2927973,1.1,1.15,1.15,1.15,1.15,1.15,1.1,16.828959,16.789442,18.212795,18.993895,21.177242,21.973434,24.001451,16.932846,16.788744,17.835028,18.766649,21.05957,22.277651,24.884001,2,2,2,2,2,2,2,2,AA_A,2.6063499
569430,692611,806546,799800,818600,783700,764400,.80000001,.80000001,.75,.85000002,.89999998,.89999998,.89999998,18.114079,16.590408,14.640826,9.5023756,7.3662348,7.6559906,7.718472,21.628235,19.807011,19.332874,11.945929,9.6325874,10.154002,10.320098,3,3,3,3,3,3,3,3,BAA,.16609573
2044764,2331751,2757504,3146455,3809743,3569817,3091936,1.25,1.3,1.35,1.15,1.15,1.15,1.15,7.0703516,7.6087027,7.3705788,7.5228472,7.667315,8.219245,4.5285864,8.7393017,9.6581993,9.7574606,9.8903017,10.955337,10.390536,5.4157619,3,3,3,3,3,3,3,3,BAA,-4.9747744
1439761,1758297,2060843,2619327,3294087,3526506,3899258,.89999998,.89999998,.94999999,1.05,1.1,1.15,1.25,14.462192,14.55323,15.111243,10.888255,8.8964558,4.5420594,8.3862104,15.123789,16.348289,17.558809,13.781604,11.511075,5.6443205,11.944547,3.1919031,3.1246707,3.0732756,2.9347534,3.8363965,3.9817331,3.981097,3,BAA,6.3002262
605973,711284,1025018,1258018,1391076,1421432,1606454,1.15,1.2,1.05,1.2,1.1,1.05,1,13.973065,14.004673,12.75041,12.602443,12.079858,12.504573,13.976933,16.10791,16.066483,14.407449,14.47152,13.833618,13.283868,15.243069,3,3,3,3,3,3,3,3,BAA,1.9592009
