Name,Date,Open,High,Low,Close,Volume
BOVESPA,19950102,4353.90,4397.60,4300.10,4301.00,0
BOVESPA,19950103,4369.90,4385.90,4093.70,4098.00,0
BOVESPA,19950104,4098.00,4098.00,3860.90,3967.90,0
BOVESPA,19950105,3967.90,4040.30,3944.50,4036.70,0
BOVESPA,19950106,4036.70,4105.70,3813.00,3827.40,0
BOVESPA,19950109,3827.40,3835.70,3570.40,3627.80,0
BOVESPA,19950110,3627.80,3691.90,3175.30,3270.00,0
BOVESPA,19950111,3270.00,3504.70,3108.60,3499.10,0
BOVESPA,19950112,3499.10,3840.70,3499.10,3840.60,0
BOVESPA,19950113,3840.60,4107.60,3785.40,4103.80,0
BOVESPA,19950116,4103.80,4103.80,3864.70,4056.40,0
BOVESPA,19950117,4056.40,4255.90,3984.70,4209.80,0
BOVESPA,19950118,4209.80,4220.70,4078.20,4078.50,0
BOVESPA,19950119,4078.50,4078.50,3776.00,3809.40,0
BOVESPA,19950120,3809.40,3870.60,3809.40,3862.30,0
BOVESPA,19950123,3862.30,3862.30,3679.80,3758.50,0
BOVESPA,19950124,3758.50,3863.70,3758.50,3840.30,0
BOVESPA,19950126,3840.30,3973.00,3840.30,3926.90,0
BOVESPA,19950127,3926.90,3951.20,3734.20,3784.30,0
BOVESPA,19950130,3784.30,3784.30,3580.70,3580.70,0
BOVESPA,19950131,3580.70,3913.50,3546.80,3885.00,0
BOVESPA,19950201,3885.00,4067.20,3885.00,3989.80,0
BOVESPA,19950202,3989.80,3989.80,3828.60,3897.90,0
BOVESPA,19950203,3897.90,3975.00,3837.20,3944.40,0
BOVESPA,19950206,3944.40,3987.10,3811.30,3829.80,0
BOVESPA,19950207,3829.80,3829.80,3637.40,3637.40,0
BOVESPA,19950208,3637.40,3706.50,3553.20,3556.30,0
BOVESPA,19950209,3556.30,3556.30,3284.50,3401.60,0
BOVESPA,19950210,3401.60,3401.60,3256.50,3307.70,0
BOVESPA,19950213,3307.70,3433.00,3288.20,3294.90,0
BOVESPA,19950214,3294.90,3294.90,3137.50,3192.20,0
BOVESPA,19950215,3192.20,3285.00,3061.10,3069.40,0
BOVESPA,19950216,3069.40,3069.40,2809.70,2863.80,0
BOVESPA,19950217,2863.80,3023.30,2863.80,3023.30,0
BOVESPA,19950220,3023.30,3053.80,2954.80,2961.60,0
BOVESPA,19950221,2961.60,2963.00,2782.20,2793.10,0
BOVESPA,19950222,2793.10,2883.30,2762.00,2872.40,0
BOVESPA,19950223,2872.40,3217.40,2872.40,3217.40,0
BOVESPA,19950224,3217.40,3345.80,3184.40,3270.90,0
BOVESPA,19950302,3270.90,3270.90,2970.20,2989.10,0
BOVESPA,19950303,2989.10,3018.10,2841.70,2988.00,0
BOVESPA,19950306,2988.00,3035.70,2856.50,2867.20,0
BOVESPA,19950307,2867.20,2956.40,2607.20,2615.70,0
BOVESPA,19950308,2615.70,2701.10,2351.30,2363.30,0
BOVESPA,19950309,2363.30,2448.70,2110.00,2138.30,0
BOVESPA,19950310,2138.30,2686.20,2138.30,2686.20,0
BOVESPA,19950313,2686.20,2787.90,2542.40,2670.90,0
BOVESPA,19950314,2670.90,3056.20,2670.90,3016.90,0
BOVESPA,19950315,3016.90,3082.80,2901.40,2939.40,0
BOVESPA,19950316,2939.40,3141.90,2915.20,3141.70,0
BOVESPA,19950317,3141.70,3164.70,2899.20,2981.10,0
BOVESPA,19950320,2981.10,3038.90,2844.10,2870.10,0
BOVESPA,19950321,2870.10,3034.60,2870.10,3006.10,0
BOVESPA,19950322,3006.10,3148.80,2944.40,3003.90,0
BOVESPA,19950323,3003.90,3145.60,2914.70,3145.60,0
BOVESPA,19950324,3145.60,3388.00,3145.60,3361.20,0
BOVESPA,19950327,3361.20,3494.90,3336.20,3372.30,0
BOVESPA,19950328,3372.30,3372.30,3237.50,3255.80,0
BOVESPA,19950329,3255.80,3309.50,3154.00,3198.20,0
BOVESPA,19950330,3198.20,3356.00,3116.70,3125.50,0
BOVESPA,19950331,3125.50,3125.50,2947.00,2979.00,0
BOVESPA,19950403,2979.00,2983.10,2867.10,2893.50,0
BOVESPA,19950404,2893.50,3125.10,2893.50,3125.10,0
BOVESPA,19950405,3125.10,3191.80,3072.80,3180.30,0
BOVESPA,19950406,3180.40,3302.00,3180.40,3254.60,0
BOVESPA,19950407,3254.60,3257.10,3159.70,3203.00,0
BOVESPA,19950410,3192.60,3192.60,3104.90,3114.10,0
BOVESPA,19950411,3114.10,3114.10,2944.00,3017.80,0
BOVESPA,19950412,3017.80,3030.90,2897.40,3020.80,0
BOVESPA,19950417,3020.80,3163.40,3013.60,3113.10,0
BOVESPA,19950418,3113.10,3197.70,3081.20,3193.90,0
BOVESPA,19950419,3193.90,3337.50,3181.70,3330.70,0
BOVESPA,19950420,3330.70,3402.40,3270.20,3384.30,0
BOVESPA,19950424,3384.30,3516.30,3377.10,3512.90,0
BOVESPA,19950425,3512.90,3776.90,3477.80,3699.10,0
BOVESPA,19950426,3699.10,3908.10,3699.10,3825.90,0
BOVESPA,19950427,3825.90,3913.10,3782.10,3851.10,0
BOVESPA,19950428,3851.10,3923.60,3787.20,3813.70,0
BOVESPA,19950502,3813.70,3879.30,3727.00,3861.50,0
BOVESPA,19950503,3861.50,4053.30,3861.50,3976.00,0
BOVESPA,19950504,3976.00,4063.60,3945.20,4043.90,0
BOVESPA,19950505,4043.90,4080.60,3986.00,4008.20,0
BOVESPA,19950508,4008.20,4008.20,3900.70,3914.20,0
BOVESPA,19950509,3914.20,4091.50,3914.20,4065.40,0
BOVESPA,19950510,4065.40,4151.10,4044.40,4050.40,0
BOVESPA,19950511,4050.40,4079.00,3927.90,3951.10,0
BOVESPA,19950512,3951.10,3998.30,3922.60,3998.30,0
BOVESPA,19950515,3998.30,4044.30,3882.00,3894.00,0
BOVESPA,19950516,3894.00,3895.50,3787.00,3835.10,0
BOVESPA,19950517,3835.10,3976.70,3835.10,3964.40,0
BOVESPA,19950518,3964.40,4038.00,3964.40,4008.10,0
BOVESPA,19950519,4008.10,4008.10,3888.30,3950.00,0
BOVESPA,19950522,3950.00,4042.50,3935.20,4033.70,0
BOVESPA,19950523,4033.70,4110.40,4027.90,4048.70,0
BOVESPA,19950524,4048.70,4146.30,4041.90,4099.60,0
BOVESPA,19950525,4099.60,4185.10,4015.20,4019.00,0
BOVESPA,19950526,4019.00,4019.00,3905.00,3905.00,0
BOVESPA,19950529,3905.00,3905.00,3797.30,3896.30,0
BOVESPA,19950530,3896.30,3911.60,3700.10,3706.80,0
BOVESPA,19950531,3706.80,3824.40,3688.90,3720.60,0
BOVESPA,19950601,3720.60,3783.60,3661.60,3773.60,0
BOVESPA,19950602,3773.60,3982.10,3773.60,3966.50,0
BOVESPA,19950605,3966.50,4067.30,3966.50,4062.80,0
BOVESPA,19950606,4062.80,4062.80,3900.50,3933.30,0
BOVESPA,19950607,3933.30,3935.30,3782.40,3808.20,0
BOVESPA,19950608,3808.20,3879.80,3726.40,3818.50,0
BOVESPA,19950609,3818.50,3819.10,3637.20,3670.70,0
BOVESPA,19950612,3670.70,3714.80,3589.80,3704.80,0
BOVESPA,19950613,3704.80,3790.50,3673.00,3789.30,0
BOVESPA,19950614,3789.30,3789.30,3649.00,3665.00,0
BOVESPA,19950616,3665.00,3730.20,3635.20,3717.90,0
BOVESPA,19950619,3717.90,3764.70,3673.70,3696.10,0
BOVESPA,19950620,3696.10,3697.60,3562.60,3576.90,0
BOVESPA,19950621,3576.90,3638.70,3517.60,3631.60,0
BOVESPA,19950622,3631.60,3658.70,3575.20,3598.80,0
BOVESPA,19950623,3598.80,3671.80,3545.00,3585.60,0
BOVESPA,19950626,3585.60,3586.80,3516.00,3537.00,0
BOVESPA,19950627,3537.00,3693.00,3537.00,3661.30,0
BOVESPA,19950628,3661.30,3693.00,3537.00,3661.30,0
BOVESPA,19950629,3715.40,3715.40,3664.10,3678.00,0
BOVESPA,19950630,3678.00,3710.00,3601.40,3603.40,0
BOVESPA,19950703,3603.40,3629.20,3574.40,3594.40,0
BOVESPA,19950704,3594.40,3641.10,3585.50,3633.60,0
BOVESPA,19950705,3633.60,3732.30,3588.90,3700.30,0
BOVESPA,19950706,3700.30,3821.00,3700.30,3821.00,0
BOVESPA,19950707,3821.00,3968.70,3819.50,3961.70,0
BOVESPA,19950710,3961.70,4013.30,3941.70,3958.40,0
BOVESPA,19950711,3958.40,3963.10,3878.10,3889.20,0
BOVESPA,19950712,3889.20,4026.70,3861.60,4026.50,0
BOVESPA,19950713,4026.50,4079.50,3989.80,4007.50,0
BOVESPA,19950714,4007.50,4027.50,3935.10,4026.80,0
BOVESPA,19950717,4026.80,4051.20,3963.20,4016.10,0
BOVESPA,19950718,4016.10,4017.50,3903.60,3919.20,0
BOVESPA,19950719,3919.20,3933.70,3818.80,3829.40,0
BOVESPA,19950720,3829.40,3943.20,3829.40,3939.00,0
BOVESPA,19950721,3939.00,3950.80,3858.50,3862.40,0
BOVESPA,19950724,3862.40,3903.20,3852.00,3899.70,0
BOVESPA,19950725,3899.70,3945.30,3887.10,3917.90,0
BOVESPA,19950726,3917.90,3921.00,3857.90,3878.80,0
BOVESPA,19950727,3878.80,3923.80,3815.70,3912.90,0
BOVESPA,19950728,3912.90,3952.10,3874.60,3888.40,0
BOVESPA,19950731,3888.40,3888.40,3846.20,3877.50,0
BOVESPA,19950801,3877.50,3893.30,3817.70,3870.80,0
BOVESPA,19950802,3870.80,3971.00,3870.80,3918.50,0
BOVESPA,19950803,3918.50,4025.50,3878.00,4025.50,0
