Name,Date,Open,High,Low,Close,Volume
CAC40,19950103,1883.40,1891.90,1876.50,1885.90,0
CAC40,19950104,1898.20,1904.10,1891.80,1901.80,0
CAC40,19950105,1909.80,1909.80,1866.70,1871.50,0
CAC40,19950106,1877.90,1888.00,1866.60,1886.40,0
CAC40,19950109,1893.00,1898.10,1859.20,1864.20,0
CAC40,19950110,1856.40,1859.20,1841.30,1859.20,0
CAC40,19950111,1855.50,1866.20,1846.40,1849.10,0
CAC40,19950112,1851.50,1862.30,1836.30,1844.10,0
CAC40,19950113,1843.40,1859.80,1824.90,1854.00,0
CAC40,19950116,1870.80,1876.50,1863.80,1872.80,0
CAC40,19950117,1876.90,1882.60,1851.90,1856.90,0
CAC40,19950118,1854.70,1862.90,1843.50,1860.30,0
CAC40,19950119,1859.00,1863.40,1829.30,1837.10,0
CAC40,19950120,1823.20,1830.30,1810.20,1813.30,0
CAC40,19950123,1794.40,1794.50,1764.40,1772.80,0
CAC40,19950124,1786.70,1793.20,1775.50,1780.20,0
CAC40,19950125,1788.50,1804.80,1785.10,1802.50,0
CAC40,19950126,1816.80,1827.80,1813.20,1826.30,0
CAC40,19950127,1824.60,1834.60,1809.70,1814.10,0
CAC40,19950130,1816.50,1820.10,1807.60,1813.40,0
CAC40,19950131,1808.40,1814.70,1786.20,1797.90,0
CAC40,19950201,1811.10,1829.70,1807.70,1827.80,0
CAC40,19950202,1820.40,1830.80,1814.60,1816.10,0
CAC40,19950203,1826.70,1848.10,1823.80,1842.40,0
CAC40,19950206,1859.30,1876.40,1858.00,1872.10,0
CAC40,19950207,1877.10,1880.00,1866.60,1870.40,0
CAC40,19950208,1859.50,1865.40,1850.80,1850.90,0
CAC40,19950209,1847.80,1884.40,1847.80,1874.40,0
CAC40,19950210,1881.40,1887.80,1866.00,1869.40,0
CAC40,19950213,1866.30,1866.30,1847.80,1850.10,0
CAC40,19950214,1861.40,1865.10,1851.20,1856.10,0
CAC40,19950215,1845.90,1864.80,1841.30,1861.90,0
CAC40,19950216,1867.80,1872.80,1825.30,1835.00,0
CAC40,19950217,1820.30,1831.70,1816.90,1822.50,0
CAC40,19950220,1809.60,1811.90,1798.80,1802.20,0
CAC40,19950221,1790.30,1807.90,1787.50,1805.60,0
CAC40,19950222,1802.20,1809.40,1794.70,1804.40,0
CAC40,19950223,1815.80,1831.40,1812.80,1827.00,0
CAC40,19950224,1818.30,1821.20,1803.50,1805.70,0
CAC40,19950227,1785.70,1811.70,1776.60,1802.20,0
CAC40,19950228,1808.00,1808.00,1769.70,1776.90,0
CAC40,19950301,1786.80,1814.40,1785.20,1808.40,0
CAC40,19950302,1805.60,1809.50,1795.70,1807.40,0
CAC40,19950303,1797.50,1806.40,1784.70,1795.20,0
CAC40,19950306,1794.10,1803.80,1760.90,1773.30,0
CAC40,19950307,1780.70,1780.70,1746.10,1748.60,0
CAC40,19950308,1734.10,1773.80,1730.00,1756.80,0
CAC40,19950309,1772.10,1772.10,1722.60,1727.10,0
CAC40,19950310,1718.70,1747.30,1718.70,1743.10,0
CAC40,19950313,1744.30,1744.30,1711.80,1721.80,0
CAC40,19950314,1731.10,1769.00,1729.90,1769.00,0
CAC40,19950315,1768.90,1775.90,1737.80,1738.60,0
CAC40,19950316,1746.40,1786.90,1738.50,1785.80,0
CAC40,19950317,1782.30,1800.30,1776.70,1788.80,0
CAC40,19950320,1799.70,1819.70,1799.70,1811.60,0
CAC40,19950321,1823.60,1823.60,1802.20,1813.80,0
CAC40,19950322,1810.90,1832.60,1807.20,1818.00,0
CAC40,19950323,1806.00,1813.80,1780.90,1795.70,0
CAC40,19950324,1799.80,1817.90,1785.80,1817.30,0
CAC40,19950327,1833.40,1847.80,1832.70,1836.10,0
CAC40,19950328,1834.00,1842.70,1819.80,1837.20,0
CAC40,19950329,1818.80,1853.60,1817.70,1852.40,0
CAC40,19950330,1855.90,1899.50,1835.20,1893.00,0
CAC40,19950331,1882.50,1882.90,1845.60,1859.50,0
CAC40,19950403,1847.80,1872.20,1838.60,1864.00,0
CAC40,19950404,1875.50,1891.30,1874.00,1882.80,0
CAC40,19950405,1886.30,1886.30,1861.50,1872.90,0
CAC40,19950406,1863.10,1897.80,1863.10,1890.20,0
CAC40,19950407,1881.00,1904.70,1881.00,1900.40,0
CAC40,19950410,1892.90,1908.20,1871.10,1880.90,0
CAC40,19950411,1880.40,1886.90,1867.50,1869.30,0
CAC40,19950412,1861.90,1880.90,1860.90,1871.90,0
CAC40,19950413,1873.70,1883.50,1871.20,1881.10,0
CAC40,19950418,1873.40,1873.40,1853.20,1855.70,0
CAC40,19950419,1852.70,1882.80,1843.10,1874.90,0
CAC40,19950420,1881.00,1885.60,1869.20,1882.00,0
CAC40,19950421,1894.80,1935.40,1894.60,1928.40,0
CAC40,19950424,1932.00,1932.00,1902.60,1918.50,0
CAC40,19950425,1928.30,1950.80,1928.30,1945.90,0
CAC40,19950426,1938.40,1962.90,1932.70,1942.30,0
CAC40,19950427,1943.50,1943.50,1927.80,1931.00,0
CAC40,19950428,1929.30,1931.00,1906.10,1918.50,0
CAC40,19950502,1912.90,1942.90,1912.90,1936.90,0
CAC40,19950503,1944.20,1971.80,1941.80,1971.10,0
CAC40,19950504,1978.30,1987.60,1944.20,1946.20,0
CAC40,19950505,1949.60,1957.80,1927.40,1927.40,0
CAC40,19950509,1970.50,1994.50,1965.30,1988.70,0
CAC40,19950510,2000.00,2009.20,1985.70,1996.70,0
CAC40,19950511,1981.40,2014.60,1981.30,2003.60,0
CAC40,19950512,2012.50,2025.20,2010.20,2017.30,0
CAC40,19950515,2015.00,2016.80,1991.50,1991.50,0
CAC40,19950516,1997.60,2018.60,1988.10,2001.30,0
CAC40,19950517,2001.80,2011.00,1991.70,2004.70,0
CAC40,19950518,2001.80,2007.40,1983.30,1989.80,0
CAC40,19950519,1968.40,1976.30,1960.40,1965.50,0
CAC40,19950522,1962.80,1980.00,1962.80,1979.50,0
CAC40,19950523,1980.40,1981.50,1958.20,1965.30,0
CAC40,19950524,1965.70,1981.40,1955.60,1960.70,0
CAC40,19950526,1945.70,1951.70,1915.50,1919.10,0
CAC40,19950529,1915.10,1928.60,1915.10,1927.80,0
CAC40,19950530,1933.30,1940.80,1921.50,1927.30,0
CAC40,19950531,1930.50,1948.00,1924.90,1948.00,0
CAC40,19950601,1963.40,1969.20,1954.20,1960.80,0
CAC40,19950602,1966.70,1974.60,1954.10,1971.30,0
CAC40,19950606,1973.20,1976.20,1957.30,1965.90,0
CAC40,19950607,1962.80,1983.60,1960.80,1974.70,0
CAC40,19950608,1975.20,1975.20,1947.00,1951.20,0
CAC40,19950609,1941.20,1943.00,1892.40,1897.00,0
CAC40,19950612,1902.00,1909.60,1891.90,1907.80,0
CAC40,19950613,1913.60,1926.10,1907.20,1922.80,0
CAC40,19950614,1926.80,1931.50,1888.60,1893.70,0
CAC40,19950615,1900.10,1926.20,1898.50,1920.70,0
CAC40,19950616,1910.30,1910.30,1886.30,1905.00,0
CAC40,19950619,1905.10,1922.80,1905.10,1918.40,0
CAC40,19950620,1919.80,1921.90,1889.60,1896.10,0
CAC40,19950621,1897.00,1908.00,1892.40,1902.80,0
CAC40,19950622,1897.50,1927.40,1895.60,1925.20,0
CAC40,19950623,1920.10,1920.10,1885.80,1895.10,0
CAC40,19950626,1891.00,1907.80,1891.00,1902.40,0
CAC40,19950627,1885.80,1888.20,1870.00,1877.70,0
CAC40,19950628,1866.90,1875.00,1857.80,1865.50,0
CAC40,19950629,1868.80,1883.00,1857.70,1861.90,0
CAC40,19950630,1852.10,1862.80,1850.70,1858.80,0
CAC40,19950703,1858.70,1881.90,1856.50,1879.70,0
CAC40,19950704,1894.50,1895.90,1886.30,1889.40,0
CAC40,19950705,1894.90,1910.00,1889.10,1907.80,0
CAC40,19950706,1910.60,1911.10,1884.00,1889.50,0
CAC40,19950707,1922.40,1953.00,1922.40,1950.80,0
CAC40,19950710,1951.00,1956.40,1943.40,1949.40,0
CAC40,19950711,1942.50,1972.60,1929.50,1961.30,0
CAC40,19950712,1950.60,1967.10,1948.00,1961.70,0
CAC40,19950713,1969.00,1969.00,1941.90,1948.30,0
CAC40,19950717,1947.30,1963.00,1947.30,1951.50,0
CAC40,19950718,1948.00,1948.00,1923.20,1929.00,0
CAC40,19950719,1915.80,1934.00,1914.90,1931.20,0
CAC40,19950720,1913.00,1922.80,1901.60,1905.90,0
CAC40,19950721,1919.80,1924.10,1902.20,1908.90,0
CAC40,19950724,1906.90,1937.90,1905.90,1926.60,0
CAC40,19950725,1942.00,1946.50,1933.70,1941.30,0
CAC40,19950726,1954.60,1955.50,1939.20,1942.50,0
CAC40,19950727,1938.70,1953.20,1937.20,1947.90,0
CAC40,19950728,1947.70,1951.90,1926.50,1932.80,0
CAC40,19950731,1933.50,1937.20,1915.00,1920.00,0
CAC40,19950801,1929.70,1930.30,1917.30,1917.80,0
CAC40,19950802,1935.20,1964.70,1931.40,1960.00,0
CAC40,19950803,1951.90,1962.10,1943.50,1950.80,0
CAC40,19950804,1953.80,1963.70,1951.80,1957.10,0
CAC40,19950807,1960.90,1963.40,1942.50,1950.40,0
CAC40,19950808,1953.20,1962.90,1951.60,1954.70,0
CAC40,19950809,1948.70,1955.20,1941.60,1943.70,0
CAC40,19950810,1944.60,1951.00,1931.00,1949.20,0
CAC40,19950811,1950.60,1957.30,1942.70,1946.20,0
