Name,Date,Open,High,Low,Close,Volume
DAX,19950102,2084.10,2086.80,2075.90,2079.50,0
DAX,19950103,2078.10,2078.10,2070.30,2074.80,0
DAX,19950104,2078.20,2080.80,2071.20,2072.30,0
DAX,19950105,2072.80,2072.80,2060.70,2062.50,0
DAX,19950106,2050.70,2054.40,2045.50,2053.90,0
DAX,19950109,2063.10,2069.10,2055.70,2059.20,0
DAX,19950110,2047.00,2051.10,2044.50,2051.10,0
DAX,19950111,2052.40,2062.00,2052.40,2061.10,0
DAX,19950112,2069.40,2074.90,2069.10,2071.30,0
DAX,19950113,2063.90,2063.90,2052.00,2055.60,0
DAX,19950116,2077.80,2089.60,2077.80,2085.60,0
DAX,19950117,2086.80,2089.70,2083.50,2083.90,0
DAX,19950118,2080.50,2080.50,2075.40,2078.90,0
DAX,19950119,2089.10,2092.20,2087.90,2089.40,0
DAX,19950120,2063.40,2064.60,2054.50,2055.60,0
DAX,19950123,2033.50,2035.30,2024.20,2026.80,0
DAX,19950124,2029.20,2030.20,2018.00,2018.00,0
DAX,19950125,2020.10,2035.50,2017.80,2026.80,0
DAX,19950126,2031.20,2038.40,2029.60,2030.70,0
DAX,19950127,2025.60,2034.70,2024.80,2031.70,0
DAX,19950130,2026.50,2036.40,2026.30,2035.00,0
DAX,19950131,2027.80,2028.50,2017.90,2021.30,0
DAX,19950201,2037.70,2050.10,2037.70,2048.40,0
DAX,19950202,2044.80,2051.80,2043.60,2045.30,0
DAX,19950203,2055.60,2061.00,2055.10,2058.00,0
DAX,19950206,2084.90,2093.10,2084.90,2089.70,0
DAX,19950207,2094.60,2097.20,2090.90,2092.50,0
DAX,19950208,2083.80,2088.50,2082.40,2087.60,0
DAX,19950209,2086.10,2112.70,2086.10,2112.70,0
DAX,19950210,2123.70,2131.80,2122.10,2130.20,0
DAX,19950213,2122.50,2124.80,2115.00,2117.00,0
DAX,19950214,2129.30,2136.30,2129.30,2133.20,0
DAX,19950215,2124.90,2137.90,2123.30,2135.00,0
DAX,19950216,2145.70,2145.70,2114.70,2115.70,0
DAX,19950217,2108.20,2117.00,2106.70,2117.00,0
DAX,19950220,2107.00,2107.00,2098.30,2101.50,0
DAX,19950221,2095.60,2101.80,2093.90,2097.00,0
DAX,19950222,2091.80,2099.20,2089.70,2093.20,0
DAX,19950223,2104.20,2121.90,2104.20,2118.20,0
DAX,19950224,2119.90,2121.40,2114.80,2118.60,0
DAX,19950227,2107.10,2108.30,2099.20,2099.30,0
DAX,19950228,2106.10,2112.30,2101.80,2102.20,0
DAX,19950301,2114.50,2130.40,2114.50,2126.20,0
DAX,19950302,2121.60,2121.60,2116.60,2118.70,0
DAX,19950303,2109.00,2112.20,2106.50,2109.50,0
DAX,19950306,2092.30,2092.30,2065.80,2070.30,0
DAX,19950307,2067.50,2072.70,2053.30,2053.30,0
DAX,19950308,2027.50,2033.70,2017.00,2025.20,0
DAX,19950309,2039.60,2040.30,1999.50,2001.60,0
DAX,19950310,1983.80,1995.80,1975.90,1994.00,0
DAX,19950313,2009.80,2018.00,1999.50,1999.50,0
DAX,19950314,1996.90,2004.70,1987.10,2000.50,0
DAX,19950315,2013.20,2022.70,2010.10,2010.10,0
DAX,19950316,2010.90,2013.70,1992.10,1992.10,0
DAX,19950317,2007.30,2013.20,2001.70,2005.20,0
DAX,19950320,1993.50,1996.90,1985.60,1991.80,0
DAX,19950321,2001.50,2007.10,1981.50,1983.00,0
DAX,19950322,1985.90,1986.90,1979.20,1984.10,0
DAX,19950323,1978.30,1980.10,1936.10,1936.10,0
DAX,19950324,1924.60,1927.10,1914.30,1925.40,0
DAX,19950327,1941.70,1949.40,1940.30,1946.90,0
DAX,19950328,1939.90,1940.00,1905.60,1911.00,0
DAX,19950329,1897.80,1920.90,1893.60,1918.90,0
DAX,19950330,1925.00,1926.00,1905.20,1918.50,0
DAX,19950331,1941.20,1942.60,1921.40,1922.60,0
DAX,19950403,1915.10,1930.80,1914.10,1930.80,0
DAX,19950404,1949.60,1966.90,1949.60,1965.00,0
DAX,19950405,1960.70,1969.90,1956.10,1969.80,0
DAX,19950406,1963.60,1981.30,1963.20,1979.30,0
DAX,19950407,1982.20,1987.70,1978.80,1981.90,0
DAX,19950410,1987.70,1989.20,1966.60,1972.30,0
DAX,19950411,1985.40,1994.00,1985.10,1993.70,0
DAX,19950412,1984.70,1990.00,1983.10,1988.50,0
DAX,19950413,1985.30,1988.10,1983.20,1986.50,0
DAX,19950418,1968.40,1970.70,1965.30,1965.30,0
DAX,19950419,1948.40,1954.90,1943.10,1951.00,0
DAX,19950420,1948.70,1959.30,1948.60,1956.00,0
DAX,19950421,1970.60,1980.50,1970.60,1976.60,0
DAX,19950424,1982.70,1987.70,1976.10,1976.20,0
DAX,19950425,1992.90,2011.40,1992.90,2007.00,0
DAX,19950426,2020.90,2030.70,2016.90,2029.50,0
DAX,19950427,2022.40,2026.10,2014.80,2026.10,0
DAX,19950428,2025.90,2026.70,2013.80,2015.90,0
DAX,19950502,2029.60,2040.90,2029.60,2035.90,0
DAX,19950503,2032.50,2032.50,2022.10,2028.70,0
DAX,19950504,2051.10,2052.10,2041.10,2044.80,0
DAX,19950505,2033.50,2033.50,2023.30,2023.80,0
DAX,19950508,2020.60,2025.00,2015.90,2024.80,0
DAX,19950509,2038.70,2041.90,2034.40,2039.60,0
DAX,19950510,2057.40,2064.00,2055.30,2059.10,0
DAX,19950511,2062.10,2079.40,2059.10,2078.10,0
DAX,19950512,2100.60,2101.80,2090.40,2096.90,0
DAX,19950515,2094.30,2097.70,2086.30,2086.70,0
DAX,19950516,2088.70,2110.60,2088.70,2110.50,0
DAX,19950517,2103.20,2107.60,2093.60,2095.30,0
DAX,19950518,2092.50,2095.10,2086.40,2087.10,0
DAX,19950519,2072.30,2077.70,2062.80,2065.10,0
DAX,19950522,2074.40,2083.40,2070.90,2083.20,0
DAX,19950523,2085.20,2087.00,2079.70,2080.40,0
DAX,19950524,2105.10,2110.70,2104.30,2105.10,0
DAX,19950526,2086.00,2086.00,2071.50,2077.90,0
DAX,19950529,2069.00,2071.00,2062.70,2067.40,0
DAX,19950530,2074.30,2093.40,2074.30,2087.70,0
DAX,19950531,2087.60,2092.20,2084.70,2092.20,0
DAX,19950601,2118.30,2134.40,2118.30,2126.40,0
DAX,19950602,2129.10,2136.30,2129.10,2136.30,0
DAX,19950606,2147.90,2154.10,2143.50,2146.40,0
DAX,19950607,2142.10,2144.70,2136.00,2141.10,0
DAX,19950608,2141.80,2144.10,2127.00,2131.00,0
DAX,19950609,2125.70,2125.70,2119.00,2121.80,0
DAX,19950612,2106.40,2119.60,2104.50,2119.60,0
DAX,19950613,2125.50,2130.90,2113.60,2115.10,0
DAX,19950614,2130.20,2135.70,2127.90,2128.00,0
DAX,19950616,2128.60,2128.60,2118.20,2120.00,0
DAX,19950619,2128.50,2143.30,2128.50,2141.80,0
DAX,19950620,2151.00,2155.80,2135.80,2136.70,0
DAX,19950621,2144.80,2152.90,2143.70,2143.70,0
DAX,19950622,2143.40,2149.90,2134.50,2148.70,0
DAX,19950623,2150.70,2152.90,2134.40,2139.80,0
