date,tmax_om,tmin_om,tavg_om,precip_om_mm,et0_mm,wind_max_kmh,solar_mj_m2,water_balance_mm,cumulative_water_mm
2025-01-01,-0.5,-3.6,-2.4,0.0,0.11,16.9,0.0,-0.11,-0.11
2025-01-02,-1.0,-9.6,-4.3,0.0,0.84,19.0,0.0,-0.84,-0.95
2025-01-03,0.8,-5.8,-2.0,0.4,0.0,17.2,0.0,0.4,-0.5499999999999999
2025-01-04,3.3,-1.8,0.6,0.0,0.0,20.0,0.0,0.0,-0.5499999999999999
2025-01-05,-0.8,-5.3,-4.7,4.4,0.18,17.8,0.0,4.220000000000001,3.670000000000001
2025-01-06,-0.6,-7.8,-4.7,0.0,0.13,16.6,0.0,-0.13,3.540000000000001
2025-01-07,2.9,-3.1,0.7,0.0,0.21,16.1,0.0,-0.21,3.330000000000001
2025-01-08,0.4,-1.9,-1.7,0.0,0.26,16.8,4.6,-0.26,3.070000000000001
2025-01-09,-2.8,-10.6,-5.4,2.9,0.04,16.9,1.5,2.86,5.9300000000000015
2025-01-10,-2.8,-8.7,-2.4,2.3,0.91,15.3,0.0,1.3899999999999997,7.320000000000001
2025-01-11,-4.7,-7.7,-5.4,0.0,0.0,16.8,2.7,0.0,7.320000000000001
2025-01-12,-0.3,-9.1,-5.4,2.3,0.0,17.3,0.0,2.3,9.620000000000001
2025-01-13,2.2,-7.8,-3.2,5.9,0.16,18.6,0.7,5.74,15.360000000000001
2025-01-14,-7.1,-11.6,-9.7,3.7,0.0,18.3,0.0,3.7,19.060000000000002
2025-01-15,-5.2,-11.7,-9.1,0.0,0.16,18.5,0.0,-0.16,18.900000000000002
2025-01-16,-2.1,-9.4,-5.6,0.0,1.1,15.0,3.1,-1.1,17.8
2025-01-17,0.7,-11.8,-6.9,0.0,0.3,16.1,1.6,-0.3,17.5
2025-01-18,1.8,-4.6,-2.9,0.0,0.43,18.3,0.4,-0.43,17.07
2025-01-19,-3.7,-8.6,-6.5,0.0,0.0,17.4,0.0,0.0,17.07
2025-01-20,-6.4,-11.2,-8.0,0.0,0.04,15.0,0.0,-0.04,17.03
2025-01-21,1.3,0.4,0.7,0.0,0.19,19.0,0.0,-0.19,16.84
2025-01-22,-1.1,-9.0,-4.4,2.9,0.24,18.9,0.2,2.66,19.5
