date,tavg_om,tmax_om,tmin_om,precip_om_mm,et0_mm,wind_max_kmh,solar_mj_m2,water_balance_mm,cumulative_water_mm,tavg_imgw,precip_imgw_mm
2025-01-01,3.4,6.2,0.2,0.0,1.25,26.6,2.62,-1.25,-1.25,3.8,
2025-01-02,5.1,8.8,-1.5,1.7,1.69,29.4,0.72,0.010000000000000009,-1.24,5.4,0.2
2025-01-03,-0.2,1.9,-2.2,2.0,0.43,26.4,1.67,1.57,0.33000000000000007,0.0,2.5
2025-01-04,-2.8,-0.9,-5.5,0.2,0.62,27.0,4.16,-0.42,-0.08999999999999991,-3.0,0.0
2025-01-05,-3.7,-2.2,-5.8,0.0,0.26,14.4,3.56,-0.26,-0.3499999999999999,-3.9,1.8
2025-01-06,1.8,4.9,-2.5,6.1,0.28,20.9,2.31,5.819999999999999,5.47,2.0,2.0
2025-01-07,3.6,4.7,2.5,4.1,0.16,21.8,0.57,3.9399999999999995,9.41,4.6,2.0
2025-01-08,1.2,2.7,-0.4,0.4,0.31,21.2,2.53,0.09000000000000002,9.5,2.0,1.1
2025-01-09,2.0,6.7,-2.0,2.6,0.2,20.3,1.87,2.4,11.9,2.7,4.1
2025-01-10,2.4,6.7,0.3,2.3,0.45,29.5,1.55,1.8499999999999999,13.75,3.0,0.5
2025-01-11,-0.3,0.6,-0.8,7.9,0.31,26.5,1.22,7.590000000000001,21.34,0.3,4.4
2025-01-12,-0.1,0.8,-1.5,4.0,0.14,21.7,1.04,3.86,25.2,0.3,2.5
2025-01-13,-2.1,-0.9,-4.7,0.0,0.26,17.0,3.73,-0.26,24.939999999999998,-0.7,
2025-01-14,-1.2,0.6,-3.2,3.2,0.38,20.9,3.02,2.8200000000000003,27.759999999999998,0.0,6.8
2025-01-15,0.9,1.6,0.0,3.3,0.15,19.4,1.26,3.15,30.909999999999997,1.3,0.9
2025-01-16,1.3,2.0,0.8,0.0,0.17,17.6,1.6,-0.17,30.739999999999995,2.0,0.0
