"","lat","long","training","office","networking","academic"
"1",52.2340811,21.0251871,1,1,0,0
"2",52.2519496,21.0363687,1,1,0,0
"3",52.2394957,21.0436022,1,1,0,0
"4",52.1605572,21.0388871,1,1,0,1
"5",52.1588131,21.032158,1,1,0,1
"6",52.208872,20.973639,1,1,0,1
"7",52.2088616,20.973639,1,1,0,1
"8",52.1776819,21.0134983,1,1,0,1
"9",52.2394957,21.0436022,1,1,0,0
"10",52.2331308,21.0133723,1,1,0,0
"11",52.2176268,21.0137901,1,1,0,0
"12",52.2394957,21.0436022,1,1,0,0
"13",52.153156,21.0058325,1,0,0,0
"14",52.2561467,21.0431318,1,1,0,0
"15",52.2347069,20.9969427,1,0,0,0
"16",52.2268165,20.996632,1,1,0,0
"17",52.1785658,20.9955527,1,1,0,0
"18",52.2309268,20.9889583,1,0,0,0
"19",52.2225183,21.0098279,1,1,0,0
"20",52.2726855,20.9831669,1,1,0,0
"21",52.233302,21.0166643,1,0,1,0
"22",52.2470038,21.0611366,0,0,1,0
"23",52.2103327,20.9505567,0,1,0,0
"24",52.1805315,20.9942346,0,1,0,0
"25",52.1850526,20.9892531,0,1,0,0
"26",52.2322584,20.9820807,1,0,1,0
"27",52.2315055,21.0145555,0,1,0,0
"28",52.2426258,21.0224965,1,0,1,0
"29",52.2484184,21.0628233,1,0,0,1
"30",52.2716294,21.0122696,1,0,0,1
"31",52.218003,21.0080783,1,1,0,1
"32",52.2135309,20.9854203,1,1,0,1
"33",52.2123681,20.9809764,1,1,0,1
"34",52.2395653,21.0175767,1,1,0,1
"35",52.2420088,21.0218809,1,1,0,1
"36",52.2426258,21.0224965,1,1,0,1
"37",52.2047493,21.0069083,1,1,0,1
